N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          SO0        1     16         1          25         1          0.000013279915  0.000013279915  1.00       100.00    %
2          SO0        1     32         1          25         1          0.000018286705  0.000018286705  1.00       100.00    %
3          SO0        1     64         1          25         1          0.000032758713  0.000032758713  1.00       100.00    %
4          SO0        1     128        1          25         1          0.000100994110  0.000100994110  1.00       100.00    %
5          SO0        1     256        1          25         1          0.000520920753  0.000520920753  1.00       100.00    %
6          SO0        1     512        1          25         1          0.003733563423  0.003733563423  1.00       100.00    %
7          SO0        1     1024       1          25         1          0.021773958206  0.021773958206  1.00       100.00    %
8          SO0        1     2048       1          25         1          0.093235492706  0.093235492706  1.00       100.00    %
9          SO0        1     4096       1          25         1          0.934600400925  0.934600400925  1.00       100.00    %
10         MPISG      2     16         1          25         2          0.000055813789  0.000013279915  0.24       11.90     %
11         MPISG      2     16         1          25         4          0.000102019310  0.000013279915  0.13       3.25      %
12         MPISG      2     16         1          25         8          0.000092744827  0.000013279915  0.14       1.79      %
13         MPISG      2     16         1          25         16         0.000204181671  0.000013279915  0.07       0.41      %
14         MPISG      2     32         1          25         2          0.000075721741  0.000018286705  0.24       12.07     %
15         MPISG      2     32         1          25         4          0.000175762177  0.000018286705  0.10       2.60      %
16         MPISG      2     32         1          25         8          0.000176048279  0.000018286705  0.10       1.30      %
17         MPISG      2     32         1          25         16         0.000417804718  0.000018286705  0.04       0.27      %
18         MPISG      2     32         1          25         32         0.000567054749  0.000018286705  0.03       0.10      %
19         MPISG      2     64         1          25         2          0.000109195709  0.000032758713  0.30       15.00     %
20         MPISG      2     64         1          25         4          0.000223970413  0.000032758713  0.15       3.66      %
21         MPISG      2     64         1          25         8          0.000367569923  0.000032758713  0.09       1.11      %
22         MPISG      2     64         1          25         16         0.000997090340  0.000032758713  0.03       0.21      %
23         MPISG      2     64         1          25         32         0.001065564156  0.000032758713  0.03       0.10      %
24         MPISG      2     64         1          25         64         0.002217888832  0.000032758713  0.01       0.02      %
25         MPISG      2     128        1          25         2          0.000167894363  0.000100994110  0.60       30.08     %
26         MPISG      2     128        1          25         4          0.000383543968  0.000100994110  0.26       6.58      %
27         MPISG      2     128        1          25         8          0.000859999657  0.000100994110  0.12       1.47      %
28         MPISG      2     128        1          25         16         0.002560973167  0.000100994110  0.04       0.25      %
29         MPISG      2     128        1          25         32         0.002123498917  0.000100994110  0.05       0.15      %
30         MPISG      2     128        1          25         64         0.004398179054  0.000100994110  0.02       0.04      %
31         MPISG      2     256        1          25         2          0.000535607338  0.000520920753  0.97       48.63     %
32         MPISG      2     256        1          25         4          0.000933694839  0.000520920753  0.56       13.95     %
33         MPISG      2     256        1          25         8          0.002192044258  0.000520920753  0.24       2.97      %
34         MPISG      2     256        1          25         16         0.007525563240  0.000520920753  0.07       0.43      %
35         MPISG      2     256        1          25         32         0.004268312454  0.000520920753  0.12       0.38      %
36         MPISG      2     256        1          25         64         0.008642697334  0.000520920753  0.06       0.09      %
37         MPISG      2     512        1          25         2          0.001880884171  0.003733563423  1.99       99.25     %
38         MPISG      2     512        1          25         4          0.002628231049  0.003733563423  1.42       35.51     %
39         MPISG      2     512        1          25         8          0.005506968498  0.003733563423  0.68       8.47      %
40         MPISG      2     512        1          25         16         0.018097615242  0.003733563423  0.21       1.29      %
41         MPISG      2     512        1          25         32         0.008778667450  0.003733563423  0.43       1.33      %
42         MPISG      2     512        1          25         64         0.018448090553  0.003733563423  0.20       0.32      %
43         MPISG      2     1024       1          25         2          0.006945204735  0.021773958206  3.14       156.76    %
44         MPISG      2     1024       1          25         4          0.007809019089  0.021773958206  2.79       69.71     %
45         MPISG      2     1024       1          25         8          0.012977910042  0.021773958206  1.68       20.97     %
