N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000054359436 
2          SO0        1     16         1          25         1          0.000013828278 
3          SO0        1     16         1          25         1          0.000012159348 
4          SO0        1     16         1          25         1          0.000012874603 
5          SO0        1     16         1          25         1          0.000012397766 
6          SO0        1     16         1          25         1          0.000012874603 
7          SO0        1     16         1          25         1          0.000013828278 
8          SO0        1     16         1          25         1          0.000012636185 
9          SO0        1     16         1          25         1          0.000013351440 
10         SO0        1     16         1          25         1          0.000012874603 
11         SO0        1     16         1          25         1          0.000014305115 
12         SO0        1     16         1          25         1          0.000014543533 
13         SO0        1     16         1          25         1          0.000014305115 
14         SO0        1     16         1          25         1          0.000014066696 
15         SO0        1     16         1          25         1          0.000013589859 
16         SO0        1     16         1          25         1          0.000013351440 
17         SO0        1     16         1          25         1          0.000013589859 
18         SO0        1     16         1          25         1          0.000013828278 
19         SO0        1     16         1          25         1          0.000012874603 
20         SO0        1     16         1          25         1          0.000014543533 
21         SO0        1     16         1          25         1          0.000012636185 
22         SO0        1     16         1          25         1          0.000012636185 
23         SO0        1     16         1          25         1          0.000011205673 
24         SO0        1     16         1          25         1          0.000013589859 
25         SO0        1     16         1          25         1          0.000010967255 
26         SO0        1     32         1          25         1          0.000059366226 
27         SO0        1     32         1          25         1          0.000016450882 
28         SO0        1     32         1          25         1          0.000017642975 
29         SO0        1     32         1          25         1          0.000020027161 
30         SO0        1     32         1          25         1          0.000020027161 
31         SO0        1     32         1          25         1          0.000017166138 
32         SO0        1     32         1          25         1          0.000018119812 
33         SO0        1     32         1          25         1          0.000018596649 
34         SO0        1     32         1          25         1          0.000018119812 
35         SO0        1     32         1          25         1          0.000019788742 
36         SO0        1     32         1          25         1          0.000018596649 
37         SO0        1     32         1          25         1          0.000018835068 
38         SO0        1     32         1          25         1          0.000019311905 
39         SO0        1     32         1          25         1          0.000024557114 
40         SO0        1     32         1          25         1          0.000017881393 
41         SO0        1     32         1          25         1          0.000021457672 
42         SO0        1     32         1          25         1          0.000020742416 
43         SO0        1     32         1          25         1          0.000020503998 
44         SO0        1     32         1          25         1          0.000018358231 
45         SO0        1     32         1          25         1          0.000016689301 
46         SO0        1     32         1          25         1          0.000016927719 
47         SO0        1     32         1          25         1          0.000017404556 
48         SO0        1     32         1          25         1          0.000016450882 
49         SO0        1     32         1          25         1          0.000016927719 
50         SO0        1     32         1          25         1          0.000016212463 
51         SO0        1     64         1          25         1          0.000091552734 
52         SO0        1     64         1          25         1          0.000030994415 
