N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
227        MPISG      2     16         1          25         2          0.001180648804 
228        MPISG      2     16         1          25         2          0.000098943710 
229        MPISG      2     16         1          25         2          0.000140190125 
230        MPISG      2     16         1          25         2          0.000142097473 
231        MPISG      2     16         1          25         2          0.000055313110 
232        MPISG      2     16         1          25         2          0.000065088272 
233        MPISG      2     16         1          25         2          0.000056743622 
234        MPISG      2     16         1          25         2          0.000026702881 
235        MPISG      2     16         1          25         2          0.000056028366 
236        MPISG      2     16         1          25         2          0.000060558319 
237        MPISG      2     16         1          25         2          0.000026226044 
238        MPISG      2     16         1          25         2          0.000065803528 
239        MPISG      2     16         1          25         2          0.000054597855 
240        MPISG      2     16         1          25         2          0.000024080276 
241        MPISG      2     16         1          25         2          0.000055074692 
242        MPISG      2     16         1          25         2          0.000051975250 
243        MPISG      2     16         1          25         2          0.000055313110 
244        MPISG      2     16         1          25         2          0.000057697296 
245        MPISG      2     16         1          25         2          0.000024318695 
246        MPISG      2     16         1          25         2          0.000053405762 
247        MPISG      2     16         1          25         2          0.000054836273 
248        MPISG      2     16         1          25         2          0.000058412552 
249        MPISG      2     16         1          25         2          0.000048637390 
250        MPISG      2     16         1          25         2          0.000056982040 
251        MPISG      2     16         1          25         2          0.000055551529 
252        MPISG      2     16         1          25         4          0.001642704010 
253        MPISG      2     16         1          25         4          0.001058578491 
254        MPISG      2     16         1          25         4          0.000355720520 
255        MPISG      2     16         1          25         4          0.000254392624 
256        MPISG      2     16         1          25         4          0.000152349472 
257        MPISG      2     16         1          25         4          0.000102519989 
258        MPISG      2     16         1          25         4          0.000048160553 
259        MPISG      2     16         1          25         4          0.000048160553 
260        MPISG      2     16         1          25         4          0.000125646591 
261        MPISG      2     16         1          25         4          0.000122785568 
262        MPISG      2     16         1          25         4          0.000116586685 
263        MPISG      2     16         1          25         4          0.000096559525 
264        MPISG      2     16         1          25         4          0.000072717667 
265        MPISG      2     16         1          25         4          0.000101089478 
266        MPISG      2     16         1          25         4          0.000052928925 
267        MPISG      2     16         1          25         4          0.000100612640 
268        MPISG      2     16         1          25         4          0.000100851059 
269        MPISG      2     16         1          25         4          0.000052213669 
270        MPISG      2     16         1          25         4          0.000049352646 
271        MPISG      2     16         1          25         4          0.000098943710 
272        MPISG      2     16         1          25         4          0.000105857849 
273        MPISG      2     16         1          25         4          0.000105381012 
274        MPISG      2     16         1          25         4          0.000099897385 
275        MPISG      2     16         1          25         4          0.000048875809 
276        MPISG      2     16         1          25         4          0.000108480453 
277        MPISG      2     16         1          25         8          0.002382040024 
278        MPISG      2     16         1          25         8          0.000284433365 
279        MPISG      2     16         1          25         8          0.000288963318 
280        MPISG      2     16         1          25         8          0.000292062759 
281        MPISG      2     16         1          25         8          0.000151634216 
282        MPISG      2     16         1          25         8          0.000092506409 
283        MPISG      2     16         1          25         8          0.000088930130 
284        MPISG      2     16         1          25         8          0.000088453293 
285        MPISG      2     16         1          25         8          0.000087261200 
286        MPISG      2     16         1          25         8          0.000088453293 
287        MPISG      2     16         1          25         8          0.000091314316 
288        MPISG      2     16         1          25         8          0.000086784363 
289        MPISG      2     16         1          25         8          0.000090837479 
290        MPISG      2     16         1          25         8          0.000087499619 
291        MPISG      2     16         1          25         8          0.000090837479 
292        MPISG      2     16         1          25         8          0.000092983246 
293        MPISG      2     16         1          25         8          0.000091314316 
294        MPISG      2     16         1          25         8          0.000091791153 
295        MPISG      2     16         1          25         8          0.000093698502 
296        MPISG      2     16         1          25         8          0.000094413757 
297        MPISG      2     16         1          25         8          0.000095129013 
298        MPISG      2     16         1          25         8          0.000093460083 
