N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1502       MPIBLOCK   3     16         1          25         4          0.002217292786 
1503       MPIBLOCK   3     16         1          25         4          0.000179052353 
1504       MPIBLOCK   3     16         1          25         4          0.000273704529 
1505       MPIBLOCK   3     16         1          25         4          0.000249624252 
1506       MPIBLOCK   3     16         1          25         4          0.000291347504 
1507       MPIBLOCK   3     16         1          25         4          0.000254631042 
1508       MPIBLOCK   3     16         1          25         4          0.000168561935 
1509       MPIBLOCK   3     16         1          25         4          0.000200986862 
1510       MPIBLOCK   3     16         1          25         4          0.000166893005 
1511       MPIBLOCK   3     16         1          25         4          0.000187635422 
1512       MPIBLOCK   3     16         1          25         4          0.000205278397 
1513       MPIBLOCK   3     16         1          25         4          0.000159263611 
1514       MPIBLOCK   3     16         1          25         4          0.000214099884 
1515       MPIBLOCK   3     16         1          25         4          0.000229120255 
1516       MPIBLOCK   3     16         1          25         4          0.000212192535 
1517       MPIBLOCK   3     16         1          25         4          0.000191211700 
1518       MPIBLOCK   3     16         1          25         4          0.000149726868 
1519       MPIBLOCK   3     16         1          25         4          0.000137805939 
1520       MPIBLOCK   3     16         1          25         4          0.000168800354 
1521       MPIBLOCK   3     16         1          25         4          0.000132560730 
1522       MPIBLOCK   3     16         1          25         4          0.000138282776 
1523       MPIBLOCK   3     16         1          25         4          0.000177145004 
1524       MPIBLOCK   3     16         1          25         4          0.000182628632 
1525       MPIBLOCK   3     16         1          25         4          0.000185966492 
1526       MPIBLOCK   3     16         1          25         4          0.000138521194 
1527       MPIBLOCK   3     16         1          25         16         0.001331090927 
1528       MPIBLOCK   3     16         1          25         16         0.000326395035 
1529       MPIBLOCK   3     16         1          25         16         0.000289201736 
1530       MPIBLOCK   3     16         1          25         16         0.000286817551 
1531       MPIBLOCK   3     16         1          25         16         0.000674486160 
1532       MPIBLOCK   3     16         1          25         16         0.000200510025 
1533       MPIBLOCK   3     16         1          25         16         0.000230550766 
1534       MPIBLOCK   3     16         1          25         16         0.000207424164 
1535       MPIBLOCK   3     16         1          25         16         0.000194549561 
1536       MPIBLOCK   3     16         1          25         16         0.000189542770 
1537       MPIBLOCK   3     16         1          25         16         0.000191450119 
1538       MPIBLOCK   3     16         1          25         16         0.000199079514 
1539       MPIBLOCK   3     16         1          25         16         0.000183820724 
1540       MPIBLOCK   3     16         1          25         16         0.000202178955 
1541       MPIBLOCK   3     16         1          25         16         0.000202178955 
1542       MPIBLOCK   3     16         1          25         16         0.000190734863 
1543       MPIBLOCK   3     16         1          25         16         0.000195503235 
1544       MPIBLOCK   3     16         1          25         16         0.000201225281 
1545       MPIBLOCK   3     16         1          25         16         0.000180959702 
1546       MPIBLOCK   3     16         1          25         16         0.000185966492 
1547       MPIBLOCK   3     16         1          25         16         0.000179767609 
1548       MPIBLOCK   3     16         1          25         16         0.000171184540 
1549       MPIBLOCK   3     16         1          25         16         0.000159740448 
1550       MPIBLOCK   3     16         1          25         16         0.000166177750 
1551       MPIBLOCK   3     16         1          25         16         0.000154972076 
1552       MPIBLOCK   3     32         1          25         4          0.001808643341 
1553       MPIBLOCK   3     32         1          25         4          0.000521421432 
1554       MPIBLOCK   3     32         1          25         4          0.000666856766 
1555       MPIBLOCK   3     32         1          25         4          0.000586509705 
1556       MPIBLOCK   3     32         1          25         4          0.000499486923 
1557       MPIBLOCK   3     32         1          25         4          0.000528335571 
1558       MPIBLOCK   3     32         1          25         4          0.000590085983 
1559       MPIBLOCK   3     32         1          25         4          0.000476598740 
1560       MPIBLOCK   3     32         1          25         4          0.000481843948 
1561       MPIBLOCK   3     32         1          25         4          0.000452756882 
1562       MPIBLOCK   3     32         1          25         4          0.000458717346 
1563       MPIBLOCK   3     32         1          25         4          0.000444412231 
1564       MPIBLOCK   3     32         1          25         4          0.000445604324 
1565       MPIBLOCK   3     32         1          25         4          0.000497341156 
1566       MPIBLOCK   3     32         1          25         4          0.000451326370 
1567       MPIBLOCK   3     32         1          25         4          0.000501155853 
1568       MPIBLOCK   3     32         1          25         4          0.000542879105 
1569       MPIBLOCK   3     32         1          25         4          0.000495433807 
1570       MPIBLOCK   3     32         1          25         4          0.000533819199 
1571       MPIBLOCK   3     32         1          25         4          0.000522851944 
1572       MPIBLOCK   3     32         1          25         4          0.000453710556 
1573       MPIBLOCK   3     32         1          25         4          0.000530719757 
1574       MPIBLOCK   3     32         1          25         4          0.000450372696 
1575       MPIBLOCK   3     32         1          25         4          0.000537395477 
