N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000054359436 
3          SO0        1     16         1          25         1          0.000013828278 
4          SO0        1     16         1          25         1          0.000012159348 
5          SO0        1     16         1          25         1          0.000012874603 
6          SO0        1     16         1          25         1          0.000012397766 
7          SO0        1     16         1          25         1          0.000012874603 
8          SO0        1     16         1          25         1          0.000013828278 
9          SO0        1     16         1          25         1          0.000012636185 
10         SO0        1     16         1          25         1          0.000013351440 
11         SO0        1     16         1          25         1          0.000012874603 
12         SO0        1     16         1          25         1          0.000014305115 
13         SO0        1     16         1          25         1          0.000014543533 
14         SO0        1     16         1          25         1          0.000014305115 
15         SO0        1     16         1          25         1          0.000014066696 
16         SO0        1     16         1          25         1          0.000013589859 
17         SO0        1     16         1          25         1          0.000013351440 
18         SO0        1     16         1          25         1          0.000013589859 
19         SO0        1     16         1          25         1          0.000013828278 
20         SO0        1     16         1          25         1          0.000012874603 
21         SO0        1     16         1          25         1          0.000014543533 
22         SO0        1     16         1          25         1          0.000012636185 
23         SO0        1     16         1          25         1          0.000012636185 
24         SO0        1     16         1          25         1          0.000011205673 
25         SO0        1     16         1          25         1          0.000013589859 
26         SO0        1     16         1          25         1          0.000010967255 
27         SO0        1     32         1          25         1          0.000059366226 
28         SO0        1     32         1          25         1          0.000016450882 
29         SO0        1     32         1          25         1          0.000017642975 
30         SO0        1     32         1          25         1          0.000020027161 
31         SO0        1     32         1          25         1          0.000020027161 
32         SO0        1     32         1          25         1          0.000017166138 
33         SO0        1     32         1          25         1          0.000018119812 
34         SO0        1     32         1          25         1          0.000018596649 
35         SO0        1     32         1          25         1          0.000018119812 
36         SO0        1     32         1          25         1          0.000019788742 
37         SO0        1     32         1          25         1          0.000018596649 
38         SO0        1     32         1          25         1          0.000018835068 
39         SO0        1     32         1          25         1          0.000019311905 
40         SO0        1     32         1          25         1          0.000024557114 
41         SO0        1     32         1          25         1          0.000017881393 
42         SO0        1     32         1          25         1          0.000021457672 
43         SO0        1     32         1          25         1          0.000020742416 
44         SO0        1     32         1          25         1          0.000020503998 
45         SO0        1     32         1          25         1          0.000018358231 
46         SO0        1     32         1          25         1          0.000016689301 
47         SO0        1     32         1          25         1          0.000016927719 
48         SO0        1     32         1          25         1          0.000017404556 
49         SO0        1     32         1          25         1          0.000016450882 
50         SO0        1     32         1          25         1          0.000016927719 
51         SO0        1     32         1          25         1          0.000016212463 
52         SO0        1     64         1          25         1          0.000091552734 
53         SO0        1     64         1          25         1          0.000030994415 
54         SO0        1     64         1          25         1          0.000031709671 
55         SO0        1     64         1          25         1          0.000031232834 
56         SO0        1     64         1          25         1          0.000030279160 
