N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG      1     16         1          25         1          0.000015664101  0.000015664101  1.00       100.00    %
2          MPISG      1     32         1          25         1          0.000020647049  0.000020647049  1.00       100.00    %
3          MPISG      1     64         1          25         1          0.000062513351  0.000062513351  1.00       100.00    %
4          MPISG      1     128        1          25         1          0.000136637688  0.000136637688  1.00       100.00    %
5          MPISG      1     256        1          25         1          0.000498509407  0.000498509407  1.00       100.00    %
6          MPISG      1     512        1          25         1          0.002468919754  0.002468919754  1.00       100.00    %
7          MPISG      1     1024       1          25         1          0.011301350594  0.011301350594  1.00       100.00    %
8          MPISG      1     2048       1          25         1          0.054117345810  0.054117345810  1.00       100.00    %
9          MPISG      1     4096       1          25         1          0.296719384193  0.296719384193  1.00       100.00    %
10         MPIBLOCK   1     16         1          25         1          0.000014925003  0.000014925003  1.00       100.00    %
11         MPIBLOCK   1     32         1          25         1          0.000020432472  0.000020432472  1.00       100.00    %
12         MPIBLOCK   1     64         1          25         1          0.000070333481  0.000070333481  1.00       100.00    %
13         MPIBLOCK   1     128        1          25         1          0.000120806694  0.000120806694  1.00       100.00    %
14         MPIBLOCK   1     256        1          25         1          0.000475287437  0.000475287437  1.00       100.00    %
15         MPIBLOCK   1     512        1          25         1          0.002444314957  0.002444314957  1.00       100.00    %
16         MPIBLOCK   1     1024       1          25         1          0.011018228531  0.011018228531  1.00       100.00    %
17         MPIBLOCK   1     2048       1          25         1          0.053053569794  0.053053569794  1.00       100.00    %
18         MPIBLOCK   1     4096       1          25         1          0.294985938072  0.294985938072  1.00       100.00    %
19         MPISG      2     16         1          25         2          0.000053286552  0.000015664101  0.29       14.70     %
20         MPISG      2     16         1          25         4          0.000092864037  0.000015664101  0.17       4.22      %
21         MPISG      2     16         1          25         8          0.000091242790  0.000015664101  0.17       2.15      %
22         MPISG      2     16         1          25         16         0.000195074081  0.000015664101  0.08       0.50      %
23         MPISG      2     32         1          25         2          0.000066089630  0.000020647049  0.31       15.62     %
24         MPISG      2     32         1          25         4          0.000156593323  0.000020647049  0.13       3.30      %
25         MPISG      2     32         1          25         8          0.000181508064  0.000020647049  0.11       1.42      %
26         MPISG      2     32         1          25         16         0.000410604477  0.000020647049  0.05       0.31      %
27         MPISG      2     32         1          25         32         0.000550246239  0.000020647049  0.04       0.12      %
28         MPISG      2     64         1          25         2          0.000111484528  0.000062513351  0.56       28.04     %
29         MPISG      2     64         1          25         4          0.000178289413  0.000062513351  0.35       8.77      %
30         MPISG      2     64         1          25         8          0.000337505341  0.000062513351  0.19       2.32      %
31         MPISG      2     64         1          25         16         0.000954627991  0.000062513351  0.07       0.41      %
32         MPISG      2     64         1          25         32         0.001072096825  0.000062513351  0.06       0.18      %
33         MPISG      2     64         1          25         64         0.002400660515  0.000062513351  0.03       0.04      %
34         MPISG      2     128        1          25         2          0.000203347206  0.000136637688  0.67       33.60     %
35         MPISG      2     128        1          25         4          0.000408148766  0.000136637688  0.33       8.37      %
36         MPISG      2     128        1          25         8          0.000885319710  0.000136637688  0.15       1.93      %
37         MPISG      2     128        1          25         16         0.002388644218  0.000136637688  0.06       0.36      %
38         MPISG      2     128        1          25         32         0.002103304863  0.000136637688  0.06       0.20      %
39         MPISG      2     128        1          25         64         0.004596233368  0.000136637688  0.03       0.05      %
40         MPISG      2     256        1          25         2          0.000580787659  0.000498509407  0.86       42.92     %
41         MPISG      2     256        1          25         4          0.000954055786  0.000498509407  0.52       13.06     %
42         MPISG      2     256        1          25         8          0.002272033691  0.000498509407  0.22       2.74      %
43         MPISG      2     256        1          25         16         0.007016921043  0.000498509407  0.07       0.44      %
44         MPISG      2     256        1          25         32         0.004370141029  0.000498509407  0.11       0.36      %
45         MPISG      2     256        1          25         64         0.008774757385  0.000498509407  0.06       0.09      %
46         MPISG      2     512        1          25         2          0.002098250389  0.002468919754  1.18       58.83     %
47         MPISG      2     512        1          25         4          0.002597570419  0.002468919754  0.95       23.76     %
48         MPISG      2     512        1          25         8          0.005541324615  0.002468919754  0.45       5.57      %
49         MPISG      2     512        1          25         16         0.017743921280  0.002468919754  0.14       0.87      %
50         MPISG      2     512        1          25         32         0.009276294708  0.002468919754  0.27       0.83      %
51         MPISG      2     512        1          25         64         0.018967676163  0.002468919754  0.13       0.20      %
52         MPISG      2     1024       1          25         2          0.008621501923  0.011301350594  1.31       65.54     %
53         MPISG      2     1024       1          25         4          0.008854985237  0.011301350594  1.28       31.91     %
54         MPISG      2     1024       1          25         8          0.013449978828  0.011301350594  0.84       10.50     %
55         MPISG      2     1024       1          25         16         0.039469742775  0.011301350594  0.29       1.79      %
56         MPISG      2     1024       1          25         32         0.020435333252  0.011301350594  0.55       1.73      %
57         MPISG      2     1024       1          25         64         0.040929412842  0.011301350594  0.28       0.43      %
58         MPISG      2     2048       1          25         2          0.037722754478  0.054117345810  1.43       71.73     %
59         MPISG      2     2048       1          25         4          0.029768085480  0.054117345810  1.82       45.45     %
60         MPISG      2     2048       1          25         8          0.042526698112  0.054117345810  1.27       15.91     %
61         MPISG      2     2048       1          25         16         0.092715859413  0.054117345810  0.58       3.65      %
62         MPISG      2     2048       1          25         32         0.048568367958  0.054117345810  1.11       3.48      %
