N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          MPISG      1     16         1          25         1          0.000004744530  0.000004744530  1.00       100.00    %
3          MPISG      1     32         1          25         1          0.000006675720  0.000006675720  1.00       100.00    %
4          MPISG      1     64         1          25         1          0.000019931793  0.000019931793  1.00       100.00    %
5          MPISG      1     128        1          25         1          0.000100708008  0.000100708008  1.00       100.00    %
6          MPISG      1     256        1          25         1          0.000423073769  0.000423073769  1.00       100.00    %
7          MPISG      1     512        1          25         1          0.002211976051  0.002211976051  1.00       100.00    %
8          MPISG      1     1024       1          25         1          0.010848879814  0.010848879814  1.00       100.00    %
9          MPISG      1     2048       1          25         1          0.053474926949  0.053474926949  1.00       100.00    %
10         MPISG      1     4096       1          25         1          0.241589307785  0.241589307785  1.00       100.00    %
11         MPIBLOCK   1     16         1          25         1          0.000004887581  0.000004887581  1.00       100.00    %
12         MPIBLOCK   1     32         1          25         1          0.000006866455  0.000006866455  1.00       100.00    %
13         MPIBLOCK   1     64         1          25         1          0.000020170212  0.000020170212  1.00       100.00    %
14         MPIBLOCK   1     128        1          25         1          0.000102066994  0.000102066994  1.00       100.00    %
15         MPIBLOCK   1     256        1          25         1          0.000422644615  0.000422644615  1.00       100.00    %
16         MPIBLOCK   1     512        1          25         1          0.002218985558  0.002218985558  1.00       100.00    %
17         MPIBLOCK   1     1024       1          25         1          0.010767531395  0.010767531395  1.00       100.00    %
18         MPIBLOCK   1     2048       1          25         1          0.052497291565  0.052497291565  1.00       100.00    %
19         MPIBLOCK   1     4096       1          25         1          0.240306329727  0.240306329727  1.00       100.00    %
52         MPISG      1     16         1          25         1          0.000012803078  0.000012803078  1.00       100.00    %
53         MPISG      1     32         1          25         1          0.000018429756  0.000018429756  1.00       100.00    %
54         MPISG      1     64         1          25         1          0.000058507919  0.000058507919  1.00       100.00    %
55         MPISG      1     128        1          25         1          0.000141191483  0.000141191483  1.00       100.00    %
56         MPISG      1     256        1          25         1          0.000469064713  0.000469064713  1.00       100.00    %
57         MPISG      1     512        1          25         1          0.002313709259  0.002313709259  1.00       100.00    %
58         MPISG      1     1024       1          25         1          0.009326004982  0.009326004982  1.00       100.00    %
59         MPISG      1     2048       1          25         1          0.042797064781  0.042797064781  1.00       100.00    %
60         MPISG      1     4096       1          25         1          0.266720771790  0.266720771790  1.00       100.00    %
61         MPIBLOCK   1     16         1          25         1          0.000012874603  0.000012874603  1.00       100.00    %
62         MPIBLOCK   1     32         1          25         1          0.000012636185  0.000012636185  1.00       100.00    %
63         MPIBLOCK   1     64         1          25         1          0.000060343742  0.000060343742  1.00       100.00    %
64         MPIBLOCK   1     128        1          25         1          0.000231099129  0.000231099129  1.00       100.00    %
65         MPIBLOCK   1     256        1          25         1          0.000471496582  0.000471496582  1.00       100.00    %
66         MPIBLOCK   1     512        1          25         1          0.002318501472  0.002318501472  1.00       100.00    %
67         MPIBLOCK   1     1024       1          25         1          0.009196162224  0.009196162224  1.00       100.00    %
68         MPIBLOCK   1     2048       1          25         1          0.039319777489  0.039319777489  1.00       100.00    %
69         MPIBLOCK   1     4096       1          25         1          0.256710433960  0.256710433960  1.00       100.00    %
