N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
20         MPISG      2     16         1          25         2          0.000050592422  0.000016140938  0.32       15.95     %
21         MPISG      2     16         1          25         4          0.000092792511  0.000016140938  0.17       4.35      %
22         MPISG      2     16         1          25         8          0.000209569931  0.000016140938  0.08       0.96      %
23         MPISG      2     16         1          25         16         0.000187587738  0.000016140938  0.09       0.54      %
24         MPISG      2     32         1          25         2          0.000066757202  0.000023317337  0.35       17.46     %
25         MPISG      2     32         1          25         4          0.000142645836  0.000023317337  0.16       4.09      %
26         MPISG      2     32         1          25         8          0.000189423561  0.000023317337  0.12       1.54      %
27         MPISG      2     32         1          25         16         0.000389766693  0.000023317337  0.06       0.37      %
28         MPISG      2     32         1          25         32         0.000539803505  0.000023317337  0.04       0.13      %
29         MPISG      2     64         1          25         2          0.000117278099  0.000058627129  0.50       24.99     %
30         MPISG      2     64         1          25         4          0.000213932991  0.000058627129  0.27       6.85      %
31         MPISG      2     64         1          25         8          0.000363612175  0.000058627129  0.16       2.02      %
32         MPISG      2     64         1          25         16         0.000965428352  0.000058627129  0.06       0.38      %
33         MPISG      2     64         1          25         32         0.001061201096  0.000058627129  0.06       0.17      %
34         MPISG      2     64         1          25         64         0.002186012268  0.000058627129  0.03       0.04      %
35         MPISG      2     128        1          25         2          0.000178837776  0.000188112259  1.05       52.59     %
36         MPISG      2     128        1          25         4          0.000425267220  0.000188112259  0.44       11.06     %
37         MPISG      2     128        1          25         8          0.000869774818  0.000188112259  0.22       2.70      %
38         MPISG      2     128        1          25         16         0.002421307564  0.000188112259  0.08       0.49      %
39         MPISG      2     128        1          25         32         0.002020549774  0.000188112259  0.09       0.29      %
40         MPISG      2     128        1          25         64         0.004233288765  0.000188112259  0.04       0.07      %
41         MPISG      2     256        1          25         2          0.000573945045  0.000504541397  0.88       43.95     %
42         MPISG      2     256        1          25         4          0.000933933258  0.000504541397  0.54       13.51     %
43         MPISG      2     256        1          25         8          0.002338004112  0.000504541397  0.22       2.70      %
44         MPISG      2     256        1          25         16         0.006845474243  0.000504541397  0.07       0.46      %
45         MPISG      2     256        1          25         32         0.004443502426  0.000504541397  0.11       0.35      %
46         MPISG      2     256        1          25         64         0.008971405029  0.000504541397  0.06       0.09      %
47         MPISG      2     512        1          25         2          0.002047109604  0.002449893951  1.20       59.84     %
48         MPISG      2     512        1          25         4          0.002693247795  0.002449893951  0.91       22.74     %
49         MPISG      2     512        1          25         8          0.005417418480  0.002449893951  0.45       5.65      %
50         MPISG      2     512        1          25         16         0.017872524261  0.002449893951  0.14       0.86      %
51         MPISG      2     512        1          25         32         0.009267997742  0.002449893951  0.26       0.83      %
52         MPISG      2     512        1          25         64         0.017089700699  0.002449893951  0.14       0.22      %
53         MPISG      2     1024       1          25         2          0.008103513718  0.010879874229  1.34       67.13     %
54         MPISG      2     1024       1          25         4          0.008511114120  0.010879874229  1.28       31.96     %
55         MPISG      2     1024       1          25         8          0.012362074852  0.010879874229  0.88       11.00     %
56         MPISG      2     1024       1          25         16         0.038752198219  0.010879874229  0.28       1.75      %
57         MPISG      2     1024       1          25         32         0.020645546913  0.010879874229  0.53       1.65      %
58         MPISG      2     1024       1          25         64         0.037089157104  0.010879874229  0.29       0.46      %
59         MPISG      2     2048       1          25         2          0.032825875282  0.050832009315  1.55       77.43     %
60         MPISG      2     2048       1          25         4          0.028481841087  0.050832009315  1.78       44.62     %
61         MPISG      2     2048       1          25         8          0.038834595680  0.050832009315  1.31       16.36     %
62         MPISG      2     2048       1          25         16         0.096176624298  0.050832009315  0.53       3.30      %
63         MPISG      2     2048       1          25         32         0.046421527863  0.050832009315  1.10       3.42      %
64         MPISG      2     2048       1          25         64         0.084136486053  0.050832009315  0.60       0.94      %
65         MPISG      2     4096       1          25         2          0.170244097710  0.258784317970  1.52       76.00     %
66         MPISG      2     4096       1          25         4          0.150776052475  0.258784317970  1.72       42.91     %
67         MPISG      2     4096       1          25         8          0.156444454193  0.258784317970  1.65       20.68     %
68         MPISG      2     4096       1          25         16         0.253967642784  0.258784317970  1.02       6.37      %
69         MPISG      2     4096       1          25         32         0.135658359528  0.258784317970  1.91       5.96      %
70         MPISG      2     4096       1          25         64         0.229351425171  0.258784317970  1.13       1.76      %
