N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          MPISG      1     16         1          25         1          0.000032663345 
3          MPISG      1     16         1          25         1          0.000017642975 
4          MPISG      1     16         1          25         1          0.000017642975 
5          MPISG      1     16         1          25         1          0.000018119812 
6          MPISG      1     16         1          25         1          0.000015735626 
7          MPISG      1     16         1          25         1          0.000015020370 
8          MPISG      1     16         1          25         1          0.000017881393 
9          MPISG      1     16         1          25         1          0.000014781952 
10         MPISG      1     16         1          25         1          0.000014543533 
11         MPISG      1     16         1          25         1          0.000014305115 
12         MPISG      1     16         1          25         1          0.000018119812 
13         MPISG      1     16         1          25         1          0.000014781952 
14         MPISG      1     16         1          25         1          0.000005960464 
15         MPISG      1     16         1          25         1          0.000017642975 
16         MPISG      1     16         1          25         1          0.000014543533 
17         MPISG      1     16         1          25         1          0.000014066696 
18         MPISG      1     16         1          25         1          0.000017881393 
19         MPISG      1     16         1          25         1          0.000014543533 
20         MPISG      1     16         1          25         1          0.000021219254 
21         MPISG      1     16         1          25         1          0.000019073486 
22         MPISG      1     16         1          25         1          0.000015735626 
23         MPISG      1     16         1          25         1          0.000018596649 
24         MPISG      1     16         1          25         1          0.000014781952 
25         MPISG      1     16         1          25         1          0.000017642975 
26         MPISG      1     16         1          25         1          0.000014543533 
27         MPISG      1     32         1          25         1          0.000027656555 
28         MPISG      1     32         1          25         1          0.000025510788 
29         MPISG      1     32         1          25         1          0.000023603439 
30         MPISG      1     32         1          25         1          0.000007629395 
31         MPISG      1     32         1          25         1          0.000024795532 
32         MPISG      1     32         1          25         1          0.000022888184 
33         MPISG      1     32         1          25         1          0.000032424927 
34         MPISG      1     32         1          25         1          0.000025749207 
35         MPISG      1     32         1          25         1          0.000023365021 
36         MPISG      1     32         1          25         1          0.000022888184 
37         MPISG      1     32         1          25         1          0.000007867813 
38         MPISG      1     32         1          25         1          0.000025033951 
39         MPISG      1     32         1          25         1          0.000008106232 
40         MPISG      1     32         1          25         1          0.000023841858 
41         MPISG      1     32         1          25         1          0.000023841858 
42         MPISG      1     32         1          25         1          0.000022888184 
43         MPISG      1     32         1          25         1          0.000020027161 
44         MPISG      1     32         1          25         1          0.000008821487 
45         MPISG      1     32         1          25         1          0.000024080276 
46         MPISG      1     32         1          25         1          0.000022649765 
47         MPISG      1     32         1          25         1          0.000023603439 
48         MPISG      1     32         1          25         1          0.000023841858 
49         MPISG      1     32         1          25         1          0.000023126602 
50         MPISG      1     32         1          25         1          0.000007867813 
51         MPISG      1     32         1          25         1          0.000023126602 
52         MPISG      1     64         1          25         1          0.000053644180 
53         MPISG      1     64         1          25         1          0.000081062317 
54         MPISG      1     64         1          25         1          0.000077009201 
55         MPISG      1     64         1          25         1          0.000078678131 
56         MPISG      1     64         1          25         1          0.000078678131 
57         MPISG      1     64         1          25         1          0.000023841858 
58         MPISG      1     64         1          25         1          0.000024557114 
59         MPISG      1     64         1          25         1          0.000072002411 
60         MPISG      1     64         1          25         1          0.000088214874 
61         MPISG      1     64         1          25         1          0.000076532364 
62         MPISG      1     64         1          25         1          0.000022649765 
63         MPISG      1     64         1          25         1          0.000023126602 
64         MPISG      1     64         1          25         1          0.000088453293 
65         MPISG      1     64         1          25         1          0.000023126602 
66         MPISG      1     64         1          25         1          0.000085592270 
67         MPISG      1     64         1          25         1          0.000032424927 
68         MPISG      1     64         1          25         1          0.000074863434 
69         MPISG      1     64         1          25         1          0.000078201294 
70         MPISG      1     64         1          25         1          0.000072479248 
71         MPISG      1     64         1          25         1          0.000079631805 
72         MPISG      1     64         1          25         1          0.000025749207 
73         MPISG      1     64         1          25         1          0.000024795532 
74         MPISG      1     64         1          25         1          0.000024318695 
75         MPISG      1     64         1          25         1          0.000025749207 
76         MPISG      1     64         1          25         1          0.000075817108 
77         MPISG      1     128        1          25         1          0.000168561935 
78         MPISG      1     128        1          25         1          0.000121593475 
79         MPISG      1     128        1          25         1          0.000125646591 
80         MPISG      1     128        1          25         1          0.000133752823 
81         MPISG      1     128        1          25         1          0.000118494034 
82         MPISG      1     128        1          25         1          0.000222444534 
83         MPISG      1     128        1          25         1          0.000384807587 
84         MPISG      1     128        1          25         1          0.000386714935 
85         MPISG      1     128        1          25         1          0.000367403030 
86         MPISG      1     128        1          25         1          0.000294446945 
87         MPISG      1     128        1          25         1          0.000296115875 
88         MPISG      1     128        1          25         1          0.000116348267 
89         MPISG      1     128        1          25         1          0.000116348267 
90         MPISG      1     128        1          25         1          0.000290155411 
91         MPISG      1     128        1          25         1          0.000118494034 
92         MPISG      1     128        1          25         1          0.000128030777 
93         MPISG      1     128        1          25         1          0.000228404999 
94         MPISG      1     128        1          25         1          0.000258922577 
95         MPISG      1     128        1          25         1          0.000203132629 
96         MPISG      1     128        1          25         1          0.000122070312 
97         MPISG      1     128        1          25         1          0.000300645828 
98         MPISG      1     128        1          25         1          0.000122070312 
99         MPISG      1     128        1          25         1          0.000120162964 
100        MPISG      1     128        1          25         1          0.000375509262 
101        MPISG      1     128        1          25         1          0.000358104706 
102        MPISG      1     256        1          25         1          0.000613689423 
103        MPISG      1     256        1          25         1          0.000503301620 
104        MPISG      1     256        1          25         1          0.000507593155 
105        MPISG      1     256        1          25         1          0.000493526459 
106        MPISG      1     256        1          25         1          0.000495433807 
107        MPISG      1     256        1          25         1          0.000504732132 
108        MPISG      1     256        1          25         1          0.000513792038 
109        MPISG      1     256        1          25         1          0.000499963760 
110        MPISG      1     256        1          25         1          0.000504732132 
111        MPISG      1     256        1          25         1          0.000505924225 
112        MPISG      1     256        1          25         1          0.000496149063 
113        MPISG      1     256        1          25         1          0.000480651855 
114        MPISG      1     256        1          25         1          0.000503063202 
115        MPISG      1     256        1          25         1          0.000507354736 
116        MPISG      1     256        1          25         1          0.000498533249 
117        MPISG      1     256        1          25         1          0.000510931015 
118        MPISG      1     256        1          25         1          0.000486612320 
119        MPISG      1     256        1          25         1          0.000502824783 
120        MPISG      1     256        1          25         1          0.000508785248 
121        MPISG      1     256        1          25         1          0.000509023666 
122        MPISG      1     256        1          25         1          0.000492095947 
123        MPISG      1     256        1          25         1          0.000514984131 
124        MPISG      1     256        1          25         1          0.000505924225 
125        MPISG      1     256        1          25         1          0.000507831573 
126        MPISG      1     256        1          25         1          0.000512599945 
127        MPISG      1     512        1          25         1          0.002834558487 
128        MPISG      1     512        1          25         1          0.002417087555 
129        MPISG      1     512        1          25         1          0.002395391464 
130        MPISG      1     512        1          25         1          0.002526998520 
131        MPISG      1     512        1          25         1          0.002502918243 
132        MPISG      1     512        1          25         1          0.002464532852 
133        MPISG      1     512        1          25         1          0.002477169037 
134        MPISG      1     512        1          25         1          0.002299785614 
135        MPISG      1     512        1          25         1          0.002372503281 
136        MPISG      1     512        1          25         1          0.002464532852 
137        MPISG      1     512        1          25         1          0.002520561218 
138        MPISG      1     512        1          25         1          0.002405881882 
139        MPISG      1     512        1          25         1          0.002497911453 
140        MPISG      1     512        1          25         1          0.002365589142 
141        MPISG      1     512        1          25         1          0.002360820770 
142        MPISG      1     512        1          25         1          0.002499103546 
143        MPISG      1     512        1          25         1          0.002480030060 
144        MPISG      1     512        1          25         1          0.002478599548 
145        MPISG      1     512        1          25         1          0.002451658249 
146        MPISG      1     512        1          25         1          0.002325057983 
147        MPISG      1     512        1          25         1          0.002311468124 
148        MPISG      1     512        1          25         1          0.002490520477 
149        MPISG      1     512        1          25         1          0.002448558807 
150        MPISG      1     512        1          25         1          0.002449750900 
151        MPISG      1     512        1          25         1          0.002441167831 
152        MPISG      1     1024       1          25         1          0.012150526047 
153        MPISG      1     1024       1          25         1          0.011752367020 
154        MPISG      1     1024       1          25         1          0.011289358139 
155        MPISG      1     1024       1          25         1          0.010975360870 
156        MPISG      1     1024       1          25         1          0.011011123657 
157        MPISG      1     1024       1          25         1          0.010818958282 
158        MPISG      1     1024       1          25         1          0.010997056961 
159        MPISG      1     1024       1          25         1          0.010746717453 
160        MPISG      1     1024       1          25         1          0.010713815689 
161        MPISG      1     1024       1          25         1          0.010812759399 
162        MPISG      1     1024       1          25         1          0.010713100433 
163        MPISG      1     1024       1          25         1          0.010795593262 
164        MPISG      1     1024       1          25         1          0.010295152664 
165        MPISG      1     1024       1          25         1          0.010303020477 
166        MPISG      1     1024       1          25         1          0.010869264603 
167        MPISG      1     1024       1          25         1          0.011168241501 
168        MPISG      1     1024       1          25         1          0.011206150055 
169        MPISG      1     1024       1          25         1          0.011067152023 
170        MPISG      1     1024       1          25         1          0.010968446732 
171        MPISG      1     1024       1          25         1          0.010883092880 
172        MPISG      1     1024       1          25         1          0.010864257812 
173        MPISG      1     1024       1          25         1          0.010813951492 
174        MPISG      1     1024       1          25         1          0.011073589325 
175        MPISG      1     1024       1          25         1          0.010117769241 
176        MPISG      1     1024       1          25         1          0.010205268860 
177        MPISG      1     2048       1          25         1          0.052964448929 
178        MPISG      1     2048       1          25         1          0.052362203598 
179        MPISG      1     2048       1          25         1          0.050163507462 
180        MPISG      1     2048       1          25         1          0.050857305527 
181        MPISG      1     2048       1          25         1          0.051862716675 
182        MPISG      1     2048       1          25         1          0.050447225571 
183        MPISG      1     2048       1          25         1          0.050597906113 
184        MPISG      1     2048       1          25         1          0.050601720810 
185        MPISG      1     2048       1          25         1          0.050385951996 
186        MPISG      1     2048       1          25         1          0.050883054733 
187        MPISG      1     2048       1          25         1          0.050623655319 
188        MPISG      1     2048       1          25         1          0.051371574402 
189        MPISG      1     2048       1          25         1          0.051443576813 
190        MPISG      1     2048       1          25         1          0.050570249557 
191        MPISG      1     2048       1          25         1          0.051091194153 
192        MPISG      1     2048       1          25         1          0.050508975983 
193        MPISG      1     2048       1          25         1          0.050309419632 
194        MPISG      1     2048       1          25         1          0.051279067993 
195        MPISG      1     2048       1          25         1          0.050781965256 
196        MPISG      1     2048       1          25         1          0.051484107971 
197        MPISG      1     2048       1          25         1          0.054251670837 
198        MPISG      1     2048       1          25         1          0.051423072815 
199        MPISG      1     2048       1          25         1          0.044975757599 
200        MPISG      1     2048       1          25         1          0.045170545578 
201        MPISG      1     2048       1          25         1          0.051033973694 
202        MPISG      1     4096       1          25         1          0.265894889832 
203        MPISG      1     4096       1          25         1          0.266742467880 
204        MPISG      1     4096       1          25         1          0.267072916031 
205        MPISG      1     4096       1          25         1          0.253430843353 
206        MPISG      1     4096       1          25         1          0.255506038666 
207        MPISG      1     4096       1          25         1          0.252545833588 
208        MPISG      1     4096       1          25         1          0.254268407822 
209        MPISG      1     4096       1          25         1          0.253298044205 
210        MPISG      1     4096       1          25         1          0.252575635910 
211        MPISG      1     4096       1          25         1          0.268975734711 
212        MPISG      1     4096       1          25         1          0.266828060150 
213        MPISG      1     4096       1          25         1          0.258257389069 
214        MPISG      1     4096       1          25         1          0.252338409424 
215        MPISG      1     4096       1          25         1          0.266970157623 
216        MPISG      1     4096       1          25         1          0.268708229065 
217        MPISG      1     4096       1          25         1          0.257300615311 
218        MPISG      1     4096       1          25         1          0.251479864120 
219        MPISG      1     4096       1          25         1          0.248961448669 
220        MPISG      1     4096       1          25         1          0.251738309860 
221        MPISG      1     4096       1          25         1          0.268972635269 
222        MPISG      1     4096       1          25         1          0.267631530762 
223        MPISG      1     4096       1          25         1          0.267435312271 
224        MPISG      1     4096       1          25         1          0.256316423416 
225        MPISG      1     4096       1          25         1          0.253281116486 
226        MPISG      1     4096       1          25         1          0.267864942551 
227        MPIBLOCK   1     16         1          25         1          0.000036239624 
228        MPIBLOCK   1     16         1          25         1          0.000018596649 
229        MPIBLOCK   1     16         1          25         1          0.000016450882 
230        MPIBLOCK   1     16         1          25         1          0.000015974045 
231        MPIBLOCK   1     16         1          25         1          0.000015258789 
232        MPIBLOCK   1     16         1          25         1          0.000015258789 
233        MPIBLOCK   1     16         1          25         1          0.000005960464 
234        MPIBLOCK   1     16         1          25         1          0.000014543533 
235        MPIBLOCK   1     16         1          25         1          0.000014305115 
236        MPIBLOCK   1     16         1          25         1          0.000014543533 
237        MPIBLOCK   1     16         1          25         1          0.000018119812 
238        MPIBLOCK   1     16         1          25         1          0.000005006790 
239        MPIBLOCK   1     16         1          25         1          0.000018596649 
240        MPIBLOCK   1     16         1          25         1          0.000019073486 
241        MPIBLOCK   1     16         1          25         1          0.000014781952 
