N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
104        MPIBLOCK   3     16         1          25         4          0.000205349922  -               -          -         %
105        MPIBLOCK   3     16         1          25         16         0.000210189819  -               -          -         %
106        MPIBLOCK   3     32         1          25         4          0.000452017784  -               -          -         %
107        MPIBLOCK   3     32         1          25         16         0.000424075127  -               -          -         %
108        MPIBLOCK   3     64         1          25         4          0.001761269569  -               -          -         %
109        MPIBLOCK   3     64         1          25         16         0.000768065453  -               -          -         %
110        MPIBLOCK   3     64         1          25         64         0.000755023956  -               -          -         %
111        MPIBLOCK   3     128        1          25         4          0.006336379051  -               -          -         %
112        MPIBLOCK   3     128        1          25         16         0.002656054497  -               -          -         %
113        MPIBLOCK   3     128        1          25         64         0.001871657372  -               -          -         %
114        MPIBLOCK   3     256        1          25         4          0.024450469017  -               -          -         %
115        MPIBLOCK   3     256        1          25         16         0.009220409393  -               -          -         %
116        MPIBLOCK   3     256        1          25         64         0.004620146751  -               -          -         %
117        MPIBLOCK   3     512        1          25         4          0.035757088661  -               -          -         %
118        MPIBLOCK   3     512        1          25         16         0.033575463295  -               -          -         %
119        MPIBLOCK   3     512        1          25         64         0.013463711739  -               -          -         %
120        MPIBLOCK   3     1024       1          25         4          0.389597678185  -               -          -         %
121        MPIBLOCK   3     1024       1          25         16         0.126401162148  -               -          -         %
122        MPIBLOCK   3     1024       1          25         64         0.043908977509  -               -          -         %
123        MPIBLOCK   3     2048       1          25         4          1.530820941925  -               -          -         %
124        MPIBLOCK   3     2048       1          25         16         0.481723237038  -               -          -         %
125        MPIBLOCK   3     2048       1          25         64         0.159225964546  -               -          -         %
128        MPIBLOCK   3     4096       1          25         4          6.121635413170  -               -          -         %
129        MPIBLOCK   3     4096       1          25         16         1.863857507706  -               -          -         %
130        MPIBLOCK   3     4096       1          25         64         0.614968204498  -               -          -         %
132        MPIBLOCK   3     16         1          25         4          0.000190663338  -               -          -         %
133        MPIBLOCK   3     16         1          25         16         0.000245785713  -               -          -         %
134        MPIBLOCK   3     32         1          25         4          0.000499224663  -               -          -         %
135        MPIBLOCK   3     32         1          25         16         0.000440835953  -               -          -         %
136        MPIBLOCK   3     64         1          25         4          0.001753401756  -               -          -         %
137        MPIBLOCK   3     64         1          25         16         0.000862145424  -               -          -         %
138        MPIBLOCK   3     64         1          25         64         0.016970515251  -               -          -         %
139        MPIBLOCK   3     128        1          25         4          0.003679990768  -               -          -         %
140        MPIBLOCK   3     128        1          25         16         0.002663302422  -               -          -         %
141        MPIBLOCK   3     128        1          25         64         0.002082538605  -               -          -         %
142        MPIBLOCK   3     256        1          25         4          0.026968812943  -               -          -         %
143        MPIBLOCK   3     256        1          25         16         0.008738493919  -               -          -         %
144        MPIBLOCK   3     256        1          25         64         0.004938912392  -               -          -         %
145        MPIBLOCK   3     512        1          25         4          0.097325086594  -               -          -         %
146        MPIBLOCK   3     512        1          25         16         0.031695151329  -               -          -         %
147        MPIBLOCK   3     512        1          25         64         0.013761043549  -               -          -         %
148        MPIBLOCK   3     1024       1          25         4          0.342500996590  -               -          -         %
149        MPIBLOCK   3     1024       1          25         16         0.129139542580  -               -          -         %
150        MPIBLOCK   3     1024       1          25         64         0.045920991898  -               -          -         %
151        MPIBLOCK   3     2048       1          25         4          1.534725809097  -               -          -         %
152        MPIBLOCK   3     2048       1          25         16         0.519318771362  -               -          -         %
153        MPIBLOCK   3     2048       1          25         64         0.165026807785  -               -          -         %
154        MPIBLOCK   3     4096       1          25         4          6.255765390396  -               -          -         %
155        MPIBLOCK   3     4096       1          25         16         1.970768284798  -               -          -         %
156        MPIBLOCK   3     4096       1          25         64         0.612989306450  -               -          -         %
