N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
27         MPISG      2     16         1          25         2          0.000068426132 
28         MPISG      2     16         1          25         2          0.000034093857 
29         MPISG      2     16         1          25         2          0.000071287155 
30         MPISG      2     16         1          25         2          0.000060558319 
31         MPISG      2     16         1          25         2          0.000019550323 
32         MPISG      2     16         1          25         2          0.000036716461 
33         MPISG      2     16         1          25         2          0.000018835068 
34         MPISG      2     16         1          25         2          0.000036716461 
35         MPISG      2     16         1          25         2          0.000034093857 
36         MPISG      2     16         1          25         2          0.000016689301 
37         MPISG      2     16         1          25         2          0.000038385391 
38         MPISG      2     16         1          25         2          0.000032186508 
39         MPISG      2     16         1          25         2          0.000016212463 
40         MPISG      2     16         1          25         2          0.000037670135 
41         MPISG      2     16         1          25         2          0.000033140182 
42         MPISG      2     16         1          25         2          0.000017642975 
43         MPISG      2     16         1          25         2          0.000036954880 
44         MPISG      2     16         1          25         2          0.000018596649 
45         MPISG      2     16         1          25         2          0.000038146973 
46         MPISG      2     16         1          25         2          0.000051021576 
47         MPISG      2     16         1          25         2          0.000018358231 
48         MPISG      2     16         1          25         2          0.000037670135 
49         MPISG      2     16         1          25         2          0.000027179718 
50         MPISG      2     16         1          25         2          0.000037431717 
51         MPISG      2     16         1          25         2          0.000016689301 
52         MPISG      2     16         1          25         4          0.000669002533 
53         MPISG      2     16         1          25         4          0.000163555145 
54         MPISG      2     16         1          25         4          0.000133752823 
55         MPISG      2     16         1          25         4          0.000143527985 
56         MPISG      2     16         1          25         4          0.000106334686 
57         MPISG      2     16         1          25         4          0.000065326691 
58         MPISG      2     16         1          25         4          0.000060796738 
59         MPISG      2     16         1          25         4          0.000058889389 
60         MPISG      2     16         1          25         4          0.000062942505 
61         MPISG      2     16         1          25         4          0.000070571899 
62         MPISG      2     16         1          25         4          0.000060558319 
63         MPISG      2     16         1          25         4          0.000063657761 
64         MPISG      2     16         1          25         4          0.000067472458 
65         MPISG      2     16         1          25         4          0.000064373016 
66         MPISG      2     16         1          25         4          0.000073194504 
67         MPISG      2     16         1          25         4          0.000062704086 
68         MPISG      2     16         1          25         4          0.000065326691 
69         MPISG      2     16         1          25         4          0.000062942505 
70         MPISG      2     16         1          25         4          0.000058650970 
71         MPISG      2     16         1          25         4          0.000077009201 
72         MPISG      2     16         1          25         4          0.000061988831 
73         MPISG      2     16         1          25         4          0.000055074692 
74         MPISG      2     16         1          25         4          0.000057458878 
75         MPISG      2     16         1          25         4          0.000055074692 
76         MPISG      2     16         1          25         4          0.000067472458 
77         MPISG      2     16         1          25         8          0.001210212708 
78         MPISG      2     16         1          25         8          0.000350713730 
79         MPISG      2     16         1          25         8          0.000311851501 
80         MPISG      2     16         1          25         8          0.000350236893 
81         MPISG      2     16         1          25         8          0.000222444534 
82         MPISG      2     16         1          25         8          0.000117301941 
83         MPISG      2     16         1          25         8          0.000118255615 
84         MPISG      2     16         1          25         8          0.000119924545 
85         MPISG      2     16         1          25         8          0.000127315521 
86         MPISG      2     16         1          25         8          0.000129461288 
87         MPISG      2     16         1          25         8          0.000117301941 
88         MPISG      2     16         1          25         8          0.000113487244 
89         MPISG      2     16         1          25         8          0.000132560730 
90         MPISG      2     16         1          25         8          0.000145435333 
91         MPISG      2     16         1          25         8          0.000154733658 
92         MPISG      2     16         1          25         8          0.000118017197 
93         MPISG      2     16         1          25         8          0.000123977661 
94         MPISG      2     16         1          25         8          0.000129461288 
95         MPISG      2     16         1          25         8          0.000138998032 
96         MPISG      2     16         1          25         8          0.000150680542 
97         MPISG      2     16         1          25         8          0.000128984451 
98         MPISG      2     16         1          25         8          0.000140428543 
99         MPISG      2     16         1          25         8          0.000158548355 
100        MPISG      2     16         1          25         8          0.000131368637 
101        MPISG      2     16         1          25         8          0.000128984451 
102        MPISG      2     16         1          25         16         0.001842975616 
103        MPISG      2     16         1          25         16         0.000662803650 
104        MPISG      2     16         1          25         16         0.000628471375 
105        MPISG      2     16         1          25         16         0.000641822815 
106        MPISG      2     16         1          25         16         0.000389575958 
107        MPISG      2     16         1          25         16         0.000241994858 
108        MPISG      2     16         1          25         16         0.000253200531 
109        MPISG      2     16         1          25         16         0.000247001648 
110        MPISG      2     16         1          25         16         0.000252008438 
111        MPISG      2     16         1          25         16         0.000263929367 
112        MPISG      2     16         1          25         16         0.000264644623 
113        MPISG      2     16         1          25         16         0.000274896622 
114        MPISG      2     16         1          25         16         0.000256061554 
115        MPISG      2     16         1          25         16         0.000270605087 
116        MPISG      2     16         1          25         16         0.000257730484 
117        MPISG      2     16         1          25         16         0.000246524811 
118        MPISG      2     16         1          25         16         0.000333547592 
119        MPISG      2     16         1          25         16         0.000296592712 
120        MPISG      2     16         1          25         16         0.000246286392 
121        MPISG      2     16         1          25         16         0.000242233276 
122        MPISG      2     16         1          25         16         0.000247955322 
123        MPISG      2     16         1          25         16         0.000227689743 
124        MPISG      2     16         1          25         16         0.000207901001 
125        MPISG      2     16         1          25         16         0.000207424164 
126        MPISG      2     16         1          25         16         0.000211000443 
127        MPISG      2     16         1          25         16         0.001884460449 
128        MPISG      2     16         1          25         16         0.000681161880 
129        MPISG      2     16         1          25         16         0.000598907471 
130        MPISG      2     16         1          25         16         0.000576734543 
131        MPISG      2     16         1          25         16         0.000356435776 
132        MPISG      2     16         1          25         16         0.000209569931 
133        MPISG      2     16         1          25         16         0.000204563141 
134        MPISG      2     16         1          25         16         0.000210762024 
135        MPISG      2     16         1          25         16         0.000208139420 
136        MPISG      2     16         1          25         16         0.000200271606 
137        MPISG      2     16         1          25         16         0.000201463699 
138        MPISG      2     16         1          25         16         0.000202655792 
139        MPISG      2     16         1          25         16         0.000200986862 
140        MPISG      2     16         1          25         16         0.000197649002 
141        MPISG      2     16         1          25         16         0.000184774399 
142        MPISG      2     16         1          25         16         0.000190258026 
143        MPISG      2     16         1          25         16         0.000192165375 
144        MPISG      2     16         1          25         16         0.000185489655 
145        MPISG      2     16         1          25         16         0.000190734863 
146        MPISG      2     16         1          25         16         0.000213623047 
147        MPISG      2     16         1          25         16         0.000195503235 
148        MPISG      2     16         1          25         16         0.000193834305 
149        MPISG      2     16         1          25         16         0.000201225281 
150        MPISG      2     16         1          25         16         0.000207662582 
151        MPISG      2     16         1          25         16         0.000216960907 
152        MPISG      2     16         1          25         16         0.001967191696 
153        MPISG      2     16         1          25         16         0.000645875931 
154        MPISG      2     16         1          25         16         0.001785755157 
155        MPISG      2     16         1          25         16         0.000719785690 
156        MPISG      2     16         1          25         16         0.000456809998 
157        MPISG      2     16         1          25         16         0.000271558762 
158        MPISG      2     16         1          25         16         0.000258207321 
159        MPISG      2     16         1          25         16         0.000240802765 
160        MPISG      2     16         1          25         16         0.000278472900 
161        MPISG      2     16         1          25         16         0.000268936157 
162        MPISG      2     16         1          25         16         0.000267505646 
163        MPISG      2     16         1          25         16         0.000269412994 
164        MPISG      2     16         1          25         16         0.000273466110 
165        MPISG      2     16         1          25         16         0.000257253647 
166        MPISG      2     16         1          25         16         0.000268697739 
167        MPISG      2     16         1          25         16         0.000224351883 
168        MPISG      2     16         1          25         16         0.000232219696 
169        MPISG      2     16         1          25         16         0.000317096710 
170        MPISG      2     16         1          25         16         0.000323295593 
171        MPISG      2     16         1          25         16         0.000241279602 
172        MPISG      2     16         1          25         16         0.000204801559 
173        MPISG      2     16         1          25         16         0.000224351883 
174        MPISG      2     16         1          25         16         0.000218391418 
175        MPISG      2     16         1          25         16         0.000314950943 
176        MPISG      2     16         1          25         16         0.000226974487 
202        MPISG      2     32         1          25         2          0.000098705292 
203        MPISG      2     32         1          25         2          0.000126838684 
204        MPISG      2     32         1          25         2          0.000043630600 
205        MPISG      2     32         1          25         2          0.000024318695 
206        MPISG      2     32         1          25         2          0.000055074692 
207        MPISG      2     32         1          25         2          0.000038385391 
208        MPISG      2     32         1          25         2          0.000020980835 
209        MPISG      2     32         1          25         2          0.000017642975 
210        MPISG      2     32         1          25         2          0.000019788742 
211        MPISG      2     32         1          25         2          0.000051736832 
212        MPISG      2     32         1          25         2          0.000041246414 
213        MPISG      2     32         1          25         2          0.000037670135 
214        MPISG      2     32         1          25         2          0.000027179718 
215        MPISG      2     32         1          25         2          0.000022649765 
216        MPISG      2     32         1          25         2          0.000020503998 
217        MPISG      2     32         1          25         2          0.000045299530 
218        MPISG      2     32         1          25         2          0.000034570694 
219        MPISG      2     32         1          25         2          0.000023126602 
220        MPISG      2     32         1          25         2          0.000053644180 
221        MPISG      2     32         1          25         2          0.000033855438 
222        MPISG      2     32         1          25         2          0.000030517578 
223        MPISG      2     32         1          25         2          0.000026464462 
224        MPISG      2     32         1          25         2          0.000025510788 
225        MPISG      2     32         1          25         2          0.000023126602 
226        MPISG      2     32         1          25         2          0.000049114227 
227        MPISG      2     32         1          25         4          0.000961303711 
228        MPISG      2     32         1          25         4          0.000279426575 
229        MPISG      2     32         1          25         4          0.000107049942 
230        MPISG      2     32         1          25         4          0.000107049942 
231        MPISG      2     32         1          25         4          0.000101089478 
232        MPISG      2     32         1          25         4          0.000097274780 
233        MPISG      2     32         1          25         4          0.000084638596 
234        MPISG      2     32         1          25         4          0.000088214874 
235        MPISG      2     32         1          25         4          0.000086069107 
236        MPISG      2     32         1          25         4          0.000097513199 
237        MPISG      2     32         1          25         4          0.000091552734 
238        MPISG      2     32         1          25         4          0.000075817108 
239        MPISG      2     32         1          25         4          0.000067710876 
240        MPISG      2     32         1          25         4          0.000067949295 
241        MPISG      2     32         1          25         4          0.000062227249 
242        MPISG      2     32         1          25         4          0.000095844269 
243        MPISG      2     32         1          25         4          0.000066518784 
244        MPISG      2     32         1          25         4          0.000066041946 
245        MPISG      2     32         1          25         4          0.000063657761 
246        MPISG      2     32         1          25         4          0.000069379807 
247        MPISG      2     32         1          25         4          0.000108242035 
