N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
66         MPIBLOCKOPT 4     16         1          25         4          0.000064992905  -               -          -         %
67         MPIBLOCKOPT 4     16         1          25         16         0.000193095207  -               -          -         %
68         MPIBLOCKOPT 4     16         1          25         32         0.000212287903  -               -          -         %
69         MPIBLOCKOPT 4     16         1          25         64         0.000237393379  -               -          -         %
71         MPIBLOCKOPT 4     32         1          25         4          0.000116133690  -               -          -         %
72         MPIBLOCKOPT 4     32         1          25         16         0.000271177292  -               -          -         %
74         MPIBLOCKOPT 4     64         1          25         4          0.000248456001  -               -          -         %
75         MPIBLOCKOPT 4     64         1          25         16         0.000565195084  -               -          -         %
76         MPIBLOCKOPT 4     64         1          25         64         0.000725460052  -               -          -         %
78         MPIBLOCKOPT 4     128        1          25         4          0.000474429131  -               -          -         %
79         MPIBLOCKOPT 4     128        1          25         16         0.001058650017  -               -          -         %
80         MPIBLOCKOPT 4     128        1          25         64         0.001545095444  -               -          -         %
82         MPIBLOCKOPT 4     256        1          25         4          0.001101660728  -               -          -         %
83         MPIBLOCKOPT 4     256        1          25         16         0.001971173286  -               -          -         %
84         MPIBLOCKOPT 4     256        1          25         64         0.003858613968  -               -          -         %
86         MPIBLOCKOPT 4     512        1          25         4          0.002849054337  -               -          -         %
87         MPIBLOCKOPT 4     512        1          25         16         0.005228090286  -               -          -         %
88         MPIBLOCKOPT 4     512        1          25         64         0.004976606369  -               -          -         %
90         MPIBLOCKOPT 4     1024       1          25         4          0.012211060524  -               -          -         %
91         MPIBLOCKOPT 4     1024       1          25         16         0.020379829407  -               -          -         %
92         MPIBLOCKOPT 4     1024       1          25         64         0.016342425346  -               -          -         %
94         MPIBLOCKOPT 4     2048       1          25         4          0.035880565643  -               -          -         %
95         MPIBLOCKOPT 4     2048       1          25         16         0.049359583855  -               -          -         %
96         MPIBLOCKOPT 4     2048       1          25         64         0.049400424957  -               -          -         %
98         MPIBLOCKOPT 4     4096       1          25         4          0.213223719597  -               -          -         %
99         MPIBLOCKOPT 4     4096       1          25         16         0.337354159355  -               -          -         %
100        MPIBLOCKOPT 4     4096       1          25         64         0.156655430794  -               -          -         %
