N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          MPISG      2     16         1          25         1          0.000038623810 
2          MPISG      2     16         1          25         1          0.000005483627 
3          MPISG      2     16         1          25         1          0.000005006790 
4          MPISG      2     16         1          25         1          0.000004768372 
5          MPISG      2     16         1          25         1          0.000004768372 
6          MPISG      2     16         1          25         1          0.000005483627 
7          MPISG      2     16         1          25         1          0.000005960464 
8          MPISG      2     16         1          25         1          0.000015020370 
9          MPISG      2     16         1          25         1          0.000008583069 
10         MPISG      2     16         1          25         1          0.000005006790 
11         MPISG      2     16         1          25         1          0.000005722046 
12         MPISG      2     16         1          25         1          0.000004529953 
13         MPISG      2     16         1          25         1          0.000005722046 
14         MPISG      2     16         1          25         1          0.000014066696 
15         MPISG      2     16         1          25         1          0.000005483627 
16         MPISG      2     16         1          25         1          0.000005245209 
17         MPISG      2     16         1          25         1          0.000006675720 
18         MPISG      2     16         1          25         1          0.000008106232 
19         MPISG      2     16         1          25         1          0.000011682510 
20         MPISG      2     16         1          25         1          0.000015497208 
21         MPISG      2     16         1          25         1          0.000010013580 
22         MPISG      2     16         1          25         1          0.000010490417 
23         MPISG      2     16         1          25         1          0.000009298325 
24         MPISG      2     16         1          25         1          0.000009775162 
25         MPISG      2     16         1          25         1          0.000005722046 
26         MPISG      2     16         1          25         2          0.000082254410 
27         MPISG      2     16         1          25         2          0.000053644180 
28         MPISG      2     16         1          25         2          0.000056505203 
29         MPISG      2     16         1          25         2          0.000065088272 
30         MPISG      2     16         1          25         2          0.000042438507 
31         MPISG      2     16         1          25         2          0.000026702881 
32         MPISG      2     16         1          25         2          0.000014305115 
33         MPISG      2     16         1          25         2          0.000026464462 
34         MPISG      2     16         1          25         2          0.000040531158 
35         MPISG      2     16         1          25         2          0.000031232834 
36         MPISG      2     16         1          25         2          0.000020265579 
37         MPISG      2     16         1          25         2          0.000020742416 
38         MPISG      2     16         1          25         2          0.000020027161 
39         MPISG      2     16         1          25         2          0.000020265579 
40         MPISG      2     16         1          25         2          0.000035762787 
41         MPISG      2     16         1          25         2          0.000023603439 
42         MPISG      2     16         1          25         2          0.000022411346 
43         MPISG      2     16         1          25         2          0.000035047531 
44         MPISG      2     16         1          25         2          0.000025033951 
45         MPISG      2     16         1          25         2          0.000022172928 
46         MPISG      2     16         1          25         2          0.000020265579 
47         MPISG      2     16         1          25         2          0.000024318695 
48         MPISG      2     16         1          25         2          0.000015497208 
