N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          TEST            4     16         1          25         1          0.000033569336  0.000033569336  1.00       100.00    %
4          TEST            4     4096       1          25         1          1.433805990219  1.433805990219  1.00       100.00    %
8          MPIBLOCKOPT     4     4096       1          25         1          1.466719007492  1.466719007492  1.00       100.00    %
10         MPIBLOCKOPT     4     16         1          25         1          0.000010704994  0.000010704994  1.00       100.00    %
15         MPIBLOCKOPT     4     32         1          25         1          0.000050139427  0.000050139427  1.00       100.00    %
18         MPIBLOCKOPT     4     64         1          25         1          0.000088667870  0.000088667870  1.00       100.00    %
22         MPIBLOCKOPT     4     128        1          25         1          0.000150728226  0.000150728226  1.00       100.00    %
26         MPIBLOCKOPT     4     256        1          25         1          0.000622105598  0.000622105598  1.00       100.00    %
30         MPIBLOCKOPT     4     512        1          25         1          0.003058004379  0.003058004379  1.00       100.00    %
34         MPIBLOCKOPT     4     1024       1          25         1          0.015351319313  0.015351319313  1.00       100.00    %
38         MPIBLOCKOPT     4     2048       1          25         1          0.066868901253  0.066868901253  1.00       100.00    %
42         MPIBLOCKOPT     4     4096       1          25         1          0.345739388466  0.345739388466  1.00       100.00    %
