N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
66         MPIBLOCKOPT     4     16         1          25         4          0.000114870071  0.000033354759  0.29       7.26      %
67         MPIBLOCKOPT     4     16         1          25         16         0.000183200836  0.000033354759  0.18       1.14      %
68         MPIBLOCKOPT     4     16         1          25         32         0.000181865692  0.000033354759  0.18       0.57      %
69         MPIBLOCKOPT     4     16         1          25         64         0.000185012817  0.000033354759  0.18       0.28      %
71         MPIBLOCKOPT     4     32         1          25         4          0.000175094604  0.000047087669  0.27       6.72      %
72         MPIBLOCKOPT     4     32         1          25         16         0.000232362747  0.000047087669  0.20       1.27      %
74         MPIBLOCKOPT     4     64         1          25         4          0.000300621986  0.000104904175  0.35       8.72      %
75         MPIBLOCKOPT     4     64         1          25         16         0.000434207916  0.000104904175  0.24       1.51      %
76         MPIBLOCKOPT     4     64         1          25         64         0.000647449493  0.000104904175  0.16       0.25      %
78         MPIBLOCKOPT     4     128        1          25         4          0.000521683693  0.000195765495  0.38       9.38      %
79         MPIBLOCKOPT     4     128        1          25         16         0.000835108757  0.000195765495  0.23       1.47      %
80         MPIBLOCKOPT     4     128        1          25         64         0.001397442818  0.000195765495  0.14       0.22      %
82         MPIBLOCKOPT     4     256        1          25         4          0.001311492920  0.000607395172  0.46       11.58     %
83         MPIBLOCKOPT     4     256        1          25         16         0.001930141449  0.000607395172  0.31       1.97      %
84         MPIBLOCKOPT     4     256        1          25         64         0.002844333649  0.000607395172  0.21       0.33      %
86         MPIBLOCKOPT     4     512        1          25         4          0.003401660919  0.002985477448  0.88       21.94     %
87         MPIBLOCKOPT     4     512        1          25         16         0.005505943298  0.002985477448  0.54       3.39      %
88         MPIBLOCKOPT     4     512        1          25         64         0.006326508522  0.002985477448  0.47       0.74      %
90         MPIBLOCKOPT     4     1024       1          25         4          0.009040951729  0.011158967018  1.23       30.86     %
91         MPIBLOCKOPT     4     1024       1          25         16         0.016736316681  0.011158967018  0.67       4.17      %
92         MPIBLOCKOPT     4     1024       1          25         64         0.014237928391  0.011158967018  0.78       1.22      %
94         MPIBLOCKOPT     4     2048       1          25         4          0.031950831413  0.057947134972  1.81       45.34     %
95         MPIBLOCKOPT     4     2048       1          25         16         0.041408348083  0.057947134972  1.40       8.75      %
96         MPIBLOCKOPT     4     2048       1          25         64         0.046847963333  0.057947134972  1.24       1.93      %
98         MPIBLOCKOPT     4     4096       1          25         4          0.180035352707  0.317977929115  1.77       44.15     %
99         MPIBLOCKOPT     4     4096       1          25         16         0.166418576241  0.317977929115  1.91       11.94     %
100        MPIBLOCKOPT     4     4096       1          25         64         0.147114253044  0.317977929115  2.16       3.38      %
