N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          MPISG           2     16         1          25         1          0.000027656555 
2          MPISG           2     16         1          25         1          0.000023603439 
3          MPISG           2     16         1          25         1          0.000015497208 
4          MPISG           2     16         1          25         1          0.000030517578 
5          MPISG           2     16         1          25         1          0.000005006790 
6          MPISG           2     16         1          25         1          0.000015497208 
7          MPISG           2     16         1          25         1          0.000019550323 
8          MPISG           2     16         1          25         1          0.000014781952 
9          MPISG           2     16         1          25         1          0.000014781952 
10         MPISG           2     16         1          25         1          0.000014543533 
11         MPISG           2     16         1          25         1          0.000019550323 
12         MPISG           2     16         1          25         1          0.000014543533 
13         MPISG           2     16         1          25         1          0.000018596649 
14         MPISG           2     16         1          25         1          0.000006198883 
15         MPISG           2     16         1          25         1          0.000014543533 
16         MPISG           2     16         1          25         1          0.000014781952 
17         MPISG           2     16         1          25         1          0.000018119812 
18         MPISG           2     16         1          25         1          0.000017166138 
19         MPISG           2     16         1          25         1          0.000020742416 
20         MPISG           2     16         1          25         1          0.000019073486 
21         MPISG           2     16         1          25         1          0.000015020370 
22         MPISG           2     16         1          25         1          0.000017881393 
23         MPISG           2     16         1          25         1          0.000005006790 
24         MPISG           2     16         1          25         1          0.000018119812 
25         MPISG           2     16         1          25         1          0.000015497208 
26         MPISG           2     16         1          25         2          0.000580310822 
27         MPISG           2     16         1          25         2          0.000138044357 
28         MPISG           2     16         1          25         2          0.000112771988 
29         MPISG           2     16         1          25         2          0.000143766403 
30         MPISG           2     16         1          25         2          0.000028371811 
31         MPISG           2     16         1          25         2          0.000070571899 
32         MPISG           2     16         1          25         2          0.000063180923 
33         MPISG           2     16         1          25         2          0.000049591064 
34         MPISG           2     16         1          25         2          0.000044584274 
35         MPISG           2     16         1          25         2          0.000048398972 
36         MPISG           2     16         1          25         2          0.000044107437 
37         MPISG           2     16         1          25         2          0.000048398972 
38         MPISG           2     16         1          25         2          0.000043869019 
39         MPISG           2     16         1          25         2          0.000047445297 
40         MPISG           2     16         1          25         2          0.000044107437 
41         MPISG           2     16         1          25         2          0.000046253204 
42         MPISG           2     16         1          25         2          0.000044345856 
43         MPISG           2     16         1          25         2          0.000021219254 
44         MPISG           2     16         1          25         2          0.000047683716 
45         MPISG           2     16         1          25         2          0.000046968460 
