N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
27         MPISG           2     16         1          25         2          0.000580310822 
28         MPISG           2     16         1          25         2          0.000138044357 
29         MPISG           2     16         1          25         2          0.000112771988 
30         MPISG           2     16         1          25         2          0.000143766403 
31         MPISG           2     16         1          25         2          0.000028371811 
32         MPISG           2     16         1          25         2          0.000070571899 
33         MPISG           2     16         1          25         2          0.000063180923 
34         MPISG           2     16         1          25         2          0.000049591064 
35         MPISG           2     16         1          25         2          0.000044584274 
36         MPISG           2     16         1          25         2          0.000048398972 
37         MPISG           2     16         1          25         2          0.000044107437 
38         MPISG           2     16         1          25         2          0.000048398972 
39         MPISG           2     16         1          25         2          0.000043869019 
40         MPISG           2     16         1          25         2          0.000047445297 
41         MPISG           2     16         1          25         2          0.000044107437 
42         MPISG           2     16         1          25         2          0.000046253204 
43         MPISG           2     16         1          25         2          0.000044345856 
44         MPISG           2     16         1          25         2          0.000021219254 
45         MPISG           2     16         1          25         2          0.000047683716 
46         MPISG           2     16         1          25         2          0.000046968460 
47         MPISG           2     16         1          25         2          0.000050067902 
48         MPISG           2     16         1          25         2          0.000019788742 
49         MPISG           2     16         1          25         2          0.000060558319 
50         MPISG           2     16         1          25         2          0.000028610229 
51         MPISG           2     16         1          25         2          0.000047922134 
52         MPISG           2     16         1          25         4          0.000650167465 
53         MPISG           2     16         1          25         4          0.000167846680 
54         MPISG           2     16         1          25         4          0.000316143036 
55         MPISG           2     16         1          25         4          0.000135660172 
56         MPISG           2     16         1          25         4          0.000140666962 
57         MPISG           2     16         1          25         4          0.000095844269 
58         MPISG           2     16         1          25         4          0.000046014786 
59         MPISG           2     16         1          25         4          0.000089883804 
60         MPISG           2     16         1          25         4          0.000107765198 
61         MPISG           2     16         1          25         4          0.000040531158 
62         MPISG           2     16         1          25         4          0.000046253204 
63         MPISG           2     16         1          25         4          0.000046968460 
64         MPISG           2     16         1          25         4          0.000096559525 
65         MPISG           2     16         1          25         4          0.000089168549 
66         MPISG           2     16         1          25         4          0.000046968460 
67         MPISG           2     16         1          25         4          0.000082969666 
68         MPISG           2     16         1          25         4          0.000111818314 
69         MPISG           2     16         1          25         4          0.000042915344 
70         MPISG           2     16         1          25         4          0.000111818314 
71         MPISG           2     16         1          25         4          0.000046253204 
72         MPISG           2     16         1          25         4          0.000044107437 
73         MPISG           2     16         1          25         4          0.000099897385 
74         MPISG           2     16         1          25         4          0.000095367432 
75         MPISG           2     16         1          25         4          0.000101089478 
76         MPISG           2     16         1          25         4          0.000045776367 
77         MPISG           2     16         1          25         8          0.000793933868 
78         MPISG           2     16         1          25         8          0.000303983688 
79         MPISG           2     16         1          25         8          0.000268459320 
80         MPISG           2     16         1          25         8          0.000300884247 
81         MPISG           2     16         1          25         8          0.000164031982 
82         MPISG           2     16         1          25         8          0.000089406967 
83         MPISG           2     16         1          25         8          0.000086784363 
84         MPISG           2     16         1          25         8          0.000086069107 
85         MPISG           2     16         1          25         8          0.000088930130 
86         MPISG           2     16         1          25         8          0.000084161758 
87         MPISG           2     16         1          25         8          0.000088691711 
88         MPISG           2     16         1          25         8          0.000082731247 
89         MPISG           2     16         1          25         8          0.000085830688 
90         MPISG           2     16         1          25         8          0.000088453293 
91         MPISG           2     16         1          25         8          0.000084877014 
92         MPISG           2     16         1          25         8          0.000088691711 
93         MPISG           2     16         1          25         8          0.000084161758 
94         MPISG           2     16         1          25         8          0.000087499619 
95         MPISG           2     16         1          25         8          0.000085830688 
96         MPISG           2     16         1          25         8          0.000084877014 
97         MPISG           2     16         1          25         8          0.000089406967 
98         MPISG           2     16         1          25         8          0.000088214874 
99         MPISG           2     16         1          25         8          0.000091075897 
100        MPISG           2     16         1          25         8          0.000090360641 
101        MPISG           2     16         1          25         8          0.000089883804 
102        MPISG           2     16         1          25         16         0.001853704453 
103        MPISG           2     16         1          25         16         0.000712633133 
104        MPISG           2     16         1          25         16         0.000685214996 
105        MPISG           2     16         1          25         16         0.000658750534 
106        MPISG           2     16         1          25         16         0.000384092331 
107        MPISG           2     16         1          25         16         0.000214815140 
108        MPISG           2     16         1          25         16         0.000208616257 
109        MPISG           2     16         1          25         16         0.000261306763 
110        MPISG           2     16         1          25         16         0.000247478485 
111        MPISG           2     16         1          25         16         0.000205755234 
112        MPISG           2     16         1          25         16         0.000200748444 
113        MPISG           2     16         1          25         16         0.000209808350 
114        MPISG           2     16         1          25         16         0.000199079514 
115        MPISG           2     16         1          25         16         0.000194549561 
116        MPISG           2     16         1          25         16         0.000198125839 
117        MPISG           2     16         1          25         16         0.000194311142 
118        MPISG           2     16         1          25         16         0.000197649002 
119        MPISG           2     16         1          25         16         0.000198841095 
120        MPISG           2     16         1          25         16         0.000193834305 
