N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1602       MPIBLOCKOPT     4     16         1          25         4          0.000684738159 
1603       MPIBLOCKOPT     4     16         1          25         4          0.000712871552 
1604       MPIBLOCKOPT     4     16         1          25         4          0.000224590302 
1605       MPIBLOCKOPT     4     16         1          25         4          0.000199317932 
1606       MPIBLOCKOPT     4     16         1          25         4          0.000195741653 
1607       MPIBLOCKOPT     4     16         1          25         4          0.000224351883 
1608       MPIBLOCKOPT     4     16         1          25         4          0.000191450119 
1609       MPIBLOCKOPT     4     16         1          25         4          0.000209808350 
1610       MPIBLOCKOPT     4     16         1          25         4          0.000146150589 
1611       MPIBLOCKOPT     4     16         1          25         4          0.000131607056 
1612       MPIBLOCKOPT     4     16         1          25         4          0.000106334686 
1613       MPIBLOCKOPT     4     16         1          25         4          0.000110864639 
1614       MPIBLOCKOPT     4     16         1          25         4          0.000100612640 
1615       MPIBLOCKOPT     4     16         1          25         4          0.000111103058 
1616       MPIBLOCKOPT     4     16         1          25         4          0.000119924545 
1617       MPIBLOCKOPT     4     16         1          25         4          0.000105857849 
1618       MPIBLOCKOPT     4     16         1          25         4          0.000068187714 
1619       MPIBLOCKOPT     4     16         1          25         4          0.000095367432 
1620       MPIBLOCKOPT     4     16         1          25         4          0.000113010406 
1621       MPIBLOCKOPT     4     16         1          25         4          0.000103235245 
1622       MPIBLOCKOPT     4     16         1          25         4          0.000099658966 
1623       MPIBLOCKOPT     4     16         1          25         4          0.000059366226 
1624       MPIBLOCKOPT     4     16         1          25         4          0.000064611435 
1625       MPIBLOCKOPT     4     16         1          25         4          0.000095129013 
1626       MPIBLOCKOPT     4     16         1          25         4          0.000098943710 
1627       MPIBLOCKOPT     4     16         1          25         16         0.001461744308 
1628       MPIBLOCKOPT     4     16         1          25         16         0.000183343887 
1629       MPIBLOCKOPT     4     16         1          25         16         0.000178575516 
1630       MPIBLOCKOPT     4     16         1          25         16         0.000195503235 
1631       MPIBLOCKOPT     4     16         1          25         16         0.000203132629 
1632       MPIBLOCKOPT     4     16         1          25         16         0.000194549561 
1633       MPIBLOCKOPT     4     16         1          25         16         0.000193834305 
1634       MPIBLOCKOPT     4     16         1          25         16         0.000188827515 
1635       MPIBLOCKOPT     4     16         1          25         16         0.000182867050 
1636       MPIBLOCKOPT     4     16         1          25         16         0.000187873840 
1637       MPIBLOCKOPT     4     16         1          25         16         0.000191450119 
1638       MPIBLOCKOPT     4     16         1          25         16         0.000186204910 
1639       MPIBLOCKOPT     4     16         1          25         16         0.000193834305 
1640       MPIBLOCKOPT     4     16         1          25         16         0.000188350677 
1641       MPIBLOCKOPT     4     16         1          25         16         0.000189304352 
1642       MPIBLOCKOPT     4     16         1          25         16         0.000190258026 
1643       MPIBLOCKOPT     4     16         1          25         16         0.000173807144 
1644       MPIBLOCKOPT     4     16         1          25         16         0.000172853470 
1645       MPIBLOCKOPT     4     16         1          25         16         0.000159740448 
1646       MPIBLOCKOPT     4     16         1          25         16         0.000156641006 
1647       MPIBLOCKOPT     4     16         1          25         16         0.000147342682 
1648       MPIBLOCKOPT     4     16         1          25         16         0.000139474869 
1649       MPIBLOCKOPT     4     16         1          25         16         0.000129938126 
1650       MPIBLOCKOPT     4     16         1          25         16         0.000124216080 
