N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0.000015616417  0.000015616417  1.00       100.00    %
2          MPISG           2     16         1          25         2          0.000045800209  0.000015616417  0.34       17.05     %
3          MPISG           2     16         1          25         4          0.000088310242  0.000015616417  0.18       4.42      %
4          MPISG           2     16         1          25         8          0.000088477135  0.000015616417  0.18       2.21      %
5          MPISG           2     16         1          25         16         0.000189113617  0.000015616417  0.08       0.52      %
6          MPISG           2     16         1          25         32         0.000241518021  0.000015616417  0.06       0.20      %
7          MPISG           2     16         1          25         64         0.000227332115  0.000015616417  0.07       0.11      %
8          MPISG           2     32         1          25         1          0.000020766258  0.000020766258  1.00       100.00    %
9          MPISG           2     32         1          25         2          0.000064849854  0.000020766258  0.32       16.01     %
10         MPISG           2     32         1          25         4          0.000146341324  0.000020766258  0.14       3.55      %
11         MPISG           2     32         1          25         8          0.000175857544  0.000020766258  0.12       1.48      %
12         MPISG           2     32         1          25         16         0.000418424606  0.000020766258  0.05       0.31      %
13         MPISG           2     32         1          25         32         0.000555276871  0.000020766258  0.04       0.12      %
14         MPISG           2     32         1          25         64         0.000584244728  0.000020766258  0.04       0.06      %
15         MPISG           2     64         1          25         1          0.000062894821  0.000062894821  1.00       100.00    %
16         MPISG           2     64         1          25         2          0.000084161758  0.000062894821  0.75       37.37     %
17         MPISG           2     64         1          25         4          0.000238656998  0.000062894821  0.26       6.59      %
18         MPISG           2     64         1          25         8          0.000346016884  0.000062894821  0.18       2.27      %
19         MPISG           2     64         1          25         16         0.001125097275  0.000062894821  0.06       0.35      %
20         MPISG           2     64         1          25         32         0.001094746590  0.000062894821  0.06       0.18      %
21         MPISG           2     64         1          25         64         0.002311134338  0.000062894821  0.03       0.04      %
22         MPISG           2     128        1          25         1          0.000128531456  0.000128531456  1.00       100.00    %
23         MPISG           2     128        1          25         2          0.000165343285  0.000128531456  0.78       38.87     %
24         MPISG           2     128        1          25         4          0.000403356552  0.000128531456  0.32       7.97      %
25         MPISG           2     128        1          25         8          0.000881290436  0.000128531456  0.15       1.82      %
26         MPISG           2     128        1          25         16         0.002565717697  0.000128531456  0.05       0.31      %
27         MPISG           2     128        1          25         32         0.002179908752  0.000128531456  0.06       0.18      %
28         MPISG           2     128        1          25         64         0.004621315002  0.000128531456  0.03       0.04      %
29         MPISG           2     256        1          25         1          0.000493383408  0.000493383408  1.00       100.00    %
30         MPISG           2     256        1          25         2          0.000568318367  0.000493383408  0.87       43.41     %
31         MPISG           2     256        1          25         4          0.001000523567  0.000493383408  0.49       12.33     %
32         MPISG           2     256        1          25         8          0.002115297318  0.000493383408  0.23       2.92      %
33         MPISG           2     256        1          25         16         0.006659770012  0.000493383408  0.07       0.46      %
34         MPISG           2     256        1          25         32         0.004263710976  0.000493383408  0.12       0.36      %
35         MPISG           2     256        1          25         64         0.009058856964  0.000493383408  0.05       0.09      %
36         MPISG           2     512        1          25         1          0.002513289452  0.002513289452  1.00       100.00    %
37         MPISG           2     512        1          25         2          0.002030348778  0.002513289452  1.24       61.89     %
38         MPISG           2     512        1          25         4          0.002578353882  0.002513289452  0.97       24.37     %
39         MPISG           2     512        1          25         8          0.005467915535  0.002513289452  0.46       5.75      %
40         MPISG           2     512        1          25         16         0.018631863594  0.002513289452  0.13       0.84      %
41         MPISG           2     512        1          25         32         0.009025502205  0.002513289452  0.28       0.87      %
42         MPISG           2     512        1          25         64         0.018423962593  0.002513289452  0.14       0.21      %
43         MPISG           2     1024       1          25         1          0.009560060501  0.009560060501  1.00       100.00    %
44         MPISG           2     1024       1          25         2          0.008324694633  0.009560060501  1.15       57.42     %
45         MPISG           2     1024       1          25         4          0.007977318764  0.009560060501  1.20       29.96     %
46         MPISG           2     1024       1          25         8          0.012042117119  0.009560060501  0.79       9.92      %
47         MPISG           2     1024       1          25         16         0.040489625931  0.009560060501  0.24       1.48      %
48         MPISG           2     1024       1          25         32         0.019051337242  0.009560060501  0.50       1.57      %
49         MPISG           2     1024       1          25         64         0.041407704353  0.009560060501  0.23       0.36      %
50         MPISG           2     2048       1          25         1          0.037669730186  0.037669730186  1.00       100.00    %
51         MPISG           2     2048       1          25         2          0.029190897942  0.037669730186  1.29       64.52     %
52         MPISG           2     2048       1          25         4          0.026636672020  0.037669730186  1.41       35.36     %
53         MPISG           2     2048       1          25         8          0.032820606232  0.037669730186  1.15       14.35     %
54         MPISG           2     2048       1          25         16         0.087959694862  0.037669730186  0.43       2.68      %
55         MPISG           2     2048       1          25         32         0.046837973595  0.037669730186  0.80       2.51      %
56         MPISG           2     2048       1          25         64         0.096551656723  0.037669730186  0.39       0.61      %
57         MPISG           2     4096       1          25         1          0.240084218979  0.240084218979  1.00       100.00    %
58         MPISG           2     4096       1          25         2          0.148803734779  0.240084218979  1.61       80.67     %
59         MPISG           2     4096       1          25         4          0.136954545975  0.240084218979  1.75       43.83     %
60         MPISG           2     4096       1          25         8          0.120433473587  0.240084218979  1.99       24.92     %
61         MPISG           2     4096       1          25         16         0.286897730827  0.240084218979  0.84       5.23      %
62         MPISG           2     4096       1          25         32         0.135185956955  0.240084218979  1.78       5.55      %
63         MPISG           2     4096       1          25         64         0.200245785713  0.240084218979  1.20       1.87      %
64         MPIBLOCKOPT     4     16         1          25         1          0.000032758713  0.000032758713  1.00       100.00    %
65         MPIBLOCKOPT     4     16         1          25         4          0.000115942955  0.000032758713  0.28       7.06      %
66         MPIBLOCKOPT     4     16         1          25         16         0.000175070763  0.000032758713  0.19       1.17      %
67         MPIBLOCKOPT     4     16         1          25         32         0.000198602676  0.000032758713  0.16       0.52      %
68         MPIBLOCKOPT     4     16         1          25         64         0.000219941139  0.000032758713  0.15       0.23      %
69         MPIBLOCKOPT     4     32         1          25         1          0.000044322014  0.000044322014  1.00       100.00    %
70         MPIBLOCKOPT     4     32         1          25         4          0.000187921524  0.000044322014  0.24       5.90      %
71         MPIBLOCKOPT     4     32         1          25         16         0.000225186348  0.000044322014  0.20       1.23      %
72         MPIBLOCKOPT     4     64         1          25         1          0.000118970871  0.000118970871  1.00       100.00    %
73         MPIBLOCKOPT     4     64         1          25         4          0.000295066833  0.000118970871  0.40       10.08     %
74         MPIBLOCKOPT     4     64         1          25         16         0.000425791740  0.000118970871  0.28       1.75      %
75         MPIBLOCKOPT     4     64         1          25         64         0.000648069382  0.000118970871  0.18       0.29      %
76         MPIBLOCKOPT     4     128        1          25         1          0.000194621086  0.000194621086  1.00       100.00    %
77         MPIBLOCKOPT     4     128        1          25         4          0.000572919846  0.000194621086  0.34       8.49      %
78         MPIBLOCKOPT     4     128        1          25         16         0.000874567032  0.000194621086  0.22       1.39      %
79         MPIBLOCKOPT     4     128        1          25         64         0.001575231552  0.000194621086  0.12       0.19      %
80         MPIBLOCKOPT     4     256        1          25         1          0.000600743294  0.000600743294  1.00       100.00    %
81         MPIBLOCKOPT     4     256        1          25         4          0.001266670227  0.000600743294  0.47       11.86     %
82         MPIBLOCKOPT     4     256        1          25         16         0.001837968826  0.000600743294  0.33       2.04      %
83         MPIBLOCKOPT     4     256        1          25         64         0.002707219124  0.000600743294  0.22       0.35      %
84         MPIBLOCKOPT     4     512        1          25         1          0.002974867821  0.002974867821  1.00       100.00    %
85         MPIBLOCKOPT     4     512        1          25         4          0.003352737427  0.002974867821  0.89       22.18     %
86         MPIBLOCKOPT     4     512        1          25         16         0.005383372307  0.002974867821  0.55       3.45      %
87         MPIBLOCKOPT     4     512        1          25         64         0.006239175797  0.002974867821  0.48       0.75      %
88         MPIBLOCKOPT     4     1024       1          25         1          0.011283063889  0.011283063889  1.00       100.00    %
89         MPIBLOCKOPT     4     1024       1          25         4          0.009998750687  0.011283063889  1.13       28.21     %
90         MPIBLOCKOPT     4     1024       1          25         16         0.015165948868  0.011283063889  0.74       4.65      %
91         MPIBLOCKOPT     4     1024       1          25         64         0.014107203484  0.011283063889  0.80       1.25      %
92         MPIBLOCKOPT     4     2048       1          25         1          0.052751731873  0.052751731873  1.00       100.00    %
93         MPIBLOCKOPT     4     2048       1          25         4          0.032272100449  0.052751731873  1.63       40.86     %
94         MPIBLOCKOPT     4     2048       1          25         16         0.043868136406  0.052751731873  1.20       7.52      %
95         MPIBLOCKOPT     4     2048       1          25         64         0.035489869118  0.052751731873  1.49       2.32      %
96         MPIBLOCKOPT     4     4096       1          25         1          0.316917872429  0.316917872429  1.00       100.00    %
97         MPIBLOCKOPT     4     4096       1          25         4          0.157702040672  0.316917872429  2.01       50.24     %
98         MPIBLOCKOPT     4     4096       1          25         16         0.191374349594  0.316917872429  1.66       10.35     %
99         MPIBLOCKOPT     4     4096       1          25         64         0.144607686996  0.316917872429  2.19       3.42      %
