N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          MPISG           2     16         1          25         1          0.000024318695 
3          MPISG           2     16         1          25         1          0.000016450882 
4          MPISG           2     16         1          25         1          0.000014543533 
5          MPISG           2     16         1          25         1          0.000014066696 
6          MPISG           2     16         1          25         1          0.000004768372 
7          MPISG           2     16         1          25         1          0.000004768372 
8          MPISG           2     16         1          25         1          0.000015974045 
9          MPISG           2     16         1          25         1          0.000013351440 
10         MPISG           2     16         1          25         1          0.000013589859 
11         MPISG           2     16         1          25         1          0.000013351440 
12         MPISG           2     16         1          25         1          0.000016212463 
13         MPISG           2     16         1          25         1          0.000013589859 
14         MPISG           2     16         1          25         1          0.000015735626 
15         MPISG           2     16         1          25         1          0.000005245209 
16         MPISG           2     16         1          25         1          0.000013351440 
17         MPISG           2     16         1          25         1          0.000013351440 
18         MPISG           2     16         1          25         1          0.000016450882 
19         MPISG           2     16         1          25         1          0.000013351440 
20         MPISG           2     16         1          25         1          0.000016450882 
21         MPISG           2     16         1          25         1          0.000015974045 
22         MPISG           2     16         1          25         1          0.000014781952 
23         MPISG           2     16         1          25         1          0.000015735626 
24         MPISG           2     16         1          25         1          0.000013113022 
25         MPISG           2     16         1          25         1          0.000015497208 
26         MPISG           2     16         1          25         1          0.000013113022 
177        MPISG           2     32         1          25         1          0.000022649765 
178        MPISG           2     32         1          25         1          0.000024080276 
179        MPISG           2     32         1          25         1          0.000006914139 
180        MPISG           2     32         1          25         1          0.000020742416 
181        MPISG           2     32         1          25         1          0.000022888184 
182        MPISG           2     32         1          25         1          0.000023841858 
183        MPISG           2     32         1          25         1          0.000022411346 
184        MPISG           2     32         1          25         1          0.000022172928 
185        MPISG           2     32         1          25         1          0.000026464462 
186        MPISG           2     32         1          25         1          0.000023841858 
187        MPISG           2     32         1          25         1          0.000026464462 
188        MPISG           2     32         1          25         1          0.000008344650 
189        MPISG           2     32         1          25         1          0.000007867813 
190        MPISG           2     32         1          25         1          0.000008344650 
191        MPISG           2     32         1          25         1          0.000027179718 
192        MPISG           2     32         1          25         1          0.000023126602 
193        MPISG           2     32         1          25         1          0.000021457672 
194        MPISG           2     32         1          25         1          0.000034093857 
195        MPISG           2     32         1          25         1          0.000007390976 
196        MPISG           2     32         1          25         1          0.000020503998 
197        MPISG           2     32         1          25         1          0.000021934509 
198        MPISG           2     32         1          25         1          0.000006914139 
199        MPISG           2     32         1          25         1          0.000030994415 
200        MPISG           2     32         1          25         1          0.000006914139 
201        MPISG           2     32         1          25         1          0.000020980835 
352        MPISG           2     64         1          25         1          0.000043869019 
353        MPISG           2     64         1          25         1          0.000026702881 
354        MPISG           2     64         1          25         1          0.000082015991 
355        MPISG           2     64         1          25         1          0.000059604645 
356        MPISG           2     64         1          25         1          0.000059843063 
357        MPISG           2     64         1          25         1          0.000021934509 
358        MPISG           2     64         1          25         1          0.000020980835 
359        MPISG           2     64         1          25         1          0.000060319901 
360        MPISG           2     64         1          25         1          0.000023126602 
361        MPISG           2     64         1          25         1          0.000064373016 
362        MPISG           2     64         1          25         1          0.000025749207 
363        MPISG           2     64         1          25         1          0.000063180923 
364        MPISG           2     64         1          25         1          0.000063657761 
365        MPISG           2     64         1          25         1          0.000023365021 
366        MPISG           2     64         1          25         1          0.000022888184 
367        MPISG           2     64         1          25         1          0.000021934509 
368        MPISG           2     64         1          25         1          0.000063180923 
369        MPISG           2     64         1          25         1          0.000021457672 
370        MPISG           2     64         1          25         1          0.000062227249 
371        MPISG           2     64         1          25         1          0.000021219254 
372        MPISG           2     64         1          25         1          0.000061750412 
373        MPISG           2     64         1          25         1          0.000063657761 
374        MPISG           2     64         1          25         1          0.000021934509 
375        MPISG           2     64         1          25         1          0.000021219254 
376        MPISG           2     64         1          25         1          0.000021457672 
527        MPISG           2     128        1          25         1          0.000165224075 
528        MPISG           2     128        1          25         1          0.000315666199 
529        MPISG           2     128        1          25         1          0.000106334686 
530        MPISG           2     128        1          25         1          0.000104188919 
531        MPISG           2     128        1          25         1          0.000097751617 
532        MPISG           2     128        1          25         1          0.000306367874 
533        MPISG           2     128        1          25         1          0.000103950500 
534        MPISG           2     128        1          25         1          0.000308752060 
535        MPISG           2     128        1          25         1          0.000312328339 
536        MPISG           2     128        1          25         1          0.000110626221 
537        MPISG           2     128        1          25         1          0.000316143036 
538        MPISG           2     128        1          25         1          0.000229835510 
539        MPISG           2     128        1          25         1          0.000109195709 
540        MPISG           2     128        1          25         1          0.000103473663 
541        MPISG           2     128        1          25         1          0.000108718872 
542        MPISG           2     128        1          25         1          0.000097990036 
543        MPISG           2     128        1          25         1          0.000107049942 
544        MPISG           2     128        1          25         1          0.000116109848 
545        MPISG           2     128        1          25         1          0.000102996826 
546        MPISG           2     128        1          25         1          0.000319957733 
547        MPISG           2     128        1          25         1          0.000200271606 
548        MPISG           2     128        1          25         1          0.000108480453 
549        MPISG           2     128        1          25         1          0.000277757645 
550        MPISG           2     128        1          25         1          0.000104665756 
551        MPISG           2     128        1          25         1          0.000322103500 
702        MPISG           2     256        1          25         1          0.000508308411 
703        MPISG           2     256        1          25         1          0.000443220139 
704        MPISG           2     256        1          25         1          0.000432968140 
705        MPISG           2     256        1          25         1          0.000445604324 
706        MPISG           2     256        1          25         1          0.000436544418 
707        MPISG           2     256        1          25         1          0.000441312790 
708        MPISG           2     256        1          25         1          0.000434875488 
709        MPISG           2     256        1          25         1          0.000438690186 
710        MPISG           2     256        1          25         1          0.000436782837 
711        MPISG           2     256        1          25         1          0.000441551208 
712        MPISG           2     256        1          25         1          0.000433444977 
713        MPISG           2     256        1          25         1          0.000439405441 
714        MPISG           2     256        1          25         1          0.000439643860 
715        MPISG           2     256        1          25         1          0.000442981720 
716        MPISG           2     256        1          25         1          0.000444173813 
717        MPISG           2     256        1          25         1          0.000440120697 
718        MPISG           2     256        1          25         1          0.000431776047 
719        MPISG           2     256        1          25         1          0.000442504883 
720        MPISG           2     256        1          25         1          0.000437974930 
721        MPISG           2     256        1          25         1          0.000442743301 
722        MPISG           2     256        1          25         1          0.000436067581 
723        MPISG           2     256        1          25         1          0.000432491302 
724        MPISG           2     256        1          25         1          0.000449657440 
725        MPISG           2     256        1          25         1          0.000439405441 
726        MPISG           2     256        1          25         1          0.000446081161 
877        MPISG           2     512        1          25         1          0.002570629120 
878        MPISG           2     512        1          25         1          0.002171754837 
879        MPISG           2     512        1          25         1          0.002082586288 
880        MPISG           2     512        1          25         1          0.002270221710 
881        MPISG           2     512        1          25         1          0.002216100693 
882        MPISG           2     512        1          25         1          0.002251625061 
883        MPISG           2     512        1          25         1          0.002228498459 
884        MPISG           2     512        1          25         1          0.002123117447 
885        MPISG           2     512        1          25         1          0.002125740051 
886        MPISG           2     512        1          25         1          0.002252578735 
887        MPISG           2     512        1          25         1          0.002184391022 
888        MPISG           2     512        1          25         1          0.002162933350 
889        MPISG           2     512        1          25         1          0.002189159393 
890        MPISG           2     512        1          25         1          0.002045869827 
891        MPISG           2     512        1          25         1          0.002063989639 
892        MPISG           2     512        1          25         1          0.002223968506 
893        MPISG           2     512        1          25         1          0.002164840698 
894        MPISG           2     512        1          25         1          0.002217054367 
895        MPISG           2     512        1          25         1          0.002186298370 
896        MPISG           2     512        1          25         1          0.002079010010 
897        MPISG           2     512        1          25         1          0.002087354660 
898        MPISG           2     512        1          25         1          0.002208709717 
899        MPISG           2     512        1          25         1          0.002216815948 
900        MPISG           2     512        1          25         1          0.002184629440 
901        MPISG           2     512        1          25         1          0.002194643021 
1052       MPISG           2     1024       1          25         1          0.012179374695 
1053       MPISG           2     1024       1          25         1          0.010864019394 
1054       MPISG           2     1024       1          25         1          0.010563611984 
1055       MPISG           2     1024       1          25         1          0.009987115860 
1056       MPISG           2     1024       1          25         1          0.010090351105 
1057       MPISG           2     1024       1          25         1          0.009843111038 
1058       MPISG           2     1024       1          25         1          0.010053873062 
1059       MPISG           2     1024       1          25         1          0.009888172150 
1060       MPISG           2     1024       1          25         1          0.009841442108 
1061       MPISG           2     1024       1          25         1          0.010187625885 
1062       MPISG           2     1024       1          25         1          0.010040521622 
1063       MPISG           2     1024       1          25         1          0.009938478470 
1064       MPISG           2     1024       1          25         1          0.009357929230 
1065       MPISG           2     1024       1          25         1          0.009468793869 
1066       MPISG           2     1024       1          25         1          0.010301589966 
1067       MPISG           2     1024       1          25         1          0.010119915009 
1068       MPISG           2     1024       1          25         1          0.010205030441 
1069       MPISG           2     1024       1          25         1          0.010074853897 
1070       MPISG           2     1024       1          25         1          0.009909868240 
1071       MPISG           2     1024       1          25         1          0.009915590286 
1072       MPISG           2     1024       1          25         1          0.009888648987 
1073       MPISG           2     1024       1          25         1          0.009930133820 
1074       MPISG           2     1024       1          25         1          0.009855985641 
1075       MPISG           2     1024       1          25         1          0.009464979172 
1076       MPISG           2     1024       1          25         1          0.009632587433 
1227       MPISG           2     2048       1          25         1          0.036630630493 
1228       MPISG           2     2048       1          25         1          0.049609184265 
1229       MPISG           2     2048       1          25         1          0.047308444977 
1230       MPISG           2     2048       1          25         1          0.046150445938 
1231       MPISG           2     2048       1          25         1          0.046570062637 
1232       MPISG           2     2048       1          25         1          0.045861005783 
1233       MPISG           2     2048       1          25         1          0.046401262283 
1234       MPISG           2     2048       1          25         1          0.046069383621 
1235       MPISG           2     2048       1          25         1          0.046157121658 
1236       MPISG           2     2048       1          25         1          0.046554327011 
1237       MPISG           2     2048       1          25         1          0.046998977661 
1238       MPISG           2     2048       1          25         1          0.046559095383 
1239       MPISG           2     2048       1          25         1          0.046835422516 
1240       MPISG           2     2048       1          25         1          0.046292304993 
1241       MPISG           2     2048       1          25         1          0.046697854996 
1242       MPISG           2     2048       1          25         1          0.046190023422 
1243       MPISG           2     2048       1          25         1          0.046173334122 
1244       MPISG           2     2048       1          25         1          0.046901702881 
1245       MPISG           2     2048       1          25         1          0.047869920731 
1246       MPISG           2     2048       1          25         1          0.046516895294 
1247       MPISG           2     2048       1          25         1          0.046505928040 
1248       MPISG           2     2048       1          25         1          0.045909166336 
1249       MPISG           2     2048       1          25         1          0.042156457901 
1250       MPISG           2     2048       1          25         1          0.042136907578 
1251       MPISG           2     2048       1          25         1          0.046980857849 
1402       MPISG           2     4096       1          25         1          0.218231678009 
1403       MPISG           2     4096       1          25         1          0.214494228363 
1404       MPISG           2     4096       1          25         1          0.214713811874 
1405       MPISG           2     4096       1          25         1          0.212730169296 
1406       MPISG           2     4096       1          25         1          0.215639352798 
1407       MPISG           2     4096       1          25         1          0.214137315750 
1408       MPISG           2     4096       1          25         1          0.217284679413 
1409       MPISG           2     4096       1          25         1          0.214810848236 
1410       MPISG           2     4096       1          25         1          0.216047763824 
1411       MPISG           2     4096       1          25         1          0.216424226761 
1412       MPISG           2     4096       1          25         1          0.215242147446 
1413       MPISG           2     4096       1          25         1          0.214986324310 
1414       MPISG           2     4096       1          25         1          0.215618848801 
1415       MPISG           2     4096       1          25         1          0.214675664902 
1416       MPISG           2     4096       1          25         1          0.216207742691 
1417       MPISG           2     4096       1          25         1          0.216033935547 
1418       MPISG           2     4096       1          25         1          0.219215869904 
1419       MPISG           2     4096       1          25         1          0.214475154877 
1420       MPISG           2     4096       1          25         1          0.214679002762 
1421       MPISG           2     4096       1          25         1          0.215896844864 
1422       MPISG           2     4096       1          25         1          0.217598915100 
1423       MPISG           2     4096       1          25         1          0.214956045151 
1424       MPISG           2     4096       1          25         1          0.214722633362 
1425       MPISG           2     4096       1          25         1          0.215448141098 
1426       MPISG           2     4096       1          25         1          0.219821929932 
