N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          MPISG           2     16         1          25         1          0          0.000006580353  0.000006580353  1.00       100.00    %
9          MPISG           2     32         1          25         1          0          0.000010395050  0.000010395050  1.00       100.00    %
16         MPISG           2     64         1          25         1          0          0.000031614304  0.000031614304  1.00       100.00    %
23         MPISG           2     128        1          25         1          0          0.000135684013  0.000135684013  1.00       100.00    %
30         MPISG           2     256        1          25         1          0          0.000544118881  0.000544118881  1.00       100.00    %
37         MPISG           2     512        1          25         1          0          0.002483010292  0.002483010292  1.00       100.00    %
44         MPISG           2     1024       1          25         1          0          0.011057472229  0.011057472229  1.00       100.00    %
51         MPISG           2     2048       1          25         1          0          0.046973061562  0.046973061562  1.00       100.00    %
58         MPISG           2     4096       1          25         1          0          0.224737787247  0.224737787247  1.00       100.00    %
65         MPISG           2     16         1          25         1          1          0.000008034706  0.000008034706  1.00       100.00    %
70         MPISG           2     32         1          25         1          1          0.000010180473  0.000010180473  1.00       100.00    %
75         MPISG           2     64         1          25         1          1          0.000031685829  0.000031685829  1.00       100.00    %
80         MPISG           2     128        1          25         1          1          0.000127696991  0.000127696991  1.00       100.00    %
85         MPISG           2     256        1          25         1          1          0.000562238693  0.000562238693  1.00       100.00    %
90         MPISG           2     512        1          25         1          1          0.002443456650  0.002443456650  1.00       100.00    %
95         MPISG           2     1024       1          25         1          1          0.010660171509  0.010660171509  1.00       100.00    %
100        MPIBLOCKOPT     4     16         1          25         1          0          0.000013542175  0.000013542175  1.00       100.00    %
105        MPIBLOCKOPT     4     32         1          25         1          0          0.000021982193  0.000021982193  1.00       100.00    %
108        MPIBLOCKOPT     4     64         1          25         1          0          0.000049519539  0.000049519539  1.00       100.00    %
112        MPIBLOCKOPT     4     128        1          25         1          0          0.000173163414  0.000173163414  1.00       100.00    %
116        MPIBLOCKOPT     4     256        1          25         1          0          0.000695252419  0.000695252419  1.00       100.00    %
120        MPIBLOCKOPT     4     512        1          25         1          0          0.002976894379  0.002976894379  1.00       100.00    %
124        MPIBLOCKOPT     4     1024       1          25         1          0          0.012553596497  0.012553596497  1.00       100.00    %
128        MPIBLOCKOPT     4     2048       1          25         1          0          0.058027601242  0.058027601242  1.00       100.00    %
132        MPIBLOCKOPT     4     4096       1          25         1          0          0.268514680862  0.268514680862  1.00       100.00    %
136        MPIBLOCKOPT     4     16         1          25         1          1          0.000013518333  0.000013518333  1.00       100.00    %
139        MPIBLOCKOPT     4     32         1          25         1          1          0.000021409988  0.000021409988  1.00       100.00    %
142        MPIBLOCKOPT     4     64         1          25         1          1          0.000050330162  0.000050330162  1.00       100.00    %
145        MPIBLOCKOPT     4     128        1          25         1          1          0.000175642967  0.000175642967  1.00       100.00    %
148        MPIBLOCKOPT     4     256        1          25         1          1          0.000692915916  0.000692915916  1.00       100.00    %
151        MPIBLOCKOPT     4     512        1          25         1          1          0.002708244324  0.002708244324  1.00       100.00    %
154        MPIBLOCKOPT     4     1024       1          25         1          1          0.012909317017  0.012909317017  1.00       100.00    %
