N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
27         MPISG           2     16         1          25         0          2          0.000060081482 
28         MPISG           2     16         1          25         0          2          0.000044107437 
29         MPISG           2     16         1          25         0          2          0.000036001205 
30         MPISG           2     16         1          25         0          2          0.000033617020 
31         MPISG           2     16         1          25         0          2          0.000021934509 
32         MPISG           2     16         1          25         0          2          0.000015974045 
33         MPISG           2     16         1          25         0          2          0.000014543533 
34         MPISG           2     16         1          25         0          2          0.000015735626 
35         MPISG           2     16         1          25         0          2          0.000014305115 
36         MPISG           2     16         1          25         0          2          0.000016212463 
37         MPISG           2     16         1          25         0          2          0.000015020370 
38         MPISG           2     16         1          25         0          2          0.000016212463 
39         MPISG           2     16         1          25         0          2          0.000014543533 
40         MPISG           2     16         1          25         0          2          0.000016927719 
41         MPISG           2     16         1          25         0          2          0.000015735626 
42         MPISG           2     16         1          25         0          2          0.000015497208 
43         MPISG           2     16         1          25         0          2          0.000015974045 
44         MPISG           2     16         1          25         0          2          0.000015735626 
45         MPISG           2     16         1          25         0          2          0.000015020370 
46         MPISG           2     16         1          25         0          2          0.000021934509 
47         MPISG           2     16         1          25         0          2          0.000015258789 
48         MPISG           2     16         1          25         0          2          0.000017642975 
49         MPISG           2     16         1          25         0          2          0.000015735626 
50         MPISG           2     16         1          25         0          2          0.000015497208 
51         MPISG           2     16         1          25         0          2          0.000017642975 
52         MPISG           2     16         1          25         0          4          0.000669002533 
53         MPISG           2     16         1          25         0          4          0.000496387482 
54         MPISG           2     16         1          25         0          4          0.000102996826 
55         MPISG           2     16         1          25         0          4          0.000110149384 
56         MPISG           2     16         1          25         0          4          0.000057697296 
57         MPISG           2     16         1          25         0          4          0.000036954880 
58         MPISG           2     16         1          25         0          4          0.000035524368 
59         MPISG           2     16         1          25         0          4          0.000034332275 
60         MPISG           2     16         1          25         0          4          0.000037193298 
61         MPISG           2     16         1          25         0          4          0.000033617020 
62         MPISG           2     16         1          25         0          4          0.000033617020 
63         MPISG           2     16         1          25         0          4          0.000043869019 
64         MPISG           2     16         1          25         0          4          0.000043630600 
65         MPISG           2     16         1          25         0          4          0.000034570694 
66         MPISG           2     16         1          25         0          4          0.000043630600 
67         MPISG           2     16         1          25         0          4          0.000044107437 
68         MPISG           2     16         1          25         0          4          0.000037908554 
69         MPISG           2     16         1          25         0          4          0.000032901764 
70         MPISG           2     16         1          25         0          4          0.000040531158 
71         MPISG           2     16         1          25         0          4          0.000038146973 
72         MPISG           2     16         1          25         0          4          0.000034332275 
73         MPISG           2     16         1          25         0          4          0.000037908554 
74         MPISG           2     16         1          25         0          4          0.000033617020 
75         MPISG           2     16         1          25         0          4          0.000038862228 
76         MPISG           2     16         1          25         0          4          0.000036954880 
77         MPISG           2     16         1          25         0          8          0.001297712326 
78         MPISG           2     16         1          25         0          8          0.000258207321 
79         MPISG           2     16         1          25         0          8          0.000260353088 
80         MPISG           2     16         1          25         0          8          0.000253200531 
81         MPISG           2     16         1          25         0          8          0.000136852264 
82         MPISG           2     16         1          25         0          8          0.000109195709 
83         MPISG           2     16         1          25         0          8          0.000100612640 
84         MPISG           2     16         1          25         0          8          0.000084638596 
85         MPISG           2     16         1          25         0          8          0.000085830688 
86         MPISG           2     16         1          25         0          8          0.000087022781 
87         MPISG           2     16         1          25         0          8          0.000083923340 
88         MPISG           2     16         1          25         0          8          0.000075817108 
89         MPISG           2     16         1          25         0          8          0.000084161758 
90         MPISG           2     16         1          25         0          8          0.000108718872 
91         MPISG           2     16         1          25         0          8          0.000091552734 
92         MPISG           2     16         1          25         0          8          0.000085353851 
93         MPISG           2     16         1          25         0          8          0.000082969666 
94         MPISG           2     16         1          25         0          8          0.000078439713 
95         MPISG           2     16         1          25         0          8          0.000082492828 
96         MPISG           2     16         1          25         0          8          0.000078201294 
97         MPISG           2     16         1          25         0          8          0.000080108643 
98         MPISG           2     16         1          25         0          8          0.000078678131 
99         MPISG           2     16         1          25         0          8          0.000081777573 
100        MPISG           2     16         1          25         0          8          0.000083684921 
