N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
1          MPISG           2     16         1          25         0          1          0.000021696091 
2          MPISG           2     16         1          25         0          1          0.000005960464 
3          MPISG           2     16         1          25         0          1          0.000013113022 
4          MPISG           2     16         1          25         0          1          0.000009775162 
5          MPISG           2     16         1          25         0          1          0.000014305115 
6          MPISG           2     16         1          25         0          1          0.000005483627 
7          MPISG           2     16         1          25         0          1          0.000007390976 
8          MPISG           2     16         1          25         0          1          0.000005245209 
9          MPISG           2     16         1          25         0          1          0.000007629395 
10         MPISG           2     16         1          25         0          1          0.000006675720 
11         MPISG           2     16         1          25         0          1          0.000006675720 
12         MPISG           2     16         1          25         0          1          0.000008106232 
13         MPISG           2     16         1          25         0          1          0.000007867813 
14         MPISG           2     16         1          25         0          1          0.000008344650 
15         MPISG           2     16         1          25         0          1          0.000005483627 
16         MPISG           2     16         1          25         0          1          0.000005245209 
17         MPISG           2     16         1          25         0          1          0.000007390976 
18         MPISG           2     16         1          25         0          1          0.000005245209 
19         MPISG           2     16         1          25         0          1          0.000007152557 
20         MPISG           2     16         1          25         0          1          0.000006198883 
21         MPISG           2     16         1          25         0          1          0.000006437302 
22         MPISG           2     16         1          25         0          1          0.000006914139 
23         MPISG           2     16         1          25         0          1          0.000006198883 
24         MPISG           2     16         1          25         0          1          0.000007152557 
25         MPISG           2     16         1          25         0          1          0.000006914139 
26         MPISG           2     16         1          25         0          2          0.000067710876 
27         MPISG           2     16         1          25         0          2          0.000038146973 
28         MPISG           2     16         1          25         0          2          0.000033378601 
29         MPISG           2     16         1          25         0          2          0.000045776367 
30         MPISG           2     16         1          25         0          2          0.000020742416 
31         MPISG           2     16         1          25         0          2          0.000023603439 
32         MPISG           2     16         1          25         0          2          0.000014781952 
33         MPISG           2     16         1          25         0          2          0.000017642975 
34         MPISG           2     16         1          25         0          2          0.000018119812 
35         MPISG           2     16         1          25         0          2          0.000019073486 
36         MPISG           2     16         1          25         0          2          0.000015497208 
37         MPISG           2     16         1          25         0          2          0.000015974045 
38         MPISG           2     16         1          25         0          2          0.000015020370 
39         MPISG           2     16         1          25         0          2          0.000015020370 
40         MPISG           2     16         1          25         0          2          0.000021457672 
41         MPISG           2     16         1          25         0          2          0.000016689301 
42         MPISG           2     16         1          25         0          2          0.000015735626 
43         MPISG           2     16         1          25         0          2          0.000015974045 
44         MPISG           2     16         1          25         0          2          0.000019311905 
45         MPISG           2     16         1          25         0          2          0.000016212463 
