N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        MPIBLOCKOPT     4     16         1          25         4          0          0.000064039230  0.000013947487  0.22       5.44      %
102        MPIBLOCKOPT     4     16         1          25         16         0          0.000146508217  0.000013947487  0.10       0.59      %
103        MPIBLOCKOPT     4     16         1          25         32         0          0.000152802467  0.000013947487  0.09       0.29      %
104        MPIBLOCKOPT     4     16         1          25         64         0          0.000135326385  0.000013947487  0.10       0.16      %
106        MPIBLOCKOPT     4     32         1          25         4          0          0.000107955933  0.000022435188  0.21       5.20      %
107        MPIBLOCKOPT     4     32         1          25         16         0          0.000191402435  0.000022435188  0.12       0.73      %
109        MPIBLOCKOPT     4     64         1          25         4          0          0.000223374367  0.000047731400  0.21       5.34      %
110        MPIBLOCKOPT     4     64         1          25         16         0          0.000362253189  0.000047731400  0.13       0.82      %
111        MPIBLOCKOPT     4     64         1          25         64         0          0.000538730621  0.000047731400  0.09       0.14      %
113        MPIBLOCKOPT     4     128        1          25         4          0          0.000466465950  0.000173115730  0.37       9.28      %
114        MPIBLOCKOPT     4     128        1          25         16         0          0.000719571114  0.000173115730  0.24       1.50      %
115        MPIBLOCKOPT     4     128        1          25         64         0          0.001195883751  0.000173115730  0.14       0.23      %
117        MPIBLOCKOPT     4     256        1          25         4          0          0.001167726517  0.000693988800  0.59       14.86     %
118        MPIBLOCKOPT     4     256        1          25         16         0          0.001551437378  0.000693988800  0.45       2.80      %
119        MPIBLOCKOPT     4     256        1          25         64         0          0.002338171005  0.000693988800  0.30       0.46      %
121        MPIBLOCKOPT     4     512        1          25         4          0          0.003209853172  0.002991700172  0.93       23.30     %
122        MPIBLOCKOPT     4     512        1          25         16         0          0.005020356178  0.002991700172  0.60       3.72      %
123        MPIBLOCKOPT     4     512        1          25         64         0          0.005831384659  0.002991700172  0.51       0.80      %
125        MPIBLOCKOPT     4     1024       1          25         4          0          0.009715080261  0.012483716011  1.28       32.12     %
126        MPIBLOCKOPT     4     1024       1          25         16         0          0.015211462975  0.012483716011  0.82       5.13      %
127        MPIBLOCKOPT     4     1024       1          25         64         0          0.013228535652  0.012483716011  0.94       1.47      %
129        MPIBLOCKOPT     4     2048       1          25         4          0          0.032776427269  0.058075857162  1.77       44.30     %
130        MPIBLOCKOPT     4     2048       1          25         16         0          0.044478058815  0.058075857162  1.31       8.16      %
131        MPIBLOCKOPT     4     2048       1          25         64         0          0.036971664429  0.058075857162  1.57       2.45      %
133        MPIBLOCKOPT     4     4096       1          25         4          0          0.169233489037  0.262715721130  1.55       38.81     %
134        MPIBLOCKOPT     4     4096       1          25         16         0          0.184812736511  0.262715721130  1.42       8.88      %
135        MPIBLOCKOPT     4     4096       1          25         64         0          0.106844997406  0.262715721130  2.46       3.84      %
