N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
3          MPISG           2     16         1          25         2          0          0.000016164780  0.000006699562  0.41       20.72     %
4          MPISG           2     16         1          25         4          0          0.000037837029  0.000006699562  0.18       4.43      %
5          MPISG           2     16         1          25         8          0          0.000078582764  0.000006699562  0.09       1.07      %
6          MPISG           2     16         1          25         16         0          0.000161862373  0.000006699562  0.04       0.26      %
7          MPISG           2     16         1          25         32         0          0.000162529945  0.000006699562  0.04       0.13      %
8          MPISG           2     16         1          25         64         0          0.000173306465  0.000006699562  0.04       0.06      %
10         MPISG           2     32         1          25         2          0          0.000024366379  0.000013041496  0.54       26.76     %
11         MPISG           2     32         1          25         4          0          0.000067520142  0.000013041496  0.19       4.83      %
12         MPISG           2     32         1          25         8          0          0.000143837929  0.000013041496  0.09       1.13      %
13         MPISG           2     32         1          25         16         0          0.000336885452  0.000013041496  0.04       0.24      %
14         MPISG           2     32         1          25         32         0          0.000411677361  0.000013041496  0.03       0.10      %
15         MPISG           2     32         1          25         64         0          0.000390815735  0.000013041496  0.03       0.05      %
17         MPISG           2     64         1          25         2          0          0.000053215027  0.000029850006  0.56       28.05     %
18         MPISG           2     64         1          25         4          0          0.000121712685  0.000029850006  0.25       6.13      %
19         MPISG           2     64         1          25         8          0          0.000284910202  0.000029850006  0.10       1.31      %
20         MPISG           2     64         1          25         16         0          0.000734853745  0.000029850006  0.04       0.25      %
21         MPISG           2     64         1          25         32         0          0.000774097443  0.000029850006  0.04       0.12      %
22         MPISG           2     64         1          25         64         0          0.001655435562  0.000029850006  0.02       0.03      %
24         MPISG           2     128        1          25         2          0          0.000118422508  0.000105142593  0.89       44.39     %
25         MPISG           2     128        1          25         4          0          0.000304365158  0.000105142593  0.35       8.64      %
26         MPISG           2     128        1          25         8          0          0.000777530670  0.000105142593  0.14       1.69      %
27         MPISG           2     128        1          25         16         0          0.002218937874  0.000105142593  0.05       0.30      %
28         MPISG           2     128        1          25         32         0          0.001454234123  0.000105142593  0.07       0.23      %
29         MPISG           2     128        1          25         64         0          0.003156566620  0.000105142593  0.03       0.05      %
31         MPISG           2     256        1          25         2          0          0.000451183319  0.000427961349  0.95       47.43     %
32         MPISG           2     256        1          25         4          0          0.000740289688  0.000427961349  0.58       14.45     %
33         MPISG           2     256        1          25         8          0          0.001939678192  0.000427961349  0.22       2.76      %
34         MPISG           2     256        1          25         16         0          0.006643366814  0.000427961349  0.06       0.40      %
35         MPISG           2     256        1          25         32         0          0.003212070465  0.000427961349  0.13       0.42      %
36         MPISG           2     256        1          25         64         0          0.006235194206  0.000427961349  0.07       0.11      %
38         MPISG           2     512        1          25         2          0          0.001536560059  0.002235412598  1.45       72.74     %
39         MPISG           2     512        1          25         4          0          0.002240204811  0.002235412598  1.00       24.95     %
40         MPISG           2     512        1          25         8          0          0.004753684998  0.002235412598  0.47       5.88      %
41         MPISG           2     512        1          25         16         0          0.018334031105  0.002235412598  0.12       0.76      %
42         MPISG           2     512        1          25         32         0          0.006676888466  0.002235412598  0.33       1.05      %
43         MPISG           2     512        1          25         64         0          0.013024950027  0.002235412598  0.17       0.27      %
45         MPISG           2     1024       1          25         2          0          0.007140755653  0.010432934761  1.46       73.05     %
46         MPISG           2     1024       1          25         4          0          0.007122564316  0.010432934761  1.46       36.62     %
47         MPISG           2     1024       1          25         8          0          0.012276482582  0.010432934761  0.85       10.62     %
48         MPISG           2     1024       1          25         16         0          0.039847707748  0.010432934761  0.26       1.64      %
49         MPISG           2     1024       1          25         32         0          0.015124464035  0.010432934761  0.69       2.16      %
50         MPISG           2     1024       1          25         64         0          0.028148341179  0.010432934761  0.37       0.58      %
52         MPISG           2     2048       1          25         2          0          0.034792375565  0.051322674751  1.48       73.76     %
53         MPISG           2     2048       1          25         4          0          0.027666592598  0.051322674751  1.86       46.38     %
54         MPISG           2     2048       1          25         8          0          0.038290715218  0.051322674751  1.34       16.75     %
55         MPISG           2     2048       1          25         16         0          0.091144776344  0.051322674751  0.56       3.52      %
56         MPISG           2     2048       1          25         32         0          0.042214417458  0.051322674751  1.22       3.80      %
57         MPISG           2     2048       1          25         64         0          0.067916727066  0.051322674751  0.76       1.18      %
59         MPISG           2     4096       1          25         2          0          0.167508339882  0.238760852814  1.43       71.27     %
60         MPISG           2     4096       1          25         4          0          0.143303322792  0.238760852814  1.67       41.65     %
61         MPISG           2     4096       1          25         8          0          0.141599917412  0.238760852814  1.69       21.08     %
62         MPISG           2     4096       1          25         16         0          0.241125273705  0.238760852814  0.99       6.19      %
63         MPISG           2     4096       1          25         32         0          0.163493490219  0.238760852814  1.46       4.56      %
64         MPISG           2     4096       1          25         64         0          0.210024309158  0.238760852814  1.14       1.78      %
66         MPISG           2     16         1          25         2          1          0.000009155273  0.000004887581  0.53       53.39     %
67         MPISG           2     16         1          25         4          1          0.000038194656  0.000004887581  0.13       12.80     %
68         MPISG           2     16         1          25         8          1          0.000076222420  0.000004887581  0.06       6.41      %
69         MPISG           2     16         1          25         16         1          0.000182533264  0.000004887581  0.03       2.68      %
71         MPISG           2     32         1          25         2          1          0.000024008751  0.000006508827  0.27       27.11     %
72         MPISG           2     32         1          25         4          1          0.000071763992  0.000006508827  0.09       9.07      %
73         MPISG           2     32         1          25         8          1          0.000170302391  0.000006508827  0.04       3.82      %
74         MPISG           2     32         1          25         16         1          0.000380086899  0.000006508827  0.02       1.71      %
76         MPISG           2     64         1          25         2          1          0.000055122375  0.000019931793  0.36       36.16     %
77         MPISG           2     64         1          25         4          1          0.000159263611  0.000019931793  0.13       12.51     %
78         MPISG           2     64         1          25         8          1          0.000440645218  0.000019931793  0.05       4.52      %
79         MPISG           2     64         1          25         16         1          0.001551318169  0.000019931793  0.01       1.28      %
81         MPISG           2     128        1          25         2          1          0.000179719925  0.000098276138  0.55       54.68     %
82         MPISG           2     128        1          25         4          1          0.000573372841  0.000098276138  0.17       17.14     %
83         MPISG           2     128        1          25         8          1          0.001463842392  0.000098276138  0.07       6.71      %
84         MPISG           2     128        1          25         16         1          0.005074977875  0.000098276138  0.02       1.94      %
86         MPISG           2     256        1          25         2          1          0.000681686401  0.000417351723  0.61       61.22     %
87         MPISG           2     256        1          25         4          1          0.001520586014  0.000417351723  0.27       27.45     %
88         MPISG           2     256        1          25         8          1          0.004172658920  0.000417351723  0.10       10.00     %
89         MPISG           2     256        1          25         16         1          0.012604928017  0.000417351723  0.03       3.31      %
91         MPISG           2     512        1          25         2          1          0.003097414970  0.002160763741  0.70       69.76     %
92         MPISG           2     512        1          25         4          1          0.006220340729  0.002160763741  0.35       34.74     %
93         MPISG           2     512        1          25         8          1          0.013623595238  0.002160763741  0.16       15.86     %
94         MPISG           2     512        1          25         16         1          0.036724638939  0.002160763741  0.06       5.88      %
96         MPISG           2     1024       1          25         2          1          0.014928460121  0.010388445854  0.70       69.59     %
97         MPISG           2     1024       1          25         4          1          0.024455022812  0.010388445854  0.42       42.48     %
98         MPISG           2     1024       1          25         8          1          0.053878140450  0.010388445854  0.19       19.28     %
99         MPISG           2     1024       1          25         16         1          0.139813923836  0.010388445854  0.07       7.43      %
133        MPISG           2     16         1          25         2          0          0.000042557716  0.000006699562  0.16       7.87      %
134        MPISG           2     16         1          25         4          0          0.000089740753  0.000006699562  0.07       1.87      %
135        MPISG           2     16         1          25         8          0          0.000204849243  0.000006699562  0.03       0.41      %
136        MPISG           2     16         1          25         16         0          0.000417113304  0.000006699562  0.02       0.10      %
137        MPISG           2     16         1          25         32         0          0.000412893295  0.000006699562  0.02       0.05      %
