N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
2          MPISG           2     16         1          25         0          1          0.000025987625 
3          MPISG           2     16         1          25         0          1          0.000022649765 
4          MPISG           2     16         1          25         0          1          0.000005483627 
5          MPISG           2     16         1          25         0          1          0.000014066696 
6          MPISG           2     16         1          25         0          1          0.000013828278 
7          MPISG           2     16         1          25         0          1          0.000004291534 
8          MPISG           2     16         1          25         0          1          0.000005245209 
9          MPISG           2     16         1          25         0          1          0.000006675720 
10         MPISG           2     16         1          25         0          1          0.000018596649 
11         MPISG           2     16         1          25         0          1          0.000006914139 
12         MPISG           2     16         1          25         0          1          0.000006198883 
13         MPISG           2     16         1          25         0          1          0.000006914139 
14         MPISG           2     16         1          25         0          1          0.000006198883 
15         MPISG           2     16         1          25         0          1          0.000014781952 
16         MPISG           2     16         1          25         0          1          0.000006914139 
17         MPISG           2     16         1          25         0          1          0.000005483627 
18         MPISG           2     16         1          25         0          1          0.000006914139 
19         MPISG           2     16         1          25         0          1          0.000006914139 
20         MPISG           2     16         1          25         0          1          0.000005960464 
21         MPISG           2     16         1          25         0          1          0.000005960464 
22         MPISG           2     16         1          25         0          1          0.000005722046 
23         MPISG           2     16         1          25         0          1          0.000007390976 
24         MPISG           2     16         1          25         0          1          0.000005245209 
25         MPISG           2     16         1          25         0          1          0.000008344650 
26         MPISG           2     16         1          25         0          1          0.000014305115 
177        MPISG           2     32         1          25         0          1          0.000023603439 
178        MPISG           2     32         1          25         0          1          0.000014066696 
179        MPISG           2     32         1          25         0          1          0.000013828278 
180        MPISG           2     32         1          25         0          1          0.000012397766 
181        MPISG           2     32         1          25         0          1          0.000007867813 
182        MPISG           2     32         1          25         0          1          0.000012397766 
183        MPISG           2     32         1          25         0          1          0.000015735626 
184        MPISG           2     32         1          25         0          1          0.000013589859 
185        MPISG           2     32         1          25         0          1          0.000014066696 
186        MPISG           2     32         1          25         0          1          0.000011444092 
187        MPISG           2     32         1          25         0          1          0.000008821487 
188        MPISG           2     32         1          25         0          1          0.000009775162 
189        MPISG           2     32         1          25         0          1          0.000009536743 
190        MPISG           2     32         1          25         0          1          0.000012874603 
191        MPISG           2     32         1          25         0          1          0.000009536743 
192        MPISG           2     32         1          25         0          1          0.000009298325 
193        MPISG           2     32         1          25         0          1          0.000021219254 
194        MPISG           2     32         1          25         0          1          0.000022411346 
195        MPISG           2     32         1          25         0          1          0.000020980835 
196        MPISG           2     32         1          25         0          1          0.000021457672 
197        MPISG           2     32         1          25         0          1          0.000021934509 
198        MPISG           2     32         1          25         0          1          0.000021934509 
199        MPISG           2     32         1          25         0          1          0.000026941299 
200        MPISG           2     32         1          25         0          1          0.000009059906 
201        MPISG           2     32         1          25         0          1          0.000010013580 
352        MPISG           2     64         1          25         0          1          0.000045776367 
353        MPISG           2     64         1          25         0          1          0.000070571899 
354        MPISG           2     64         1          25         0          1          0.000066757202 
355        MPISG           2     64         1          25         0          1          0.000020742416 
356        MPISG           2     64         1          25         0          1          0.000061511993 
357        MPISG           2     64         1          25         0          1          0.000019550323 
358        MPISG           2     64         1          25         0          1          0.000029087067 
359        MPISG           2     64         1          25         0          1          0.000020027161 
360        MPISG           2     64         1          25         0          1          0.000029325485 
361        MPISG           2     64         1          25         0          1          0.000026464462 
362        MPISG           2     64         1          25         0          1          0.000036478043 
363        MPISG           2     64         1          25         0          1          0.000035762787 
364        MPISG           2     64         1          25         0          1          0.000025987625 
365        MPISG           2     64         1          25         0          1          0.000022411346 
366        MPISG           2     64         1          25         0          1          0.000026464462 
367        MPISG           2     64         1          25         0          1          0.000030517578 
368        MPISG           2     64         1          25         0          1          0.000034809113 
369        MPISG           2     64         1          25         0          1          0.000033140182 
370        MPISG           2     64         1          25         0          1          0.000031471252 
371        MPISG           2     64         1          25         0          1          0.000033140182 
372        MPISG           2     64         1          25         0          1          0.000023365021 
373        MPISG           2     64         1          25         0          1          0.000031709671 
374        MPISG           2     64         1          25         0          1          0.000024318695 
375        MPISG           2     64         1          25         0          1          0.000028610229 
376        MPISG           2     64         1          25         0          1          0.000031709671 
527        MPISG           2     128        1          25         0          1          0.000177383423 
528        MPISG           2     128        1          25         0          1          0.000128746033 
529        MPISG           2     128        1          25         0          1          0.000120878220 
530        MPISG           2     128        1          25         0          1          0.000107765198 
531        MPISG           2     128        1          25         0          1          0.000124216080 
532        MPISG           2     128        1          25         0          1          0.000134468079 
533        MPISG           2     128        1          25         0          1          0.000108718872 
534        MPISG           2     128        1          25         0          1          0.000096559525 
535        MPISG           2     128        1          25         0          1          0.000102281570 
536        MPISG           2     128        1          25         0          1          0.000100135803 
537        MPISG           2     128        1          25         0          1          0.000106573105 
538        MPISG           2     128        1          25         0          1          0.000110149384 
539        MPISG           2     128        1          25         0          1          0.000097513199 
540        MPISG           2     128        1          25         0          1          0.000151157379 
541        MPISG           2     128        1          25         0          1          0.000256538391 
542        MPISG           2     128        1          25         0          1          0.000095844269 
543        MPISG           2     128        1          25         0          1          0.000095605850 
544        MPISG           2     128        1          25         0          1          0.000103235245 
545        MPISG           2     128        1          25         0          1          0.000108242035 
546        MPISG           2     128        1          25         0          1          0.000096321106 
547        MPISG           2     128        1          25         0          1          0.000101566315 
548        MPISG           2     128        1          25         0          1          0.000102758408 
549        MPISG           2     128        1          25         0          1          0.000283241272 
550        MPISG           2     128        1          25         0          1          0.000097274780 
551        MPISG           2     128        1          25         0          1          0.000093221664 
702        MPISG           2     256        1          25         0          1          0.000657081604 
703        MPISG           2     256        1          25         0          1          0.000476837158 
704        MPISG           2     256        1          25         0          1          0.000467538834 
