N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
2477       MPIBLOCKOPT     4     16         1          25         0          4          0.001577138901 
2478       MPIBLOCKOPT     4     16         1          25         0          4          0.000214338303 
2479       MPIBLOCKOPT     4     16         1          25         0          4          0.000193357468 
2480       MPIBLOCKOPT     4     16         1          25         0          4          0.000174522400 
2481       MPIBLOCKOPT     4     16         1          25         0          4          0.000182628632 
2482       MPIBLOCKOPT     4     16         1          25         0          4          0.000154733658 
2483       MPIBLOCKOPT     4     16         1          25         0          4          0.000157594681 
2484       MPIBLOCKOPT     4     16         1          25         0          4          0.000161409378 
2485       MPIBLOCKOPT     4     16         1          25         0          4          0.000183343887 
2486       MPIBLOCKOPT     4     16         1          25         0          4          0.000127077103 
2487       MPIBLOCKOPT     4     16         1          25         0          4          0.000088214874 
2488       MPIBLOCKOPT     4     16         1          25         0          4          0.000096559525 
2489       MPIBLOCKOPT     4     16         1          25         0          4          0.000093936920 
2490       MPIBLOCKOPT     4     16         1          25         0          4          0.000093460083 
2491       MPIBLOCKOPT     4     16         1          25         0          4          0.000092983246 
2492       MPIBLOCKOPT     4     16         1          25         0          4          0.000097036362 
2493       MPIBLOCKOPT     4     16         1          25         0          4          0.000093221664 
2494       MPIBLOCKOPT     4     16         1          25         0          4          0.000085115433 
2495       MPIBLOCKOPT     4     16         1          25         0          4          0.000092983246 
2496       MPIBLOCKOPT     4     16         1          25         0          4          0.000088691711 
2497       MPIBLOCKOPT     4     16         1          25         0          4          0.000098705292 
2498       MPIBLOCKOPT     4     16         1          25         0          4          0.000091075897 
2499       MPIBLOCKOPT     4     16         1          25         0          4          0.000087022781 
2500       MPIBLOCKOPT     4     16         1          25         0          4          0.000109910965 
2501       MPIBLOCKOPT     4     16         1          25         0          4          0.000087738037 
2502       MPIBLOCKOPT     4     16         1          25         0          16         0.001100540161 
2503       MPIBLOCKOPT     4     16         1          25         0          16         0.000362873077 
2504       MPIBLOCKOPT     4     16         1          25         0          16         0.000362634659 
2505       MPIBLOCKOPT     4     16         1          25         0          16         0.000349998474 
2506       MPIBLOCKOPT     4     16         1          25         0          16         0.000374555588 
2507       MPIBLOCKOPT     4     16         1          25         0          16         0.000361204147 
2508       MPIBLOCKOPT     4     16         1          25         0          16         0.000356912613 
2509       MPIBLOCKOPT     4     16         1          25         0          16         0.000369071960 
2510       MPIBLOCKOPT     4     16         1          25         0          16         0.000339984894 
2511       MPIBLOCKOPT     4     16         1          25         0          16         0.000384807587 
2512       MPIBLOCKOPT     4     16         1          25         0          16         0.000352382660 
2513       MPIBLOCKOPT     4     16         1          25         0          16         0.000374555588 
2514       MPIBLOCKOPT     4     16         1          25         0          16         0.000354528427 
2515       MPIBLOCKOPT     4     16         1          25         0          16         0.000355958939 
2516       MPIBLOCKOPT     4     16         1          25         0          16         0.000334739685 
2517       MPIBLOCKOPT     4     16         1          25         0          16         0.000318288803 
2518       MPIBLOCKOPT     4     16         1          25         0          16         0.000312089920 
2519       MPIBLOCKOPT     4     16         1          25         0          16         0.000275373459 
2520       MPIBLOCKOPT     4     16         1          25         0          16         0.000280857086 
2521       MPIBLOCKOPT     4     16         1          25         0          16         0.000273704529 
2522       MPIBLOCKOPT     4     16         1          25         0          16         0.000241994858 
2523       MPIBLOCKOPT     4     16         1          25         0          16         0.000160217285 
2524       MPIBLOCKOPT     4     16         1          25         0          16         0.000156164169 
2525       MPIBLOCKOPT     4     16         1          25         0          16         0.000182151794 
2526       MPIBLOCKOPT     4     16         1          25         0          16         0.000149726868 
2527       MPIBLOCKOPT     4     16         1          25         0          16         0.001521110535 
2528       MPIBLOCKOPT     4     16         1          25         0          16         0.000402212143 
2529       MPIBLOCKOPT     4     16         1          25         0          16         0.000361204147 
2530       MPIBLOCKOPT     4     16         1          25         0          16         0.000374555588 
2531       MPIBLOCKOPT     4     16         1          25         0          16         0.000375986099 
2532       MPIBLOCKOPT     4     16         1          25         0          16         0.000365257263 
2533       MPIBLOCKOPT     4     16         1          25         0          16         0.000357627869 
2534       MPIBLOCKOPT     4     16         1          25         0          16         0.000332117081 
2535       MPIBLOCKOPT     4     16         1          25         0          16         0.000370502472 
2536       MPIBLOCKOPT     4     16         1          25         0          16         0.000353574753 
2537       MPIBLOCKOPT     4     16         1          25         0          16         0.000365018845 
2538       MPIBLOCKOPT     4     16         1          25         0          16         0.000390291214 
2539       MPIBLOCKOPT     4     16         1          25         0          16         0.000349760056 
2540       MPIBLOCKOPT     4     16         1          25         0          16         0.000368118286 
2541       MPIBLOCKOPT     4     16         1          25         0          16         0.000352621078 
2542       MPIBLOCKOPT     4     16         1          25         0          16         0.000375032425 
2543       MPIBLOCKOPT     4     16         1          25         0          16         0.000332355499 
2544       MPIBLOCKOPT     4     16         1          25         0          16         0.000308275223 
2545       MPIBLOCKOPT     4     16         1          25         0          16         0.000299692154 
2546       MPIBLOCKOPT     4     16         1          25         0          16         0.000287532806 
2547       MPIBLOCKOPT     4     16         1          25         0          16         0.000266551971 
2548       MPIBLOCKOPT     4     16         1          25         0          16         0.000224590302 
2549       MPIBLOCKOPT     4     16         1          25         0          16         0.000163555145 
2550       MPIBLOCKOPT     4     16         1          25         0          16         0.000162839890 
2551       MPIBLOCKOPT     4     16         1          25         0          16         0.000167369843 
2552       MPIBLOCKOPT     4     16         1          25         0          16         0.000966548920 
2553       MPIBLOCKOPT     4     16         1          25         0          16         0.000231027603 
2554       MPIBLOCKOPT     4     16         1          25         0          16         0.000247955322 
2555       MPIBLOCKOPT     4     16         1          25         0          16         0.000281810760 
2556       MPIBLOCKOPT     4     16         1          25         0          16         0.000361919403 
2557       MPIBLOCKOPT     4     16         1          25         0          16         0.000352382660 
2558       MPIBLOCKOPT     4     16         1          25         0          16         0.000354528427 
2559       MPIBLOCKOPT     4     16         1          25         0          16         0.000358819962 
2560       MPIBLOCKOPT     4     16         1          25         0          16         0.000358104706 
2561       MPIBLOCKOPT     4     16         1          25         0          16         0.000365018845 
2562       MPIBLOCKOPT     4     16         1          25         0          16         0.000376939774 
2563       MPIBLOCKOPT     4     16         1          25         0          16         0.000364065170 
2564       MPIBLOCKOPT     4     16         1          25         0          16         0.000348091125 
2565       MPIBLOCKOPT     4     16         1          25         0          16         0.000373363495 
2566       MPIBLOCKOPT     4     16         1          25         0          16         0.000357866287 
2567       MPIBLOCKOPT     4     16         1          25         0          16         0.000370740891 
2568       MPIBLOCKOPT     4     16         1          25         0          16         0.000325918198 
2569       MPIBLOCKOPT     4     16         1          25         0          16         0.000299453735 
2570       MPIBLOCKOPT     4     16         1          25         0          16         0.000263929367 
2571       MPIBLOCKOPT     4     16         1          25         0          16         0.000275135040 
2572       MPIBLOCKOPT     4     16         1          25         0          16         0.000243902206 
2573       MPIBLOCKOPT     4     16         1          25         0          16         0.000217914581 
2574       MPIBLOCKOPT     4     16         1          25         0          16         0.000166893005 
2575       MPIBLOCKOPT     4     16         1          25         0          16         0.000167846680 
2576       MPIBLOCKOPT     4     16         1          25         0          16         0.000165224075 
2602       MPIBLOCKOPT     4     32         1          25         0          4          0.001027584076 
2603       MPIBLOCKOPT     4     32         1          25         0          4          0.000212192535 
2604       MPIBLOCKOPT     4     32         1          25         0          4          0.000273942947 
2605       MPIBLOCKOPT     4     32         1          25         0          4          0.000267982483 
2606       MPIBLOCKOPT     4     32         1          25         0          4          0.000176906586 
2607       MPIBLOCKOPT     4     32         1          25         0          4          0.000152826309 
2608       MPIBLOCKOPT     4     32         1          25         0          4          0.000143766403 
2609       MPIBLOCKOPT     4     32         1          25         0          4          0.000230073929 
2610       MPIBLOCKOPT     4     32         1          25         0          4          0.000235080719 
2611       MPIBLOCKOPT     4     32         1          25         0          4          0.000189781189 
2612       MPIBLOCKOPT     4     32         1          25         0          4          0.000192165375 
2613       MPIBLOCKOPT     4     32         1          25         0          4          0.000142097473 
2614       MPIBLOCKOPT     4     32         1          25         0          4          0.000221252441 
2615       MPIBLOCKOPT     4     32         1          25         0          4          0.000213623047 
2616       MPIBLOCKOPT     4     32         1          25         0          4          0.000156641006 
2617       MPIBLOCKOPT     4     32         1          25         0          4          0.000244140625 
2618       MPIBLOCKOPT     4     32         1          25         0          4          0.000210046768 
2619       MPIBLOCKOPT     4     32         1          25         0          4          0.000143051147 
2620       MPIBLOCKOPT     4     32         1          25         0          4          0.000139474869 
2621       MPIBLOCKOPT     4     32         1          25         0          4          0.000205039978 
2622       MPIBLOCKOPT     4     32         1          25         0          4          0.000220060349 
2623       MPIBLOCKOPT     4     32         1          25         0          4          0.000152826309 
