N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1727       MPIBLOCK   3     16         1          25         4          0.001044034958 
1728       MPIBLOCK   3     16         1          25         4          0.000108480453 
1729       MPIBLOCK   3     16         1          25         4          0.000099658966 
1730       MPIBLOCK   3     16         1          25         4          0.000167131424 
1731       MPIBLOCK   3     16         1          25         4          0.000097513199 
1732       MPIBLOCK   3     16         1          25         4          0.000102043152 
1733       MPIBLOCK   3     16         1          25         4          0.000130414963 
1734       MPIBLOCK   3     16         1          25         4          0.000096797943 
1735       MPIBLOCK   3     16         1          25         4          0.000099658966 
1736       MPIBLOCK   3     16         1          25         4          0.000124931335 
1737       MPIBLOCK   3     16         1          25         4          0.000099658966 
1738       MPIBLOCK   3     16         1          25         4          0.000126600266 
1739       MPIBLOCK   3     16         1          25         4          0.000124692917 
1740       MPIBLOCK   3     16         1          25         4          0.000095129013 
1741       MPIBLOCK   3     16         1          25         4          0.000096797943 
1742       MPIBLOCK   3     16         1          25         4          0.000145673752 
1743       MPIBLOCK   3     16         1          25         4          0.000101327896 
1744       MPIBLOCK   3     16         1          25         4          0.000132322311 
1745       MPIBLOCK   3     16         1          25         4          0.000123977661 
1746       MPIBLOCK   3     16         1          25         4          0.000098705292 
1747       MPIBLOCK   3     16         1          25         4          0.000099897385 
1748       MPIBLOCK   3     16         1          25         4          0.000126361847 
1749       MPIBLOCK   3     16         1          25         4          0.000098228455 
1750       MPIBLOCK   3     16         1          25         4          0.000131130219 
1751       MPIBLOCK   3     16         1          25         4          0.000123500824 
1752       MPIBLOCK   3     16         1          25         16         0.000789880753 
1753       MPIBLOCK   3     16         1          25         16         0.000235557556 
1754       MPIBLOCK   3     16         1          25         16         0.000193595886 
1755       MPIBLOCK   3     16         1          25         16         0.000203371048 
1756       MPIBLOCK   3     16         1          25         16         0.000633716583 
1757       MPIBLOCK   3     16         1          25         16         0.000147581100 
1758       MPIBLOCK   3     16         1          25         16         0.000630855560 
1759       MPIBLOCK   3     16         1          25         16         0.000162124634 
1760       MPIBLOCK   3     16         1          25         16         0.000164747238 
1761       MPIBLOCK   3     16         1          25         16         0.000157833099 
1762       MPIBLOCK   3     16         1          25         16         0.000157356262 
1763       MPIBLOCK   3     16         1          25         16         0.000167846680 
1764       MPIBLOCK   3     16         1          25         16         0.000160217285 
1765       MPIBLOCK   3     16         1          25         16         0.000154733658 
1766       MPIBLOCK   3     16         1          25         16         0.000153541565 
1767       MPIBLOCK   3     16         1          25         16         0.000145673752 
