N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          SO0        1     16         1          25         1          0.000000309804  0.000000309804  1.00       100.00    %
2          SO0        1     32         1          25         1          0.000001237821  0.000001237821  1.00       100.00    %
3          SO0        1     64         1          25         1          0.000004422758  0.000004422758  1.00       100.00    %
4          SO0        1     128        1          25         1          0.000022740476  0.000022740476  1.00       100.00    %
5          SO0        1     256        1          25         1          0.000125192106  0.000125192106  1.00       100.00    %
6          SO0        1     512        1          25         1          0.000508658495  0.000508658495  1.00       100.00    %
7          SO0        1     1024       1          25         1          0.002961450303  0.002961450303  1.00       100.00    %
8          SO0        1     2048       1          25         1          0.029715108313  0.029715108313  1.00       100.00    %
9          SO0        1     4096       1          25         1          0.138011513744  0.138011513744  1.00       100.00    %
10         OMPLOCWS   4     16         1          25         1          0.000006209873  0.000006209873  1.00       100.00    %
11         OMPGLBWS   5     16         1          25         1          0.000003913837  0.000003913837  1.00       100.00    %
12         OMPLOCBB   6     16         1          25         1          0.000003777537  0.000003777537  1.00       100.00    %
13         OMPGLBBB   7     16         1          25         1          0.000003197184  0.000003197184  1.00       100.00    %
14         OMPLOCWS   4     32         1          25         1          0.000005667144  0.000005667144  1.00       100.00    %
15         OMPGLBWS   5     32         1          25         1          0.000006801682  0.000006801682  1.00       100.00    %
16         OMPLOCBB   6     32         1          25         1          0.000005340902  0.000005340902  1.00       100.00    %
17         OMPGLBBB   7     32         1          25         1          0.000004896475  0.000004896475  1.00       100.00    %
18         OMPLOCWS   4     64         1          25         1          0.000009518163  0.000009518163  1.00       100.00    %
19         OMPGLBWS   5     64         1          25         1          0.000009735022  0.000009735022  1.00       100.00    %
20         OMPLOCBB   6     64         1          25         1          0.000010125851  0.000010125851  1.00       100.00    %
21         OMPGLBBB   7     64         1          25         1          0.000008741859  0.000008741859  1.00       100.00    %
22         OMPLOCWS   4     128        1          25         1          0.000021479139  0.000021479139  1.00       100.00    %
23         OMPGLBWS   5     128        1          25         1          0.000019794051  0.000019794051  1.00       100.00    %
24         OMPLOCBB   6     128        1          25         1          0.000018449873  0.000018449873  1.00       100.00    %
25         OMPGLBBB   7     128        1          25         1          0.000017796224  0.000017796224  1.00       100.00    %
26         OMPLOCWS   4     256        1          25         1          0.000076132640  0.000076132640  1.00       100.00    %
27         OMPGLBWS   5     256        1          25         1          0.000076463865  0.000076463865  1.00       100.00    %
28         OMPLOCBB   6     256        1          25         1          0.000074520521  0.000074520521  1.00       100.00    %
29         OMPGLBBB   7     256        1          25         1          0.000071000261  0.000071000261  1.00       100.00    %
30         OMPLOCWS   4     512        1          25         1          0.000339233037  0.000339233037  1.00       100.00    %
31         OMPGLBWS   5     512        1          25         1          0.000347638316  0.000347638316  1.00       100.00    %
32         OMPLOCBB   6     512        1          25         1          0.000255453913  0.000255453913  1.00       100.00    %
33         OMPGLBBB   7     512        1          25         1          0.000294827716  0.000294827716  1.00       100.00    %
34         OMPLOCWS   4     1024       1          25         1          0.001689012535  0.001689012535  1.00       100.00    %
35         OMPGLBWS   5     1024       1          25         1          0.001670767739  0.001670767739  1.00       100.00    %
36         OMPLOCBB   6     1024       1          25         1          0.001363911666  0.001363911666  1.00       100.00    %
37         OMPGLBBB   7     1024       1          25         1          0.001444609091  0.001444609091  1.00       100.00    %
38         OMPLOCWS   4     2048       1          25         1          0.024673000257  0.024673000257  1.00       100.00    %
39         OMPGLBWS   5     2048       1          25         1          0.024519998953  0.024519998953  1.00       100.00    %
40         OMPLOCBB   6     2048       1          25         1          0.010863906937  0.010863906937  1.00       100.00    %
41         OMPGLBBB   7     2048       1          25         1          0.010977087216  0.010977087216  1.00       100.00    %
42         OMPLOCWS   4     4096       1          25         1          0.113529186090  0.113529186090  1.00       100.00    %
43         OMPGLBWS   5     4096       1          25         1          0.113227616716  0.113227616716  1.00       100.00    %
44         OMPLOCBB   6     4096       1          25         1          0.055003789486  0.055003789486  1.00       100.00    %
45         OMPGLBBB   7     4096       1          25         1          0.054986813199  0.054986813199  1.00       100.00    %
46         I2         2     16         1          25         1          0.000000571040  0.000000309804  0.54       54.25     %
47         I2         2     32         1          25         1          0.000001107529  0.000001237821  1.12       111.76    %
48         I2         2     64         1          25         1          0.000003201421  0.000004422758  1.38       138.15    %
49         I2         2     128        1          25         1          0.000012696534  0.000022740476  1.79       179.11    %
50         I2         2     256        1          25         1          0.000052268803  0.000125192106  2.40       239.52    %
51         I2         2     512        1          25         1          0.000225614524  0.000508658495  2.25       225.45    %
52         I2         2     1024       1          25         1          0.001191338943  0.002961450303  2.49       248.58    %
53         I2         2     2048       1          25         1          0.009672795562  0.029715108313  3.07       307.20    %
54         I2         2     4096       1          25         1          0.046342659695  0.138011513744  2.98       297.81    %
55         I2FTV      2     16         1          25         1          0.000000546966  0.000000309804  0.57       56.64     %
56         I2FTV      2     32         1          25         1          0.000001145434  0.000001237821  1.08       108.07    %
57         I2FTV      2     64         1          25         1          0.000003201887  0.000004422758  1.38       138.13    %
58         I2FTV      2     128        1          25         1          0.000012937281  0.000022740476  1.76       175.77    %
59         I2FTV      2     256        1          25         1          0.000051884167  0.000125192106  2.41       241.29    %
60         I2FTV      2     512        1          25         1          0.000237780111  0.000508658495  2.14       213.92    %
61         I2FTV      2     1024       1          25         1          0.001221486880  0.002961450303  2.42       242.45    %
62         I2FTV      2     2048       1          25         1          0.009679764323  0.029715108313  3.07       306.98    %
63         I2FTV      2     4096       1          25         1          0.046401746059  0.138011513744  2.97       297.43    %
64         I2FUN      2     16         1          25         1          0.000000531878  0.000000309804  0.58       58.25     %
65         I2FUN      2     32         1          25         1          0.000001188787  0.000001237821  1.04       104.12    %
66         I2FUN      2     64         1          25         1          0.000003569853  0.000004422758  1.24       123.89    %
67         I2FUN      2     128        1          25         1          0.000012064120  0.000022740476  1.88       188.50    %
68         I2FUN      2     256        1          25         1          0.000044911541  0.000125192106  2.79       278.75    %
69         I2FUN      2     512        1          25         1          0.000202382822  0.000508658495  2.51       251.33    %
70         I2FUN      2     1024       1          25         1          0.001178364921  0.002961450303  2.51       251.32    %
71         I2FUN      2     2048       1          25         1          0.009494535765  0.029715108313  3.13       312.97    %
72         I2FUN      2     4096       1          25         1          0.045438682940  0.138011513744  3.04       303.73    %
73         I2FTVFUN   2     16         1          25         1          0.000000424869  0.000000309804  0.73       72.92     %
74         I2FTVFUN   2     32         1          25         1          0.000000945898  0.000001237821  1.31       130.86    %
75         I2FTVFUN   2     64         1          25         1          0.000002660230  0.000004422758  1.66       166.25    %
76         I2FTVFUN   2     128        1          25         1          0.000010728743  0.000022740476  2.12       211.96    %
77         I2FTVFUN   2     256        1          25         1          0.000041025085  0.000125192106  3.05       305.16    %
78         I2FTVFUN   2     512        1          25         1          0.000184712326  0.000508658495  2.75       275.38    %
79         I2FTVFUN   2     1024       1          25         1          0.000778716663  0.002961450303  3.80       380.30    %
80         I2FTVFUN   2     2048       1          25         1          0.007361348439  0.029715108313  4.04       403.66    %
81         I2FTVFUN   2     4096       1          25         1          0.045043290220  0.138011513744  3.06       306.40    %
82         I2         3     16         1          25         1          0.000000847410  0.000000309804  0.37       36.56     %
83         I2         3     32         1          25         1          0.000001428649  0.000001237821  0.87       86.64     %
84         I2         3     64         1          25         1          0.000003839284  0.000004422758  1.15       115.20    %
85         I2         3     128        1          25         1          0.000014161505  0.000022740476  1.61       160.58    %
86         I2         3     256        1          25         1          0.000053604413  0.000125192106  2.34       233.55    %
87         I2         3     512        1          25         1          0.000231075007  0.000508658495  2.20       220.13    %
88         I2         3     1024       1          25         1          0.001136552263  0.002961450303  2.61       260.56    %
89         I2         3     2048       1          25         1          0.009735832317  0.029715108313  3.05       305.21    %
90         I2         3     4096       1          25         1          0.048491971334  0.138011513744  2.85       284.61    %
91         I2FTV      3     16         1          25         1          0.000000795303  0.000000309804  0.39       38.95     %
92         I2FTV      3     32         1          25         1          0.000001217658  0.000001237821  1.02       101.66    %
93         I2FTV      3     64         1          25         1          0.000003377954  0.000004422758  1.31       130.93    %
94         I2FTV      3     128        1          25         1          0.000012409687  0.000022740476  1.83       183.25    %
95         I2FTV      3     256        1          25         1          0.000054222252  0.000125192106  2.31       230.89    %
96         I2FTV      3     512        1          25         1          0.000226276973  0.000508658495  2.25       224.79    %
97         I2FTV      3     1024       1          25         1          0.001206874521  0.002961450303  2.45       245.38    %
98         I2FTV      3     2048       1          25         1          0.009754693694  0.029715108313  3.05       304.62    %
99         I2FTV      3     4096       1          25         1          0.048052823218  0.138011513744  2.87       287.21    %
100        I2FUN      3     16         1          25         1          0.000000790227  0.000000309804  0.39       39.20     %
101        I2FUN      3     32         1          25         1          0.000001122011  0.000001237821  1.10       110.32    %
102        I2FUN      3     64         1          25         1          0.000003037276  0.000004422758  1.46       145.62    %
103        I2FUN      3     128        1          25         1          0.000011444138  0.000022740476  1.99       198.71    %
104        I2FUN      3     256        1          25         1          0.000048180530  0.000125192106  2.60       259.84    %
105        I2FUN      3     512        1          25         1          0.000227107853  0.000508658495  2.24       223.97    %
106        I2FUN      3     1024       1          25         1          0.001105013397  0.002961450303  2.68       268.00    %
107        I2FUN      3     2048       1          25         1          0.009674273944  0.029715108313  3.07       307.16    %
108        I2FUN      3     4096       1          25         1          0.047148776520  0.138011513744  2.93       292.71    %
109        I2FTVFUN   3     16         1          25         1          0.000000607036  0.000000309804  0.51       51.04     %
