N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
119        OMPGLBWS   5     16         1          25         2          0.000013219705  0.000003913837  0.30       14.80     %
120        OMPGLBWS   5     16         1          25         4          0.000021247612  0.000003913837  0.18       4.61      %
121        OMPGLBWS   5     16         1          25         8          0.000026902743  0.000003913837  0.15       1.82      %
122        OMPGLBWS   5     16         1          25         16         0.000041323621  0.000003913837  0.09       0.59      %
123        OMPGLBWS   5     16         1          25         32         0.000076554948  0.000003913837  0.05       0.16      %
124        OMPGLBWS   5     16         1          25         64         0.000556051778  0.000003913837  0.01       0.01      %
125        OMPGLBWS   5     32         1          25         2          0.000013065990  0.000006801682  0.52       26.03     %
126        OMPGLBWS   5     32         1          25         4          0.000024391618  0.000006801682  0.28       6.97      %
127        OMPGLBWS   5     32         1          25         8          0.000028654840  0.000006801682  0.24       2.97      %
128        OMPGLBWS   5     32         1          25         16         0.000040847389  0.000006801682  0.17       1.04      %
129        OMPGLBWS   5     32         1          25         32         0.000081030000  0.000006801682  0.08       0.26      %
130        OMPGLBWS   5     32         1          25         64         0.000571215851  0.000006801682  0.01       0.02      %
131        OMPGLBWS   5     64         1          25         2          0.000017536804  0.000009735022  0.56       27.76     %
132        OMPGLBWS   5     64         1          25         4          0.000028362591  0.000009735022  0.34       8.58      %
133        OMPGLBWS   5     64         1          25         8          0.000029686699  0.000009735022  0.33       4.10      %
134        OMPGLBWS   5     64         1          25         16         0.000040578749  0.000009735022  0.24       1.50      %
135        OMPGLBWS   5     64         1          25         32         0.000080286153  0.000009735022  0.12       0.38      %
136        OMPGLBWS   5     64         1          25         64         0.000569558097  0.000009735022  0.02       0.03      %
137        OMPGLBWS   5     128        1          25         2          0.000029580761  0.000019794051  0.67       33.46     %
138        OMPGLBWS   5     128        1          25         4          0.000037569646  0.000019794051  0.53       13.17     %
139        OMPGLBWS   5     128        1          25         8          0.000035903323  0.000019794051  0.55       6.89      %
140        OMPGLBWS   5     128        1          25         16         0.000043478142  0.000019794051  0.46       2.85      %
141        OMPGLBWS   5     128        1          25         32         0.000078001712  0.000019794051  0.25       0.79      %
142        OMPGLBWS   5     128        1          25         64         0.000571343768  0.000019794051  0.03       0.05      %
143        OMPGLBWS   5     256        1          25         2          0.000080022262  0.000076463865  0.96       47.78     %
144        OMPGLBWS   5     256        1          25         4          0.000056941062  0.000076463865  1.34       33.57     %
145        OMPGLBWS   5     256        1          25         8          0.000068738591  0.000076463865  1.11       13.90     %
146        OMPGLBWS   5     256        1          25         16         0.000066494569  0.000076463865  1.15       7.19      %
147        OMPGLBWS   5     256        1          25         32         0.000087682717  0.000076463865  0.87       2.73      %
148        OMPGLBWS   5     256        1          25         64         0.000555658806  0.000076463865  0.14       0.22      %
149        OMPGLBWS   5     512        1          25         2          0.000295537803  0.000347638316  1.18       58.81     %
150        OMPGLBWS   5     512        1          25         4          0.000184585340  0.000347638316  1.88       47.08     %
151        OMPGLBWS   5     512        1          25         8          0.000131419208  0.000347638316  2.65       33.07     %
152        OMPGLBWS   5     512        1          25         16         0.000131941540  0.000347638316  2.63       16.47     %
153        OMPGLBWS   5     512        1          25         32         0.000140689500  0.000347638316  2.47       7.72      %
154        OMPGLBWS   5     512        1          25         64         0.000580630358  0.000347638316  0.60       0.94      %
155        OMPGLBWS   5     1024       1          25         2          0.001174204610  0.001670767739  1.42       71.14     %
156        OMPGLBWS   5     1024       1          25         4          0.000627625827  0.001670767739  2.66       66.55     %
157        OMPGLBWS   5     1024       1          25         8          0.000352385361  0.001670767739  4.74       59.27     %
158        OMPGLBWS   5     1024       1          25         16         0.000254176650  0.001670767739  6.57       41.08     %
159        OMPGLBWS   5     1024       1          25         32         0.000275432598  0.001670767739  6.07       18.96     %
160        OMPGLBWS   5     1024       1          25         64         0.000692443876  0.001670767739  2.41       3.77      %
161        OMPGLBWS   5     2048       1          25         2          0.012932777777  0.024519998953  1.90       94.80     %
162        OMPGLBWS   5     2048       1          25         4          0.006581255049  0.024519998953  3.73       93.14     %
163        OMPGLBWS   5     2048       1          25         8          0.004107223265  0.024519998953  5.97       74.62     %
164        OMPGLBWS   5     2048       1          25         16         0.001959485421  0.024519998953  12.51      78.21     %
165        OMPGLBWS   5     2048       1          25         32         0.001330333296  0.024519998953  18.43      57.60     %
166        OMPGLBWS   5     2048       1          25         64         0.001716637658  0.024519998953  14.28      22.32     %
167        OMPGLBWS   5     4096       1          25         2          0.068427041452  0.113227616716  1.65       82.74     %
168        OMPGLBWS   5     4096       1          25         4          0.035822545877  0.113227616716  3.16       79.02     %
169        OMPGLBWS   5     4096       1          25         8          0.019149507722  0.113227616716  5.91       73.91     %
170        OMPGLBWS   5     4096       1          25         16         0.008976892661  0.113227616716  12.61      78.83     %
171        OMPGLBWS   5     4096       1          25         32         0.006099871406  0.113227616716  18.56      58.01     %
172        OMPGLBWS   5     4096       1          25         64         0.005695508933  0.113227616716  19.88      31.06     %
