N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          25         1          0.000000309804  0.000000309804  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000001237821  0.000001237821  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000004422758  0.000004422758  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000022740476  0.000022740476  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000125192106  0.000125192106  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000508658495  0.000508658495  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.002961450303  0.002961450303  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.029715108313  0.029715108313  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.138011513744  0.138011513744  1.00       100.00    %
11         OMPLOCWS   4     16         1          25         1          0.000006209873  0.000006209873  1.00       100.00    %
12         OMPGLBWS   5     16         1          25         1          0.000003913837  0.000003913837  1.00       100.00    %
13         OMPLOCBB   6     16         1          25         1          0.000003777537  0.000003777537  1.00       100.00    %
14         OMPGLBBB   7     16         1          25         1          0.000003197184  0.000003197184  1.00       100.00    %
15         OMPLOCWS   4     32         1          25         1          0.000005667144  0.000005667144  1.00       100.00    %
16         OMPGLBWS   5     32         1          25         1          0.000006801682  0.000006801682  1.00       100.00    %
17         OMPLOCBB   6     32         1          25         1          0.000005340902  0.000005340902  1.00       100.00    %
18         OMPGLBBB   7     32         1          25         1          0.000004896475  0.000004896475  1.00       100.00    %
19         OMPLOCWS   4     64         1          25         1          0.000009518163  0.000009518163  1.00       100.00    %
20         OMPGLBWS   5     64         1          25         1          0.000009735022  0.000009735022  1.00       100.00    %
21         OMPLOCBB   6     64         1          25         1          0.000010125851  0.000010125851  1.00       100.00    %
22         OMPGLBBB   7     64         1          25         1          0.000008741859  0.000008741859  1.00       100.00    %
23         OMPLOCWS   4     128        1          25         1          0.000021479139  0.000021479139  1.00       100.00    %
24         OMPGLBWS   5     128        1          25         1          0.000019794051  0.000019794051  1.00       100.00    %
25         OMPLOCBB   6     128        1          25         1          0.000018449873  0.000018449873  1.00       100.00    %
26         OMPGLBBB   7     128        1          25         1          0.000017796224  0.000017796224  1.00       100.00    %
27         OMPLOCWS   4     256        1          25         1          0.000076132640  0.000076132640  1.00       100.00    %
28         OMPGLBWS   5     256        1          25         1          0.000076463865  0.000076463865  1.00       100.00    %
29         OMPLOCBB   6     256        1          25         1          0.000074520521  0.000074520521  1.00       100.00    %
30         OMPGLBBB   7     256        1          25         1          0.000071000261  0.000071000261  1.00       100.00    %
31         OMPLOCWS   4     512        1          25         1          0.000339233037  0.000339233037  1.00       100.00    %
32         OMPGLBWS   5     512        1          25         1          0.000347638316  0.000347638316  1.00       100.00    %
33         OMPLOCBB   6     512        1          25         1          0.000255453913  0.000255453913  1.00       100.00    %
34         OMPGLBBB   7     512        1          25         1          0.000294827716  0.000294827716  1.00       100.00    %
35         OMPLOCWS   4     1024       1          25         1          0.001689012535  0.001689012535  1.00       100.00    %
36         OMPGLBWS   5     1024       1          25         1          0.001670767739  0.001670767739  1.00       100.00    %
37         OMPLOCBB   6     1024       1          25         1          0.001363911666  0.001363911666  1.00       100.00    %
38         OMPGLBBB   7     1024       1          25         1          0.001444609091  0.001444609091  1.00       100.00    %
39         OMPLOCWS   4     2048       1          25         1          0.024673000257  0.024673000257  1.00       100.00    %
40         OMPGLBWS   5     2048       1          25         1          0.024519998953  0.024519998953  1.00       100.00    %
41         OMPLOCBB   6     2048       1          25         1          0.010863906937  0.010863906937  1.00       100.00    %
42         OMPGLBBB   7     2048       1          25         1          0.010977087216  0.010977087216  1.00       100.00    %
43         OMPLOCWS   4     4096       1          25         1          0.113529186090  0.113529186090  1.00       100.00    %
44         OMPGLBWS   5     4096       1          25         1          0.113227616716  0.113227616716  1.00       100.00    %
45         OMPLOCBB   6     4096       1          25         1          0.055003789486  0.055003789486  1.00       100.00    %
46         OMPGLBBB   7     4096       1          25         1          0.054986813199  0.054986813199  1.00       100.00    %
