N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2027       I2         3     16         1          25         1          0.000000972766 
2028       I2         3     16         1          25         1          0.000001295935 
2029       I2         3     16         1          25         1          0.000001036096 
2030       I2         3     16         1          25         1          0.000001375098 
2031       I2         3     16         1          25         1          0.000001056120 
2032       I2         3     16         1          25         1          0.000001104083 
2033       I2         3     16         1          25         1          0.000001319218 
2034       I2         3     16         1          25         1          0.000000952277 
2035       I2         3     16         1          25         1          0.000001104083 
2036       I2         3     16         1          25         1          0.000001043081 
2037       I2         3     16         1          25         1          0.000001691282 
2038       I2         3     16         1          25         1          0.000001082197 
2039       I2         3     16         1          25         1          0.000001667067 
2040       I2         3     16         1          25         1          0.000001138076 
2041       I2         3     16         1          25         1          0.000000578351 
2042       I2         3     16         1          25         1          0.000000595115 
2043       I2         3     16         1          25         1          0.000000446104 
2044       I2         3     16         1          25         1          0.000000488944 
2045       I2         3     16         1          25         1          0.000000474043 
2046       I2         3     16         1          25         1          0.000000479165 
2047       I2         3     16         1          25         1          0.000000498258 
2048       I2         3     16         1          25         1          0.000000478234 
2049       I2         3     16         1          25         1          0.000000454951 
2050       I2         3     16         1          25         1          0.000000659842 
2051       I2         3     16         1          25         1          0.000000473112 
2052       I2         3     32         1          25         1          0.000001078937 
2053       I2         3     32         1          25         1          0.000001059845 
2054       I2         3     32         1          25         1          0.000001073349 
2055       I2         3     32         1          25         1          0.000001531094 
2056       I2         3     32         1          25         1          0.000001859851 
2057       I2         3     32         1          25         1          0.000001964159 
2058       I2         3     32         1          25         1          0.000001631211 
2059       I2         3     32         1          25         1          0.000001959037 
2060       I2         3     32         1          25         1          0.000001778360 
2061       I2         3     32         1          25         1          0.000001877081 
2062       I2         3     32         1          25         1          0.000002068002 
2063       I2         3     32         1          25         1          0.000001932960 
2064       I2         3     32         1          25         1          0.000002487097 
2065       I2         3     32         1          25         1          0.000002108980 
2066       I2         3     32         1          25         1          0.000001339242 
2067       I2         3     32         1          25         1          0.000001078937 
2068       I2         3     32         1          25         1          0.000001049601 
2069       I2         3     32         1          25         1          0.000001078006 
2070       I2         3     32         1          25         1          0.000001118984 
2071       I2         3     32         1          25         1          0.000001112930 
2072       I2         3     32         1          25         1          0.000001142733 
2073       I2         3     32         1          25         1          0.000001160894 
2074       I2         3     32         1          25         1          0.000001111999 
2075       I2         3     32         1          25         1          0.000001763925 
2076       I2         3     32         1          25         1          0.000001707114 
2077       I2         3     64         1          25         1          0.000003769062 
2078       I2         3     64         1          25         1          0.000004052185 
2079       I2         3     64         1          25         1          0.000004697125 
2080       I2         3     64         1          25         1          0.000004720874 
2081       I2         3     64         1          25         1          0.000004102942 
2082       I2         3     64         1          25         1          0.000003819820 
2083       I2         3     64         1          25         1          0.000003426336 
2084       I2         3     64         1          25         1          0.000003176741 
2085       I2         3     64         1          25         1          0.000003140885 
2086       I2         3     64         1          25         1          0.000003218185 
2087       I2         3     64         1          25         1          0.000003441237 
2088       I2         3     64         1          25         1          0.000003205147 
2089       I2         3     64         1          25         1          0.000003152993 
2090       I2         3     64         1          25         1          0.000003784895 
2091       I2         3     64         1          25         1          0.000004572328 
2092       I2         3     64         1          25         1          0.000005382113 
2093       I2         3     64         1          25         1          0.000004316214 
2094       I2         3     64         1          25         1          0.000004717149 
2095       I2         3     64         1          25         1          0.000004141126 
2096       I2         3     64         1          25         1          0.000003937166 
2097       I2         3     64         1          25         1          0.000004922040 
2098       I2         3     64         1          25         1          0.000004288740 
2099       I2         3     64         1          25         1          0.000003918074 
2100       I2         3     64         1          25         1          0.000003216788 
2101       I2         3     64         1          25         1          0.000003398862 
2102       I2         3     128        1          25         1          0.000011672731 
2103       I2         3     128        1          25         1          0.000013893005 
2104       I2         3     128        1          25         1          0.000012286007 
2105       I2         3     128        1          25         1          0.000011816155 
2106       I2         3     128        1          25         1          0.000011716969 
2107       I2         3     128        1          25         1          0.000014900230 
2108       I2         3     128        1          25         1          0.000025521964 
2109       I2         3     128        1          25         1          0.000015975442 
2110       I2         3     128        1          25         1          0.000015601050 
2111       I2         3     128        1          25         1          0.000015353318 
2112       I2         3     128        1          25         1          0.000016167760 
2113       I2         3     128        1          25         1          0.000014177058 
2114       I2         3     128        1          25         1          0.000015409663 
2115       I2         3     128        1          25         1          0.000015113968 
2116       I2         3     128        1          25         1          0.000016679056 
2117       I2         3     128        1          25         1          0.000014528632 
2118       I2         3     128        1          25         1          0.000016205944 
2119       I2         3     128        1          25         1          0.000015964732 
2120       I2         3     128        1          25         1          0.000014729332 
2121       I2         3     128        1          25         1          0.000014671125 
2122       I2         3     128        1          25         1          0.000011752825 
2123       I2         3     128        1          25         1          0.000011962373 
2124       I2         3     128        1          25         1          0.000011721160 
2125       I2         3     128        1          25         1          0.000011707656 
2126       I2         3     128        1          25         1          0.000011770986 
2127       I2         3     256        1          25         1          0.000046839006 
2128       I2         3     256        1          25         1          0.000047598034 
2129       I2         3     256        1          25         1          0.000045850873 
2130       I2         3     256        1          25         1          0.000045390800 
2131       I2         3     256        1          25         1          0.000052628107 
2132       I2         3     256        1          25         1          0.000045458786 
2133       I2         3     256        1          25         1          0.000051572919 
2134       I2         3     256        1          25         1          0.000055524055 
2135       I2         3     256        1          25         1          0.000063006766 
2136       I2         3     256        1          25         1          0.000061515719 
2137       I2         3     256        1          25         1          0.000064504799 
2138       I2         3     256        1          25         1          0.000072154216 
