N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1127       I2         2     16         1          25         1          0.000000650994 
1128       I2         2     16         1          25         1          0.000000403728 
1129       I2         2     16         1          25         1          0.000000427943 
1130       I2         2     16         1          25         1          0.000000454951 
1131       I2         2     16         1          25         1          0.000000413042 
1132       I2         2     16         1          25         1          0.000000437256 
1133       I2         2     16         1          25         1          0.000000494067 
1134       I2         2     16         1          25         1          0.000000407919 
1135       I2         2     16         1          25         1          0.000000388827 
1136       I2         2     16         1          25         1          0.000000433996 
1137       I2         2     16         1          25         1          0.000000435859 
1138       I2         2     16         1          25         1          0.000000433065 
1139       I2         2     16         1          25         1          0.000000385568 
1140       I2         2     16         1          25         1          0.000000389293 
1141       I2         2     16         1          25         1          0.000001076143 
1142       I2         2     16         1          25         1          0.000000871718 
1143       I2         2     16         1          25         1          0.000001041219 
1144       I2         2     16         1          25         1          0.000000924803 
1145       I2         2     16         1          25         1          0.000000958331 
1146       I2         2     16         1          25         1          0.000000721775 
1147       I2         2     16         1          25         1          0.000000958797 
1148       I2         2     16         1          25         1          0.000000803731 
1149       I2         2     16         1          25         1          0.000000902917 
1150       I2         2     16         1          25         1          0.000000931788 
1151       I2         2     16         1          25         1          0.000000844710 
1152       I2         2     32         1          25         1          0.000001810957 
1153       I2         2     32         1          25         1          0.000001525041 
1154       I2         2     32         1          25         1          0.000001073349 
1155       I2         2     32         1          25         1          0.000001077075 
1156       I2         2     32         1          25         1          0.000001064036 
1157       I2         2     32         1          25         1          0.000001086853 
1158       I2         2     32         1          25         1          0.000001040287 
1159       I2         2     32         1          25         1          0.000001037028 
1160       I2         2     32         1          25         1          0.000001049135 
1161       I2         2     32         1          25         1          0.000001069158 
1162       I2         2     32         1          25         1          0.000001043081 
1163       I2         2     32         1          25         1          0.000001187436 
1164       I2         2     32         1          25         1          0.000001074746 
1165       I2         2     32         1          25         1          0.000001063105 
1166       I2         2     32         1          25         1          0.000001075212 
1167       I2         2     32         1          25         1          0.000001093373 
1168       I2         2     32         1          25         1          0.000001105014 
1169       I2         2     32         1          25         1          0.000001049135 
1170       I2         2     32         1          25         1          0.000001281034 
1171       I2         2     32         1          25         1          0.000001353212 
1172       I2         2     32         1          25         1          0.000001233071 
1173       I2         2     32         1          25         1          0.000001740176 
1174       I2         2     32         1          25         1          0.000001647975 
1175       I2         2     32         1          25         1          0.000001750886 
1176       I2         2     32         1          25         1          0.000001327135 
1177       I2         2     64         1          25         1          0.000003539957 
1178       I2         2     64         1          25         1          0.000003745314 
1179       I2         2     64         1          25         1          0.000003920868 
1180       I2         2     64         1          25         1          0.000003914349 
1181       I2         2     64         1          25         1          0.000003864057 
1182       I2         2     64         1          25         1          0.000004016794 
1183       I2         2     64         1          25         1          0.000003295019 
1184       I2         2     64         1          25         1          0.000003174879 
1185       I2         2     64         1          25         1          0.000003132969 
1186       I2         2     64         1          25         1          0.000003139954 
1187       I2         2     64         1          25         1          0.000003191177 
1188       I2         2     64         1          25         1          0.000003185123 
1189       I2         2     64         1          25         1          0.000003133900 
1190       I2         2     64         1          25         1          0.000003132038 
1191       I2         2     64         1          25         1          0.000003120862 
1192       I2         2     64         1          25         1          0.000003420748 
1193       I2         2     64         1          25         1          0.000003156252 
1194       I2         2     64         1          25         1          0.000003143679 
1195       I2         2     64         1          25         1          0.000003159046 
1196       I2         2     64         1          25         1          0.000003184192 
1197       I2         2     64         1          25         1          0.000003167894 
1198       I2         2     64         1          25         1          0.000003149733 
1199       I2         2     64         1          25         1          0.000003188848 
1200       I2         2     64         1          25         1          0.000003443100 
1201       I2         2     64         1          25         1          0.000003311783 
1202       I2         2     128        1          25         1          0.000012403354 
1203       I2         2     128        1          25         1          0.000015242025 
1204       I2         2     128        1          25         1          0.000014801975 
1205       I2         2     128        1          25         1          0.000016006641 
1206       I2         2     128        1          25         1          0.000014204066 
1207       I2         2     128        1          25         1          0.000014571939 
1208       I2         2     128        1          25         1          0.000015390106 
1209       I2         2     128        1          25         1          0.000015429687 
1210       I2         2     128        1          25         1          0.000014215242 
1211       I2         2     128        1          25         1          0.000015427824 
1212       I2         2     128        1          25         1          0.000014814083 
1213       I2         2     128        1          25         1          0.000012559816 
1214       I2         2     128        1          25         1          0.000012382865 
1215       I2         2     128        1          25         1          0.000011833850 
1216       I2         2     128        1          25         1          0.000011740718 
1217       I2         2     128        1          25         1          0.000011784956 
1218       I2         2     128        1          25         1          0.000011764932 
1219       I2         2     128        1          25         1          0.000011778902 
1220       I2         2     128        1          25         1          0.000011757016 
1221       I2         2     128        1          25         1          0.000013052020 
1222       I2         2     128        1          25         1          0.000012382399 
1223       I2         2     128        1          25         1          0.000011777971 
1224       I2         2     128        1          25         1          0.000012146775 
1225       I2         2     128        1          25         1          0.000011768192 
1226       I2         2     128        1          25         1          0.000011763070 
1227       I2         2     256        1          25         1          0.000117509160 
1228       I2         2     256        1          25         1          0.000059289858 
1229       I2         2     256        1          25         1          0.000069845933 
1230       I2         2     256        1          25         1          0.000060162041 
1231       I2         2     256        1          25         1          0.000061517116 
1232       I2         2     256        1          25         1          0.000059463084 
1233       I2         2     256        1          25         1          0.000071602874 
1234       I2         2     256        1          25         1          0.000061749015 
1235       I2         2     256        1          25         1          0.000061422121 
1236       I2         2     256        1          25         1          0.000057409052 
1237       I2         2     256        1          25         1          0.000058166217 
1238       I2         2     256        1          25         1          0.000049932860 
1239       I2         2     256        1          25         1          0.000048111659 
1240       I2         2     256        1          25         1          0.000046018045 
1241       I2         2     256        1          25         1          0.000045633875 
1242       I2         2     256        1          25         1          0.000045770314 
1243       I2         2     256        1          25         1          0.000045761932 
1244       I2         2     256        1          25         1          0.000045747031 
1245       I2         2     256        1          25         1          0.000049306080 
1246       I2         2     256        1          25         1          0.000047083013 
1247       I2         2     256        1          25         1          0.000054826960 
1248       I2         2     256        1          25         1          0.000046382193 
1249       I2         2     256        1          25         1          0.000045629684 
1250       I2         2     256        1          25         1          0.000045936089 
1251       I2         2     256        1          25         1          0.000052180141 
1252       I2         2     512        1          25         1          0.000247024000 
1253       I2         2     512        1          25         1          0.000305077992 
1254       I2         2     512        1          25         1          0.000289272983 
1255       I2         2     512        1          25         1          0.000282706227 
1256       I2         2     512        1          25         1          0.000275810715 
1257       I2         2     512        1          25         1          0.000240195077 
1258       I2         2     512        1          25         1          0.000279788859 
1259       I2         2     512        1          25         1          0.000203928910 
1260       I2         2     512        1          25         1          0.000210082158 
1261       I2         2     512        1          25         1          0.000200836919 
1262       I2         2     512        1          25         1          0.000200015027 
1263       I2         2     512        1          25         1          0.000199818984 
1264       I2         2     512        1          25         1          0.000268618111 
1265       I2         2     512        1          25         1          0.000201145187 
1266       I2         2     512        1          25         1          0.000200052746 
1267       I2         2     512        1          25         1          0.000269588083 
1268       I2         2     512        1          25         1          0.000302882865 
1269       I2         2     512        1          25         1          0.000277230050 
1270       I2         2     512        1          25         1          0.000281041022 
1271       I2         2     512        1          25         1          0.000205649994 
1272       I2         2     512        1          25         1          0.000199611764 
1273       I2         2     512        1          25         1          0.000201196875 
1274       I2         2     512        1          25         1          0.000200357754 
1275       I2         2     512        1          25         1          0.000208716840 
1276       I2         2     512        1          25         1          0.000200510956 
1277       I2         2     1024       1          25         1          0.000956991222 
1278       I2         2     1024       1          25         1          0.001404918265 
1279       I2         2     1024       1          25         1          0.001547686756 
1280       I2         2     1024       1          25         1          0.001423738897 
1281       I2         2     1024       1          25         1          0.001568230335 
1282       I2         2     1024       1          25         1          0.001232305076 
1283       I2         2     1024       1          25         1          0.000897157006 
1284       I2         2     1024       1          25         1          0.000877266284 
1285       I2         2     1024       1          25         1          0.000911875628 
1286       I2         2     1024       1          25         1          0.000878131948 
1287       I2         2     1024       1          25         1          0.001494111959 
1288       I2         2     1024       1          25         1          0.001532034017 
1289       I2         2     1024       1          25         1          0.001462999266 
1290       I2         2     1024       1          25         1          0.001530169044 
1291       I2         2     1024       1          25         1          0.000958471559 
1292       I2         2     1024       1          25         1          0.000877589919 
1293       I2         2     1024       1          25         1          0.001201190986 
1294       I2         2     1024       1          25         1          0.000900265761 
1295       I2         2     1024       1          25         1          0.000939181075 
1296       I2         2     1024       1          25         1          0.001460934989 
1297       I2         2     1024       1          25         1          0.001531907357 
1298       I2         2     1024       1          25         1          0.001554956660 
