N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
83         I2         3     16         1          25         1          0.000000847410  0.000000309804  0.37       36.56     %
84         I2         3     32         1          25         1          0.000001428649  0.000001237821  0.87       86.64     %
85         I2         3     64         1          25         1          0.000003839284  0.000004422758  1.15       115.20    %
86         I2         3     128        1          25         1          0.000014161505  0.000022740476  1.61       160.58    %
87         I2         3     256        1          25         1          0.000053604413  0.000125192106  2.34       233.55    %
88         I2         3     512        1          25         1          0.000231075007  0.000508658495  2.20       220.13    %
89         I2         3     1024       1          25         1          0.001136552263  0.002961450303  2.61       260.56    %
90         I2         3     2048       1          25         1          0.009735832317  0.029715108313  3.05       305.21    %
91         I2         3     4096       1          25         1          0.048491971334  0.138011513744  2.85       284.61    %
92         I2FTV      3     16         1          25         1          0.000000795303  0.000000309804  0.39       38.95     %
93         I2FTV      3     32         1          25         1          0.000001217658  0.000001237821  1.02       101.66    %
94         I2FTV      3     64         1          25         1          0.000003377954  0.000004422758  1.31       130.93    %
95         I2FTV      3     128        1          25         1          0.000012409687  0.000022740476  1.83       183.25    %
96         I2FTV      3     256        1          25         1          0.000054222252  0.000125192106  2.31       230.89    %
97         I2FTV      3     512        1          25         1          0.000226276973  0.000508658495  2.25       224.79    %
98         I2FTV      3     1024       1          25         1          0.001206874521  0.002961450303  2.45       245.38    %
99         I2FTV      3     2048       1          25         1          0.009754693694  0.029715108313  3.05       304.62    %
100        I2FTV      3     4096       1          25         1          0.048052823218  0.138011513744  2.87       287.21    %
101        I2FUN      3     16         1          25         1          0.000000790227  0.000000309804  0.39       39.20     %
102        I2FUN      3     32         1          25         1          0.000001122011  0.000001237821  1.10       110.32    %
103        I2FUN      3     64         1          25         1          0.000003037276  0.000004422758  1.46       145.62    %
104        I2FUN      3     128        1          25         1          0.000011444138  0.000022740476  1.99       198.71    %
105        I2FUN      3     256        1          25         1          0.000048180530  0.000125192106  2.60       259.84    %
106        I2FUN      3     512        1          25         1          0.000227107853  0.000508658495  2.24       223.97    %
107        I2FUN      3     1024       1          25         1          0.001105013397  0.002961450303  2.68       268.00    %
108        I2FUN      3     2048       1          25         1          0.009674273944  0.029715108313  3.07       307.16    %
109        I2FUN      3     4096       1          25         1          0.047148776520  0.138011513744  2.93       292.71    %
110        I2FTVFUN   3     16         1          25         1          0.000000607036  0.000000309804  0.51       51.04     %
111        I2FTVFUN   3     32         1          25         1          0.000001467671  0.000001237821  0.84       84.34     %
112        I2FTVFUN   3     64         1          25         1          0.000003064098  0.000004422758  1.44       144.34    %
113        I2FTVFUN   3     128        1          25         1          0.000012857234  0.000022740476  1.77       176.87    %
114        I2FTVFUN   3     256        1          25         1          0.000044442154  0.000125192106  2.82       281.70    %
115        I2FTVFUN   3     512        1          25         1          0.000220708828  0.000508658495  2.30       230.47    %
116        I2FTVFUN   3     1024       1          25         1          0.001143280603  0.002961450303  2.59       259.03    %
117        I2FTVFUN   3     2048       1          25         1          0.009763068194  0.029715108313  3.04       304.36    %
118        I2FTVFUN   3     4096       1          25         1          0.047524676519  0.138011513744  2.90       290.40    %
