N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
47         I2         2     16         1          25         1          0.000000571040  0.000000309804  0.54       54.25     %
48         I2         2     32         1          25         1          0.000001107529  0.000001237821  1.12       111.76    %
49         I2         2     64         1          25         1          0.000003201421  0.000004422758  1.38       138.15    %
50         I2         2     128        1          25         1          0.000012696534  0.000022740476  1.79       179.11    %
51         I2         2     256        1          25         1          0.000052268803  0.000125192106  2.40       239.52    %
52         I2         2     512        1          25         1          0.000225614524  0.000508658495  2.25       225.45    %
53         I2         2     1024       1          25         1          0.001191338943  0.002961450303  2.49       248.58    %
54         I2         2     2048       1          25         1          0.009672795562  0.029715108313  3.07       307.20    %
55         I2         2     4096       1          25         1          0.046342659695  0.138011513744  2.98       297.81    %
56         I2FTV      2     16         1          25         1          0.000000546966  0.000000309804  0.57       56.64     %
57         I2FTV      2     32         1          25         1          0.000001145434  0.000001237821  1.08       108.07    %
58         I2FTV      2     64         1          25         1          0.000003201887  0.000004422758  1.38       138.13    %
59         I2FTV      2     128        1          25         1          0.000012937281  0.000022740476  1.76       175.77    %
60         I2FTV      2     256        1          25         1          0.000051884167  0.000125192106  2.41       241.29    %
61         I2FTV      2     512        1          25         1          0.000237780111  0.000508658495  2.14       213.92    %
62         I2FTV      2     1024       1          25         1          0.001221486880  0.002961450303  2.42       242.45    %
63         I2FTV      2     2048       1          25         1          0.009679764323  0.029715108313  3.07       306.98    %
64         I2FTV      2     4096       1          25         1          0.046401746059  0.138011513744  2.97       297.43    %
65         I2FUN      2     16         1          25         1          0.000000531878  0.000000309804  0.58       58.25     %
66         I2FUN      2     32         1          25         1          0.000001188787  0.000001237821  1.04       104.12    %
67         I2FUN      2     64         1          25         1          0.000003569853  0.000004422758  1.24       123.89    %
68         I2FUN      2     128        1          25         1          0.000012064120  0.000022740476  1.88       188.50    %
69         I2FUN      2     256        1          25         1          0.000044911541  0.000125192106  2.79       278.75    %
70         I2FUN      2     512        1          25         1          0.000202382822  0.000508658495  2.51       251.33    %
71         I2FUN      2     1024       1          25         1          0.001178364921  0.002961450303  2.51       251.32    %
72         I2FUN      2     2048       1          25         1          0.009494535765  0.029715108313  3.13       312.97    %
73         I2FUN      2     4096       1          25         1          0.045438682940  0.138011513744  3.04       303.73    %
74         I2FTVFUN   2     16         1          25         1          0.000000424869  0.000000309804  0.73       72.92     %
75         I2FTVFUN   2     32         1          25         1          0.000000945898  0.000001237821  1.31       130.86    %
76         I2FTVFUN   2     64         1          25         1          0.000002660230  0.000004422758  1.66       166.25    %
77         I2FTVFUN   2     128        1          25         1          0.000010728743  0.000022740476  2.12       211.96    %
78         I2FTVFUN   2     256        1          25         1          0.000041025085  0.000125192106  3.05       305.16    %
79         I2FTVFUN   2     512        1          25         1          0.000184712326  0.000508658495  2.75       275.38    %
80         I2FTVFUN   2     1024       1          25         1          0.000778716663  0.002961450303  3.80       380.30    %
81         I2FTVFUN   2     2048       1          25         1          0.007361348439  0.029715108313  4.04       403.66    %
82         I2FTVFUN   2     4096       1          25         1          0.045043290220  0.138011513744  3.06       306.40    %
