N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
173        OMPGLBBB   7     16         1          25         2          0.000018447591  0.000003197184  0.17       8.67      %
174        OMPGLBBB   7     16         1          25         4          0.000029280735  0.000003197184  0.11       2.73      %
175        OMPGLBBB   7     16         1          25         8          0.000024840515  0.000003197184  0.13       1.61      %
176        OMPGLBBB   7     16         1          25         16         0.000037802523  0.000003197184  0.08       0.53      %
177        OMPGLBBB   7     16         1          25         32         0.000070942566  0.000003197184  0.05       0.14      %
178        OMPGLBBB   7     16         1          25         64         0.000639673928  0.000003197184  0.00       0.01      %
179        OMPGLBBB   7     32         1          25         2          0.000021997560  0.000004896475  0.22       11.13     %
180        OMPGLBBB   7     32         1          25         4          0.000030217273  0.000004896475  0.16       4.05      %
181        OMPGLBBB   7     32         1          25         8          0.000026767096  0.000004896475  0.18       2.29      %
182        OMPGLBBB   7     32         1          25         16         0.000038506975  0.000004896475  0.13       0.79      %
183        OMPGLBBB   7     32         1          25         32         0.000071214791  0.000004896475  0.07       0.21      %
184        OMPGLBBB   7     32         1          25         64         0.000532653695  0.000004896475  0.01       0.01      %
185        OMPGLBBB   7     64         1          25         2          0.000020353077  0.000008741859  0.43       21.48     %
186        OMPGLBBB   7     64         1          25         4          0.000030931970  0.000008741859  0.28       7.07      %
187        OMPGLBBB   7     64         1          25         8          0.000029686838  0.000008741859  0.29       3.68      %
188        OMPGLBBB   7     64         1          25         16         0.000039103860  0.000008741859  0.22       1.40      %
189        OMPGLBBB   7     64         1          25         32         0.000073863612  0.000008741859  0.12       0.37      %
190        OMPGLBBB   7     64         1          25         64         0.000543274730  0.000008741859  0.02       0.03      %
191        OMPGLBBB   7     128        1          25         2          0.000030472362  0.000017796224  0.58       29.20     %
192        OMPGLBBB   7     128        1          25         4          0.000031733094  0.000017796224  0.56       14.02     %
193        OMPGLBBB   7     128        1          25         8          0.000037674746  0.000017796224  0.47       5.90      %
194        OMPGLBBB   7     128        1          25         16         0.000045021670  0.000017796224  0.40       2.47      %
195        OMPGLBBB   7     128        1          25         32         0.000076218555  0.000017796224  0.23       0.73      %
196        OMPGLBBB   7     128        1          25         64         0.000563700637  0.000017796224  0.03       0.05      %
197        OMPGLBBB   7     256        1          25         2          0.000069144415  0.000071000261  1.03       51.34     %
198        OMPGLBBB   7     256        1          25         4          0.000056470791  0.000071000261  1.26       31.43     %
199        OMPGLBBB   7     256        1          25         8          0.000058014411  0.000071000261  1.22       15.30     %
200        OMPGLBBB   7     256        1          25         16         0.000057585957  0.000071000261  1.23       7.71      %
201        OMPGLBBB   7     256        1          25         32         0.000085555483  0.000071000261  0.83       2.59      %
202        OMPGLBBB   7     256        1          25         64         0.000570554147  0.000071000261  0.12       0.19      %
203        OMPGLBBB   7     512        1          25         2          0.000311489170  0.000294827716  0.95       47.33     %
204        OMPGLBBB   7     512        1          25         4          0.000196705991  0.000294827716  1.50       37.47     %
205        OMPGLBBB   7     512        1          25         8          0.000145838456  0.000294827716  2.02       25.27     %
206        OMPGLBBB   7     512        1          25         16         0.000128341932  0.000294827716  2.30       14.36     %
207        OMPGLBBB   7     512        1          25         32         0.000143314525  0.000294827716  2.06       6.43      %
208        OMPGLBBB   7     512        1          25         64         0.000559857767  0.000294827716  0.53       0.82      %
209        OMPGLBBB   7     1024       1          25         2          0.001278171502  0.001444609091  1.13       56.51     %
210        OMPGLBBB   7     1024       1          25         4          0.000726915291  0.001444609091  1.99       49.68     %
211        OMPGLBBB   7     1024       1          25         8          0.000471589155  0.001444609091  3.06       38.29     %
212        OMPGLBBB   7     1024       1          25         16         0.000314090727  0.001444609091  4.60       28.75     %
213        OMPGLBBB   7     1024       1          25         32         0.000297239190  0.001444609091  4.86       15.19     %
214        OMPGLBBB   7     1024       1          25         64         0.000715324655  0.001444609091  2.02       3.16      %
215        OMPGLBBB   7     2048       1          25         2          0.006843834743  0.010977087216  1.60       80.20     %
216        OMPGLBBB   7     2048       1          25         4          0.003991693305  0.010977087216  2.75       68.75     %
217        OMPGLBBB   7     2048       1          25         8          0.002859141072  0.010977087216  3.84       47.99     %
218        OMPGLBBB   7     2048       1          25         16         0.001330543775  0.010977087216  8.25       51.56     %
219        OMPGLBBB   7     2048       1          25         32         0.001121143624  0.010977087216  9.79       30.60     %
220        OMPGLBBB   7     2048       1          25         64         0.001477403846  0.010977087216  7.43       11.61     %
221        OMPGLBBB   7     4096       1          25         2          0.033304425608  0.054986813199  1.65       82.55     %
222        OMPGLBBB   7     4096       1          25         4          0.017986610113  0.054986813199  3.06       76.43     %
223        OMPGLBBB   7     4096       1          25         8          0.010704697808  0.054986813199  5.14       64.21     %
224        OMPGLBBB   7     4096       1          25         16         0.006454175012  0.054986813199  8.52       53.25     %
225        OMPGLBBB   7     4096       1          25         32         0.005035039829  0.054986813199  10.92      34.13     %
226        OMPGLBBB   7     4096       1          25         64         0.004997546691  0.054986813199  11.00      17.19     %
