N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
83         I2         3     16         1          25         1          0.000000503659  0.000000230223  0.46       45.71     %
84         I2         3     32         1          25         1          0.000001181662  0.000000836700  0.71       70.81     %
85         I2         3     64         1          25         1          0.000003339350  0.000003024936  0.91       90.58     %
86         I2         3     128        1          25         1          0.000012353808  0.000012337416  1.00       99.87     %
87         I2         3     256        1          25         1          0.000049511343  0.000065878034  1.33       133.06    %
88         I2         3     512        1          25         1          0.000222287327  0.000415324420  1.87       186.84    %
89         I2         3     1024       1          25         1          0.000955352932  0.002067323774  2.16       216.39    %
90         I2         3     2048       1          25         1          0.009251115471  0.027724233270  3.00       299.69    %
91         I2         3     4096       1          25         1          0.049379678071  0.124850741029  2.53       252.84    %
92         I2FTV      3     16         1          25         1          0.000000487268  0.000000230223  0.47       47.25     %
93         I2FTV      3     32         1          25         1          0.000001145899  0.000000836700  0.73       73.02     %
94         I2FTV      3     64         1          25         1          0.000003173947  0.000003024936  0.95       95.31     %
95         I2FTV      3     128        1          25         1          0.000012032688  0.000012337416  1.03       102.53    %
96         I2FTV      3     256        1          25         1          0.000046253204  0.000065878034  1.42       142.43    %
97         I2FTV      3     512        1          25         1          0.000210209191  0.000415324420  1.98       197.58    %
98         I2FTV      3     1024       1          25         1          0.000888118893  0.002067323774  2.33       232.78    %
99         I2FTV      3     2048       1          25         1          0.008975424618  0.027724233270  3.09       308.89    %
100        I2FTV      3     4096       1          25         1          0.048838713020  0.124850741029  2.56       255.64    %
101        I2FUN      3     16         1          25         1          0.000000439584  0.000000230223  0.52       52.37     %
102        I2FUN      3     32         1          25         1          0.000001008809  0.000000836700  0.83       82.94     %
103        I2FUN      3     64         1          25         1          0.000002735853  0.000003024936  1.11       110.57    %
104        I2FUN      3     128        1          25         1          0.000010899454  0.000012337416  1.13       113.19    %
105        I2FUN      3     256        1          25         1          0.000042530149  0.000065878034  1.55       154.90    %
106        I2FUN      3     512        1          25         1          0.000196626782  0.000415324420  2.11       211.22    %
107        I2FUN      3     1024       1          25         1          0.000823149085  0.002067323774  2.51       251.15    %
108        I2FUN      3     2048       1          25         1          0.008777301759  0.027724233270  3.16       315.86    %
109        I2FUN      3     4096       1          25         1          0.048011356592  0.124850741029  2.60       260.04    %
110        I2FTVFUN   3     16         1          25         1          0.000000451505  0.000000230223  0.51       50.99     %
111        I2FTVFUN   3     32         1          25         1          0.000001026690  0.000000836700  0.81       81.49     %
112        I2FTVFUN   3     64         1          25         1          0.000002809614  0.000003024936  1.08       107.66    %
113        I2FTVFUN   3     128        1          25         1          0.000010897964  0.000012337416  1.13       113.21    %
114        I2FTVFUN   3     256        1          25         1          0.000042845309  0.000065878034  1.54       153.76    %
115        I2FTVFUN   3     512        1          25         1          0.000197575986  0.000415324420  2.10       210.21    %
116        I2FTVFUN   3     1024       1          25         1          0.000845190883  0.002067323774  2.45       244.60    %
117        I2FTVFUN   3     2048       1          25         1          0.008805932105  0.027724233270  3.15       314.84    %
118        I2FTVFUN   3     4096       1          25         1          0.047869008780  0.124850741029  2.61       260.82    %
