N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
173        OMPGLBBB   7     16         1          25         2          0.000013355166  0.000003404170  0.25       12.74     %
174        OMPGLBBB   7     16         1          25         4          0.000021133572  0.000003404170  0.16       4.03      %
175        OMPGLBBB   7     16         1          25         8          0.000025983155  0.000003404170  0.13       1.64      %
176        OMPGLBBB   7     16         1          25         16         0.000040334463  0.000003404170  0.08       0.53      %
177        OMPGLBBB   7     16         1          25         32         0.000074325502  0.000003404170  0.05       0.14      %
178        OMPGLBBB   7     16         1          25         64         0.000539922714  0.000003404170  0.01       0.01      %
179        OMPGLBBB   7     32         1          25         2          0.000014898926  0.000004866719  0.33       16.33     %
180        OMPGLBBB   7     32         1          25         4          0.000020905584  0.000004866719  0.23       5.82      %
181        OMPGLBBB   7     32         1          25         8          0.000028467178  0.000004866719  0.17       2.14      %
182        OMPGLBBB   7     32         1          25         16         0.000042878836  0.000004866719  0.11       0.71      %
183        OMPGLBBB   7     32         1          25         32         0.000080088526  0.000004866719  0.06       0.19      %
184        OMPGLBBB   7     32         1          25         64         0.000568550825  0.000004866719  0.01       0.01      %
185        OMPGLBBB   7     64         1          25         2          0.000021306425  0.000007608533  0.36       17.86     %
186        OMPGLBBB   7     64         1          25         4          0.000029340386  0.000007608533  0.26       6.48      %
187        OMPGLBBB   7     64         1          25         8          0.000031217188  0.000007608533  0.24       3.05      %
188        OMPGLBBB   7     64         1          25         16         0.000041047484  0.000007608533  0.19       1.16      %
189        OMPGLBBB   7     64         1          25         32         0.000077689439  0.000007608533  0.10       0.31      %
190        OMPGLBBB   7     64         1          25         64         0.000561691821  0.000007608533  0.01       0.02      %
191        OMPGLBBB   7     128        1          25         2          0.000032220036  0.000018270314  0.57       28.35     %
192        OMPGLBBB   7     128        1          25         4          0.000032301247  0.000018270314  0.57       14.14     %
193        OMPGLBBB   7     128        1          25         8          0.000040100515  0.000018270314  0.46       5.70      %
194        OMPGLBBB   7     128        1          25         16         0.000047922134  0.000018270314  0.38       2.38      %
195        OMPGLBBB   7     128        1          25         32         0.000079581141  0.000018270314  0.23       0.72      %
196        OMPGLBBB   7     128        1          25         64         0.000573970377  0.000018270314  0.03       0.05      %
197        OMPGLBBB   7     256        1          25         2          0.000071125478  0.000063019991  0.89       44.30     %
198        OMPGLBBB   7     256        1          25         4          0.000055186450  0.000063019991  1.14       28.55     %
199        OMPGLBBB   7     256        1          25         8          0.000060629100  0.000063019991  1.04       12.99     %
200        OMPGLBBB   7     256        1          25         16         0.000060126185  0.000063019991  1.05       6.55      %
201        OMPGLBBB   7     256        1          25         32         0.000086792558  0.000063019991  0.73       2.27      %
202        OMPGLBBB   7     256        1          25         64         0.000555404276  0.000063019991  0.11       0.18      %
203        OMPGLBBB   7     512        1          25         2          0.000309082121  0.000263510644  0.85       42.63     %
204        OMPGLBBB   7     512        1          25         4          0.000192342699  0.000263510644  1.37       34.25     %
205        OMPGLBBB   7     512        1          25         8          0.000144992769  0.000263510644  1.82       22.72     %
206        OMPGLBBB   7     512        1          25         16         0.000127964467  0.000263510644  2.06       12.87     %
207        OMPGLBBB   7     512        1          25         32         0.000135716796  0.000263510644  1.94       6.07      %
208        OMPGLBBB   7     512        1          25         64         0.000563558936  0.000263510644  0.47       0.73      %
209        OMPGLBBB   7     1024       1          25         2          0.001221001148  0.001267723739  1.04       51.91     %
210        OMPGLBBB   7     1024       1          25         4          0.000708150119  0.001267723739  1.79       44.75     %
211        OMPGLBBB   7     1024       1          25         8          0.000481907278  0.001267723739  2.63       32.88     %
212        OMPGLBBB   7     1024       1          25         16         0.000317299366  0.001267723739  4.00       24.97     %
213        OMPGLBBB   7     1024       1          25         32         0.000291776657  0.001267723739  4.34       13.58     %
214        OMPGLBBB   7     1024       1          25         64         0.000732346624  0.001267723739  1.73       2.70      %
215        OMPGLBBB   7     2048       1          25         2          0.006828597188  0.010889391601  1.59       79.73     %
216        OMPGLBBB   7     2048       1          25         4          0.003773388267  0.010889391601  2.89       72.15     %
217        OMPGLBBB   7     2048       1          25         8          0.002314750850  0.010889391601  4.70       58.80     %
218        OMPGLBBB   7     2048       1          25         16         0.001356760412  0.010889391601  8.03       50.16     %
219        OMPGLBBB   7     2048       1          25         32         0.001158243418  0.010889391601  9.40       29.38     %
220        OMPGLBBB   7     2048       1          25         64         0.001392468810  0.010889391601  7.82       12.22     %
221        OMPGLBBB   7     4096       1          25         2          0.033954939991  0.058152509481  1.71       85.63     %
222        OMPGLBBB   7     4096       1          25         4          0.018261951208  0.058152509481  3.18       79.61     %
223        OMPGLBBB   7     4096       1          25         8          0.010620866716  0.058152509481  5.48       68.44     %
224        OMPGLBBB   7     4096       1          25         16         0.006329793483  0.058152509481  9.19       57.42     %
225        OMPGLBBB   7     4096       1          25         32         0.005226200074  0.058152509481  11.13      34.77     %
226        OMPGLBBB   7     4096       1          25         64         0.004826096445  0.058152509481  12.05      18.83     %
