N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
119        OMPGLBWS   5     16         1          25         2          0.000012789667  0.000003159046  0.25       12.35     %
120        OMPGLBWS   5     16         1          25         4          0.000019723922  0.000003159046  0.16       4.00      %
121        OMPGLBWS   5     16         1          25         8          0.000025781989  0.000003159046  0.12       1.53      %
122        OMPGLBWS   5     16         1          25         16         0.000039201230  0.000003159046  0.08       0.50      %
123        OMPGLBWS   5     16         1          25         32         0.000072980672  0.000003159046  0.04       0.14      %
124        OMPGLBWS   5     16         1          25         64         0.000538430363  0.000003159046  0.01       0.01      %
125        OMPGLBWS   5     32         1          25         2          0.000014252216  0.000005291402  0.37       18.56     %
126        OMPGLBWS   5     32         1          25         4          0.000021874905  0.000005291402  0.24       6.05      %
127        OMPGLBWS   5     32         1          25         8          0.000027257204  0.000005291402  0.19       2.43      %
128        OMPGLBWS   5     32         1          25         16         0.000040332973  0.000005291402  0.13       0.82      %
129        OMPGLBWS   5     32         1          25         32         0.000075993687  0.000005291402  0.07       0.22      %
130        OMPGLBWS   5     32         1          25         64         0.000560353696  0.000005291402  0.01       0.01      %
131        OMPGLBWS   5     64         1          25         2          0.000017195940  0.000008083880  0.47       23.51     %
132        OMPGLBWS   5     64         1          25         4          0.000025705248  0.000008083880  0.31       7.86      %
133        OMPGLBWS   5     64         1          25         8          0.000029189885  0.000008083880  0.28       3.46      %
134        OMPGLBWS   5     64         1          25         16         0.000040736794  0.000008083880  0.20       1.24      %
135        OMPGLBWS   5     64         1          25         32         0.000074963272  0.000008083880  0.11       0.34      %
136        OMPGLBWS   5     64         1          25         64         0.000549383461  0.000008083880  0.01       0.02      %
137        OMPGLBWS   5     128        1          25         2          0.000028542429  0.000020381063  0.71       35.70     %
138        OMPGLBWS   5     128        1          25         4          0.000032655150  0.000020381063  0.62       15.60     %
139        OMPGLBWS   5     128        1          25         8          0.000036051124  0.000020381063  0.57       7.07      %
140        OMPGLBWS   5     128        1          25         16         0.000043046474  0.000020381063  0.47       2.96      %
141        OMPGLBWS   5     128        1          25         32         0.000075703859  0.000020381063  0.27       0.84      %
142        OMPGLBWS   5     128        1          25         64         0.000538828224  0.000020381063  0.04       0.06      %
143        OMPGLBWS   5     256        1          25         2          0.000078667700  0.000073599070  0.94       46.78     %
144        OMPGLBWS   5     256        1          25         4          0.000054676831  0.000073599070  1.35       33.65     %
145        OMPGLBWS   5     256        1          25         8          0.000067286193  0.000073599070  1.09       13.67     %
146        OMPGLBWS   5     256        1          25         16         0.000064191222  0.000073599070  1.15       7.17      %
147        OMPGLBWS   5     256        1          25         32         0.000085964799  0.000073599070  0.86       2.68      %
148        OMPGLBWS   5     256        1          25         64         0.000547128916  0.000073599070  0.13       0.21      %
149        OMPGLBWS   5     512        1          25         2          0.000290136784  0.000336928666  1.16       58.06     %
150        OMPGLBWS   5     512        1          25         4          0.000181479752  0.000336928666  1.86       46.41     %
151        OMPGLBWS   5     512        1          25         8          0.000128610432  0.000336928666  2.62       32.75     %
152        OMPGLBWS   5     512        1          25         16         0.000123180449  0.000336928666  2.74       17.10     %
153        OMPGLBWS   5     512        1          25         32         0.000142364204  0.000336928666  2.37       7.40      %
154        OMPGLBWS   5     512        1          25         64         0.000550641865  0.000336928666  0.61       0.96      %
155        OMPGLBWS   5     1024       1          25         2          0.001129072905  0.001615025103  1.43       71.52     %
156        OMPGLBWS   5     1024       1          25         4          0.000619260222  0.001615025103  2.61       65.20     %
157        OMPGLBWS   5     1024       1          25         8          0.000354018062  0.001615025103  4.56       57.02     %
158        OMPGLBWS   5     1024       1          25         16         0.000247392803  0.001615025103  6.53       40.80     %
159        OMPGLBWS   5     1024       1          25         32         0.000266736001  0.001615025103  6.05       18.92     %
160        OMPGLBWS   5     1024       1          25         64         0.000690632313  0.001615025103  2.34       3.65      %
161        OMPGLBWS   5     2048       1          25         2          0.013890971243  0.024814989418  1.79       89.32     %
162        OMPGLBWS   5     2048       1          25         4          0.006553668529  0.024814989418  3.79       94.66     %
163        OMPGLBWS   5     2048       1          25         8          0.003705471754  0.024814989418  6.70       83.71     %
164        OMPGLBWS   5     2048       1          25         16         0.002089884132  0.024814989418  11.87      74.21     %
165        OMPGLBWS   5     2048       1          25         32         0.001475404948  0.024814989418  16.82      52.56     %
166        OMPGLBWS   5     2048       1          25         64         0.001720226556  0.024814989418  14.43      22.54     %
167        OMPGLBWS   5     4096       1          25         2          0.066040907800  0.120494104922  1.82       91.23     %
168        OMPGLBWS   5     4096       1          25         4          0.032664906979  0.120494104922  3.69       92.22     %
169        OMPGLBWS   5     4096       1          25         8          0.018574272096  0.120494104922  6.49       81.09     %
170        OMPGLBWS   5     4096       1          25         16         0.009313796461  0.120494104922  12.94      80.86     %
171        OMPGLBWS   5     4096       1          25         32         0.006436466426  0.120494104922  18.72      58.50     %
172        OMPGLBWS   5     4096       1          25         64         0.005919839442  0.120494104922  20.35      31.80     %
