N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          25         1          0.000000230223  0.000000230223  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000000836700  0.000000836700  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000003024936  0.000003024936  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000012337416  0.000012337416  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000065878034  0.000065878034  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000415324420  0.000415324420  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.002067323774  0.002067323774  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.027724233270  0.027724233270  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.124850741029  0.124850741029  1.00       100.00    %
11         OMPLOCWS   4     16         1          25         1          0.000003585219  0.000003585219  1.00       100.00    %
12         OMPGLBWS   5     16         1          25         1          0.000003159046  0.000003159046  1.00       100.00    %
13         OMPLOCBB   6     16         1          25         1          0.000003702193  0.000003702193  1.00       100.00    %
14         OMPGLBBB   7     16         1          25         1          0.000003404170  0.000003404170  1.00       100.00    %
15         OMPLOCWS   4     32         1          25         1          0.000005330145  0.000005330145  1.00       100.00    %
16         OMPGLBWS   5     32         1          25         1          0.000005291402  0.000005291402  1.00       100.00    %
17         OMPLOCBB   6     32         1          25         1          0.000005337596  0.000005337596  1.00       100.00    %
18         OMPGLBBB   7     32         1          25         1          0.000004866719  0.000004866719  1.00       100.00    %
19         OMPLOCWS   4     64         1          25         1          0.000008000433  0.000008000433  1.00       100.00    %
20         OMPGLBWS   5     64         1          25         1          0.000008083880  0.000008083880  1.00       100.00    %
21         OMPLOCBB   6     64         1          25         1          0.000007872283  0.000007872283  1.00       100.00    %
22         OMPGLBBB   7     64         1          25         1          0.000007608533  0.000007608533  1.00       100.00    %
23         OMPLOCWS   4     128        1          25         1          0.000021075457  0.000021075457  1.00       100.00    %
24         OMPGLBWS   5     128        1          25         1          0.000020381063  0.000020381063  1.00       100.00    %
25         OMPLOCBB   6     128        1          25         1          0.000019180775  0.000019180775  1.00       100.00    %
26         OMPGLBBB   7     128        1          25         1          0.000018270314  0.000018270314  1.00       100.00    %
27         OMPLOCWS   4     256        1          25         1          0.000073420256  0.000073420256  1.00       100.00    %
28         OMPGLBWS   5     256        1          25         1          0.000073599070  0.000073599070  1.00       100.00    %
29         OMPLOCBB   6     256        1          25         1          0.000063116103  0.000063116103  1.00       100.00    %
30         OMPGLBBB   7     256        1          25         1          0.000063019991  0.000063019991  1.00       100.00    %
31         OMPLOCWS   4     512        1          25         1          0.000333643705  0.000333643705  1.00       100.00    %
32         OMPGLBWS   5     512        1          25         1          0.000336928666  0.000336928666  1.00       100.00    %
33         OMPLOCBB   6     512        1          25         1          0.000262259692  0.000262259692  1.00       100.00    %
34         OMPGLBBB   7     512        1          25         1          0.000263510644  0.000263510644  1.00       100.00    %
35         OMPLOCWS   4     1024       1          25         1          0.001618468016  0.001618468016  1.00       100.00    %
36         OMPGLBWS   5     1024       1          25         1          0.001615025103  0.001615025103  1.00       100.00    %
37         OMPLOCBB   6     1024       1          25         1          0.001266320050  0.001266320050  1.00       100.00    %
38         OMPGLBBB   7     1024       1          25         1          0.001267723739  0.001267723739  1.00       100.00    %
39         OMPLOCWS   4     2048       1          25         1          0.024908237159  0.024908237159  1.00       100.00    %
40         OMPGLBWS   5     2048       1          25         1          0.024814989418  0.024814989418  1.00       100.00    %
41         OMPLOCBB   6     2048       1          25         1          0.010886330158  0.010886330158  1.00       100.00    %
42         OMPGLBBB   7     2048       1          25         1          0.010889391601  0.010889391601  1.00       100.00    %
43         OMPLOCWS   4     4096       1          25         1          0.120209902525  0.120209902525  1.00       100.00    %
44         OMPGLBWS   5     4096       1          25         1          0.120494104922  0.120494104922  1.00       100.00    %
45         OMPLOCBB   6     4096       1          25         1          0.058033228666  0.058033228666  1.00       100.00    %
46         OMPGLBBB   7     4096       1          25         1          0.058152509481  0.058152509481  1.00       100.00    %
