N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2027       I2         3     16         1          25         1          0.000000745058 
2028       I2         3     16         1          25         1          0.000000961125 
2029       I2         3     16         1          25         1          0.000000625849 
2030       I2         3     16         1          25         1          0.000000521541 
2031       I2         3     16         1          25         1          0.000000506639 
2032       I2         3     16         1          25         1          0.000000447035 
2033       I2         3     16         1          25         1          0.000000476837 
2034       I2         3     16         1          25         1          0.000000469387 
2035       I2         3     16         1          25         1          0.000000447035 
2036       I2         3     16         1          25         1          0.000000439584 
2037       I2         3     16         1          25         1          0.000000447035 
2038       I2         3     16         1          25         1          0.000000469387 
2039       I2         3     16         1          25         1          0.000000476837 
2040       I2         3     16         1          25         1          0.000000454485 
2041       I2         3     16         1          25         1          0.000000506639 
2042       I2         3     16         1          25         1          0.000000476837 
2043       I2         3     16         1          25         1          0.000000528991 
2044       I2         3     16         1          25         1          0.000001154840 
2045       I2         3     16         1          25         1          0.000000499189 
2046       I2         3     16         1          25         1          0.000000558794 
2047       I2         3     16         1          25         1          0.000000566244 
2048       I2         3     16         1          25         1          0.000000484288 
2049       I2         3     16         1          25         1          0.000000566244 
2050       I2         3     16         1          25         1          0.000000581145 
2051       I2         3     16         1          25         1          0.000000797212 
2052       I2         3     32         1          25         1          0.000001564622 
2053       I2         3     32         1          25         1          0.000001661479 
2054       I2         3     32         1          25         1          0.000001423061 
2055       I2         3     32         1          25         1          0.000001139939 
2056       I2         3     32         1          25         1          0.000001177192 
2057       I2         3     32         1          25         1          0.000001206994 
2058       I2         3     32         1          25         1          0.000001147389 
2059       I2         3     32         1          25         1          0.000001102686 
2060       I2         3     32         1          25         1          0.000001177192 
2061       I2         3     32         1          25         1          0.000001169741 
2062       I2         3     32         1          25         1          0.000001199543 
2063       I2         3     32         1          25         1          0.000001199543 
2064       I2         3     32         1          25         1          0.000001110137 
2065       I2         3     32         1          25         1          0.000001169741 
2066       I2         3     32         1          25         1          0.000001296401 
2067       I2         3     32         1          25         1          0.000001266599 
2068       I2         3     32         1          25         1          0.000001214445 
2069       I2         3     32         1          25         1          0.000001221895 
2070       I2         3     32         1          25         1          0.000001177192 
2071       I2         3     32         1          25         1          0.000001378357 
2072       I2         3     32         1          25         1          0.000001110137 
2073       I2         3     32         1          25         1          0.000001110137 
2074       I2         3     32         1          25         1          0.000001162291 
2075       I2         3     32         1          25         1          0.000001177192 
2076       I2         3     32         1          25         1          0.000001162291 
2077       I2         3     64         1          25         1          0.000003434718 
2078       I2         3     64         1          25         1          0.000003285706 
2079       I2         3     64         1          25         1          0.000003360212 
2080       I2         3     64         1          25         1          0.000003241003 
2081       I2         3     64         1          25         1          0.000003255904 
2082       I2         3     64         1          25         1          0.000003203750 
2083       I2         3     64         1          25         1          0.000003121793 
2084       I2         3     64         1          25         1          0.000003375113 
2085       I2         3     64         1          25         1          0.000003337860 
2086       I2         3     64         1          25         1          0.000003285706 
2087       I2         3     64         1          25         1          0.000003650784 
2088       I2         3     64         1          25         1          0.000003248453 
2089       I2         3     64         1          25         1          0.000003270805 
2090       I2         3     64         1          25         1          0.000003233552 
2091       I2         3     64         1          25         1          0.000003449619 
2092       I2         3     64         1          25         1          0.000003524125 
2093       I2         3     64         1          25         1          0.000003457069 
2094       I2         3     64         1          25         1          0.000003524125 
2095       I2         3     64         1          25         1          0.000003650784 
2096       I2         3     64         1          25         1          0.000003516674 
2097       I2         3     64         1          25         1          0.000003539026 
2098       I2         3     64         1          25         1          0.000003434718 
2099       I2         3     64         1          25         1          0.000003352761 
2100       I2         3     64         1          25         1          0.000003166497 
2101       I2         3     64         1          25         1          0.000003188848 
2102       I2         3     128        1          25         1          0.000011883676 
2103       I2         3     128        1          25         1          0.000012181699 
2104       I2         3     128        1          25         1          0.000012435019 
2105       I2         3     128        1          25         1          0.000012174249 
2106       I2         3     128        1          25         1          0.000012621284 
2107       I2         3     128        1          25         1          0.000012353063 
2108       I2         3     128        1          25         1          0.000012084842 
2109       I2         3     128        1          25         1          0.000012256205 
2110       I2         3     128        1          25         1          0.000012248755 
2111       I2         3     128        1          25         1          0.000013723969 
2112       I2         3     128        1          25         1          0.000012107193 
2113       I2         3     128        1          25         1          0.000012338161 
2114       I2         3     128        1          25         1          0.000013425946 
2115       I2         3     128        1          25         1          0.000012725592 
2116       I2         3     128        1          25         1          0.000012986362 
2117       I2         3     128        1          25         1          0.000012844801 
2118       I2         3     128        1          25         1          0.000012740493 
2119       I2         3     128        1          25         1          0.000012919307 
2120       I2         3     128        1          25         1          0.000011995435 
2121       I2         3     128        1          25         1          0.000012956560 
2122       I2         3     128        1          25         1          0.000012010336 
2123       I2         3     128        1          25         1          0.000012159348 
2124       I2         3     128        1          25         1          0.000012606382 
2125       I2         3     128        1          25         1          0.000012286007 
2126       I2         3     128        1          25         1          0.000012211502 
2127       I2         3     256        1          25         1          0.000046752393 
2128       I2         3     256        1          25         1          0.000048294663 
2129       I2         3     256        1          25         1          0.000055193901 
2130       I2         3     256        1          25         1          0.000048100948 
2131       I2         3     256        1          25         1          0.000062614679 
2132       I2         3     256        1          25         1          0.000059470534 
2133       I2         3     256        1          25         1          0.000053294003 
2134       I2         3     256        1          25         1          0.000052325428 
2135       I2         3     256        1          25         1          0.000054590404 
2136       I2         3     256        1          25         1          0.000050798059 
2137       I2         3     256        1          25         1          0.000050961971 
2138       I2         3     256        1          25         1          0.000048309565 
2139       I2         3     256        1          25         1          0.000047609210 
2140       I2         3     256        1          25         1          0.000048600137 
2141       I2         3     256        1          25         1          0.000048518181 
2142       I2         3     256        1          25         1          0.000048279762 
2143       I2         3     256        1          25         1          0.000066518784 
2144       I2         3     256        1          25         1          0.000048749149 
2145       I2         3     256        1          25         1          0.000075310469 
2146       I2         3     256        1          25         1          0.000047981739 
2147       I2         3     256        1          25         1          0.000047907233 
2148       I2         3     256        1          25         1          0.000048413873 
2149       I2         3     256        1          25         1          0.000048831105 
2150       I2         3     256        1          25         1          0.000079542398 
2151       I2         3     256        1          25         1          0.000049605966 
2152       I2         3     512        1          25         1          0.000227682292 
2153       I2         3     512        1          25         1          0.000239156187 
2154       I2         3     512        1          25         1          0.000240817666 
2155       I2         3     512        1          25         1          0.000238873065 
2156       I2         3     512        1          25         1          0.000228375196 
2157       I2         3     512        1          25         1          0.000222720206 
2158       I2         3     512        1          25         1          0.000229790807 
2159       I2         3     512        1          25         1          0.000219777226 
2160       I2         3     512        1          25         1          0.000231400132 
2161       I2         3     512        1          25         1          0.000256232917 
2162       I2         3     512        1          25         1          0.000213421881 
2163       I2         3     512        1          25         1          0.000206440687 
2164       I2         3     512        1          25         1          0.000206336379 
2165       I2         3     512        1          25         1          0.000212959945 
2166       I2         3     512        1          25         1          0.000221796334 
2167       I2         3     512        1          25         1          0.000218808651 
2168       I2         3     512        1          25         1          0.000210717320 
2169       I2         3     512        1          25         1          0.000236786902 
2170       I2         3     512        1          25         1          0.000220276415 
2171       I2         3     512        1          25         1          0.000214919448 
2172       I2         3     512        1          25         1          0.000217437744 
2173       I2         3     512        1          25         1          0.000217109919 
2174       I2         3     512        1          25         1          0.000225298107 
2175       I2         3     512        1          25         1          0.000224187970 
2176       I2         3     512        1          25         1          0.000224888325 
2177       I2         3     1024       1          25         1          0.001037821174 
2178       I2         3     1024       1          25         1          0.000945076346 
2179       I2         3     1024       1          25         1          0.000997640193 
2180       I2         3     1024       1          25         1          0.000963322818 
2181       I2         3     1024       1          25         1          0.000943601131 
2182       I2         3     1024       1          25         1          0.000953473151 
2183       I2         3     1024       1          25         1          0.000972747803 
2184       I2         3     1024       1          25         1          0.000935733318 
2185       I2         3     1024       1          25         1          0.000941082835 
2186       I2         3     1024       1          25         1          0.000961534679 
2187       I2         3     1024       1          25         1          0.000972829759 
2188       I2         3     1024       1          25         1          0.000964663923 
2189       I2         3     1024       1          25         1          0.000961907208 
2190       I2         3     1024       1          25         1          0.000947974622 
2191       I2         3     1024       1          25         1          0.000940345228 
2192       I2         3     1024       1          25         1          0.001227803528 
2193       I2         3     1024       1          25         1          0.001019425690 
2194       I2         3     1024       1          25         1          0.000964149833 
2195       I2         3     1024       1          25         1          0.000940442085 
2196       I2         3     1024       1          25         1          0.000978395343 
2197       I2         3     1024       1          25         1          0.000948645175 
2198       I2         3     1024       1          25         1          0.000946827233 
2199       I2         3     1024       1          25         1          0.000952057540 
2200       I2         3     1024       1          25         1          0.000952400267 
2201       I2         3     1024       1          25         1          0.000948064029 
2202       I2         3     2048       1          25         1          0.009509354830 
2203       I2         3     2048       1          25         1          0.009235605597 
2204       I2         3     2048       1          25         1          0.009170077741 
2205       I2         3     2048       1          25         1          0.009200319648 
2206       I2         3     2048       1          25         1          0.009162880480 
2207       I2         3     2048       1          25         1          0.009565651417 
2208       I2         3     2048       1          25         1          0.009447775781 
2209       I2         3     2048       1          25         1          0.009173028171 
2210       I2         3     2048       1          25         1          0.009178526700 
2211       I2         3     2048       1          25         1          0.009160622954 
2212       I2         3     2048       1          25         1          0.009186401963 
2213       I2         3     2048       1          25         1          0.009176343679 
2214       I2         3     2048       1          25         1          0.009147889912 
2215       I2         3     2048       1          25         1          0.009189531207 
2216       I2         3     2048       1          25         1          0.009181767702 
2217       I2         3     2048       1          25         1          0.009573973715 
2218       I2         3     2048       1          25         1          0.009536087513 
2219       I2         3     2048       1          25         1          0.009336620569 
2220       I2         3     2048       1          25         1          0.009148418903 
2221       I2         3     2048       1          25         1          0.009314805269 
2222       I2         3     2048       1          25         1          0.009414583445 
2223       I2         3     2048       1          25         1          0.009355202317 
2224       I2         3     2048       1          25         1          0.009335815907 
2225       I2         3     2048       1          25         1          0.009351760149 
2226       I2         3     2048       1          25         1          0.009353898466 
2227       I2         3     4096       1          25         1          0.049544975162 
2228       I2         3     4096       1          25         1          0.049495354295 
2229       I2         3     4096       1          25         1          0.049496285617 
2230       I2         3     4096       1          25         1          0.049466840923 
2231       I2         3     4096       1          25         1          0.049337036908 
2232       I2         3     4096       1          25         1          0.049517825246 
2233       I2         3     4096       1          25         1          0.049519427121 
2234       I2         3     4096       1          25         1          0.049433350563 
2235       I2         3     4096       1          25         1          0.049634516239 
2236       I2         3     4096       1          25         1          0.049522727728 
2237       I2         3     4096       1          25         1          0.049405857921 
2238       I2         3     4096       1          25         1          0.049464978278 
2239       I2         3     4096       1          25         1          0.049404859543 
2240       I2         3     4096       1          25         1          0.049521677196 
2241       I2         3     4096       1          25         1          0.049297578633 
