N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4277       OMPGLBBB   7     16         1          25         2          0.000011019409 
4278       OMPGLBBB   7     16         1          25         2          0.000018216670 
4279       OMPGLBBB   7     16         1          25         2          0.000014357269 
4280       OMPGLBBB   7     16         1          25         2          0.000013932586 
4281       OMPGLBBB   7     16         1          25         2          0.000013642013 
4282       OMPGLBBB   7     16         1          25         2          0.000013053417 
4283       OMPGLBBB   7     16         1          25         2          0.000013947487 
4284       OMPGLBBB   7     16         1          25         2          0.000013671815 
4285       OMPGLBBB   7     16         1          25         2          0.000012829900 
4286       OMPGLBBB   7     16         1          25         2          0.000014007092 
4287       OMPGLBBB   7     16         1          25         2          0.000013589859 
4288       OMPGLBBB   7     16         1          25         2          0.000013269484 
4289       OMPGLBBB   7     16         1          25         2          0.000013262033 
4290       OMPGLBBB   7     16         1          25         2          0.000013358891 
4291       OMPGLBBB   7     16         1          25         2          0.000035464764 
4292       OMPGLBBB   7     16         1          25         2          0.000014573336 
4293       OMPGLBBB   7     16         1          25         2          0.000013485551 
4294       OMPGLBBB   7     16         1          25         2          0.000012911856 
4295       OMPGLBBB   7     16         1          25         2          0.000012211502 
4296       OMPGLBBB   7     16         1          25         2          0.000013910234 
4297       OMPGLBBB   7     16         1          25         2          0.000012911856 
4298       OMPGLBBB   7     16         1          25         2          0.000012487173 
4299       OMPGLBBB   7     16         1          25         2          0.000012762845 
4300       OMPGLBBB   7     16         1          25         2          0.000013068318 
4301       OMPGLBBB   7     16         1          25         2          0.000013150275 
4302       OMPGLBBB   7     16         1          25         4          0.000018827617 
4303       OMPGLBBB   7     16         1          25         4          0.000024758279 
4304       OMPGLBBB   7     16         1          25         4          0.000022582710 
4305       OMPGLBBB   7     16         1          25         4          0.000023111701 
4306       OMPGLBBB   7     16         1          25         4          0.000019088387 
4307       OMPGLBBB   7     16         1          25         4          0.000022113323 
4308       OMPGLBBB   7     16         1          25         4          0.000024884939 
4309       OMPGLBBB   7     16         1          25         4          0.000023350120 
