N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2927       OMPGLBWS   5     16         1          25         2          0.000010207295 
2928       OMPGLBWS   5     16         1          25         2          0.000017195940 
2929       OMPGLBWS   5     16         1          25         2          0.000013031065 
2930       OMPGLBWS   5     16         1          25         2          0.000013649464 
2931       OMPGLBWS   5     16         1          25         2          0.000012680888 
2932       OMPGLBWS   5     16         1          25         2          0.000012300909 
2933       OMPGLBWS   5     16         1          25         2          0.000013217330 
2934       OMPGLBWS   5     16         1          25         2          0.000012941658 
2935       OMPGLBWS   5     16         1          25         2          0.000013530254 
2936       OMPGLBWS   5     16         1          25         2          0.000012375414 
2937       OMPGLBWS   5     16         1          25         2          0.000013209879 
2938       OMPGLBWS   5     16         1          25         2          0.000012837350 
2939       OMPGLBWS   5     16         1          25         2          0.000012859702 
2940       OMPGLBWS   5     16         1          25         2          0.000012867153 
2941       OMPGLBWS   5     16         1          25         2          0.000012420118 
2942       OMPGLBWS   5     16         1          25         2          0.000013098121 
2943       OMPGLBWS   5     16         1          25         2          0.000012271106 
2944       OMPGLBWS   5     16         1          25         2          0.000013992190 
2945       OMPGLBWS   5     16         1          25         2          0.000012591481 
2946       OMPGLBWS   5     16         1          25         2          0.000011578202 
2947       OMPGLBWS   5     16         1          25         2          0.000012472272 
2948       OMPGLBWS   5     16         1          25         2          0.000012978911 
2949       OMPGLBWS   5     16         1          25         2          0.000014014542 
2950       OMPGLBWS   5     16         1          25         2          0.000012382865 
2951       OMPGLBWS   5     16         1          25         2          0.000012636185 
2952       OMPGLBWS   5     16         1          25         4          0.000012710690 
2953       OMPGLBWS   5     16         1          25         4          0.000022813678 
2954       OMPGLBWS   5     16         1          25         4          0.000019945204 
2955       OMPGLBWS   5     16         1          25         4          0.000020928681 
2956       OMPGLBWS   5     16         1          25         4          0.000020287931 
2957       OMPGLBWS   5     16         1          25         4          0.000019684434 
2958       OMPGLBWS   5     16         1          25         4          0.000028073788 
2959       OMPGLBWS   5     16         1          25         4          0.000019498169 
2960       OMPGLBWS   5     16         1          25         4          0.000020802021 
2961       OMPGLBWS   5     16         1          25         4          0.000017784536 
2962       OMPGLBWS   5     16         1          25         4          0.000019140542 
2963       OMPGLBWS   5     16         1          25         4          0.000019669533 
2964       OMPGLBWS   5     16         1          25         4          0.000022053719 
2965       OMPGLBWS   5     16         1          25         4          0.000021450222 
2966       OMPGLBWS   5     16         1          25         4          0.000019662082 
2967       OMPGLBWS   5     16         1          25         4          0.000019110739 
2968       OMPGLBWS   5     16         1          25         4          0.000019162893 
2969       OMPGLBWS   5     16         1          25         4          0.000019907951 
2970       OMPGLBWS   5     16         1          25         4          0.000019960105 
2971       OMPGLBWS   5     16         1          25         4          0.000017710030 
2972       OMPGLBWS   5     16         1          25         4          0.000019803643 
2973       OMPGLBWS   5     16         1          25         4          0.000022925436 
2974       OMPGLBWS   5     16         1          25         4          0.000018835068 
2975       OMPGLBWS   5     16         1          25         4          0.000018931925 
2976       OMPGLBWS   5     16         1          25         4          0.000019945204 
2977       OMPGLBWS   5     16         1          25         8          0.000015340745 
2978       OMPGLBWS   5     16         1          25         8          0.000030063093 
2979       OMPGLBWS   5     16         1          25         8          0.000026181340 
2980       OMPGLBWS   5     16         1          25         8          0.000040791929 
2981       OMPGLBWS   5     16         1          25         8          0.000032909214 
2982       OMPGLBWS   5     16         1          25         8          0.000046633184 
2983       OMPGLBWS   5     16         1          25         8          0.000024139881 
2984       OMPGLBWS   5     16         1          25         8          0.000025041401 
2985       OMPGLBWS   5     16         1          25         8          0.000025607646 
2986       OMPGLBWS   5     16         1          25         8          0.000027030706 
2987       OMPGLBWS   5     16         1          25         8          0.000027909875 
2988       OMPGLBWS   5     16         1          25         8          0.000023469329 
2989       OMPGLBWS   5     16         1          25         8          0.000027671456 
2990       OMPGLBWS   5     16         1          25         8          0.000026479363 
2991       OMPGLBWS   5     16         1          25         8          0.000025391579 
2992       OMPGLBWS   5     16         1          25         8          0.000027224422 
2993       OMPGLBWS   5     16         1          25         8          0.000023759902 
2994       OMPGLBWS   5     16         1          25         8          0.000024065375 
2995       OMPGLBWS   5     16         1          25         8          0.000026203692 
2996       OMPGLBWS   5     16         1          25         8          0.000026278198 
2997       OMPGLBWS   5     16         1          25         8          0.000025406480 
2998       OMPGLBWS   5     16         1          25         8          0.000022582710 
2999       OMPGLBWS   5     16         1          25         8          0.000025622547 
3000       OMPGLBWS   5     16         1          25         8          0.000025607646 
3001       OMPGLBWS   5     16         1          25         8          0.000024527311 
3002       OMPGLBWS   5     16         1          25         16         0.000021345913 
3003       OMPGLBWS   5     16         1          25         16         0.000035464764 
3004       OMPGLBWS   5     16         1          25         16         0.000042088330 
3005       OMPGLBWS   5     16         1          25         16         0.000037416816 
3006       OMPGLBWS   5     16         1          25         16         0.000046342611 
3007       OMPGLBWS   5     16         1          25         16         0.000040024519 
3008       OMPGLBWS   5     16         1          25         16         0.000038757920 
