N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000000357628 
3          SO0        1     16         1          25         1          0.000000312924 
4          SO0        1     16         1          25         1          0.000000238419 
5          SO0        1     16         1          25         1          0.000000461936 
6          SO0        1     16         1          25         1          0.000000253320 
7          SO0        1     16         1          25         1          0.000000238419 
8          SO0        1     16         1          25         1          0.000000208616 
9          SO0        1     16         1          25         1          0.000000238419 
10         SO0        1     16         1          25         1          0.000000566244 
11         SO0        1     16         1          25         1          0.000000223517 
12         SO0        1     16         1          25         1          0.000000216067 
13         SO0        1     16         1          25         1          0.000000208616 
14         SO0        1     16         1          25         1          0.000000201166 
15         SO0        1     16         1          25         1          0.000000193715 
16         SO0        1     16         1          25         1          0.000000201166 
17         SO0        1     16         1          25         1          0.000000432134 
18         SO0        1     16         1          25         1          0.000000230968 
19         SO0        1     16         1          25         1          0.000000223517 
20         SO0        1     16         1          25         1          0.000000223517 
21         SO0        1     16         1          25         1          0.000000275671 
22         SO0        1     16         1          25         1          0.000000268221 
23         SO0        1     16         1          25         1          0.000000238419 
24         SO0        1     16         1          25         1          0.000000216067 
25         SO0        1     16         1          25         1          0.000000223517 
26         SO0        1     16         1          25         1          0.000000223517 
27         SO0        1     32         1          25         1          0.000000819564 
28         SO0        1     32         1          25         1          0.000001646578 
29         SO0        1     32         1          25         1          0.000001877546 
30         SO0        1     32         1          25         1          0.000000923872 
31         SO0        1     32         1          25         1          0.000000886619 
32         SO0        1     32         1          25         1          0.000000879169 
33         SO0        1     32         1          25         1          0.000001169741 
34         SO0        1     32         1          25         1          0.000000864267 
35         SO0        1     32         1          25         1          0.000000797212 
36         SO0        1     32         1          25         1          0.000000774860 
37         SO0        1     32         1          25         1          0.000000804663 
38         SO0        1     32         1          25         1          0.000000715256 
39         SO0        1     32         1          25         1          0.000000685453 
40         SO0        1     32         1          25         1          0.000000678003 
41         SO0        1     32         1          25         1          0.000001698732 
42         SO0        1     32         1          25         1          0.000002317131 
43         SO0        1     32         1          25         1          0.000000804663 
44         SO0        1     32         1          25         1          0.000000625849 
45         SO0        1     32         1          25         1          0.000000633299 
46         SO0        1     32         1          25         1          0.000000625849 
47         SO0        1     32         1          25         1          0.000002123415 
48         SO0        1     32         1          25         1          0.000001139939 
49         SO0        1     32         1          25         1          0.000000916421 
50         SO0        1     32         1          25         1          0.000000819564 
51         SO0        1     32         1          25         1          0.000000648201 
52         SO0        1     64         1          25         1          0.000002883375 
53         SO0        1     64         1          25         1          0.000002644956 
54         SO0        1     64         1          25         1          0.000002592802 
55         SO0        1     64         1          25         1          0.000002466142 
56         SO0        1     64         1          25         1          0.000005796552 
57         SO0        1     64         1          25         1          0.000004187226 
58         SO0        1     64         1          25         1          0.000004403293 
59         SO0        1     64         1          25         1          0.000003449619 
60         SO0        1     64         1          25         1          0.000003248453 
61         SO0        1     64         1          25         1          0.000004224479 
62         SO0        1     64         1          25         1          0.000003129244 
63         SO0        1     64         1          25         1          0.000003315508 
64         SO0        1     64         1          25         1          0.000002883375 
65         SO0        1     64         1          25         1          0.000003397465 
66         SO0        1     64         1          25         1          0.000002980232 
67         SO0        1     64         1          25         1          0.000003345311 
68         SO0        1     64         1          25         1          0.000003263354 
69         SO0        1     64         1          25         1          0.000002913177 
70         SO0        1     64         1          25         1          0.000003203750 
71         SO0        1     64         1          25         1          0.000002734363 
72         SO0        1     64         1          25         1          0.000002712011 
73         SO0        1     64         1          25         1          0.000002652407 
74         SO0        1     64         1          25         1          0.000002525747 
75         SO0        1     64         1          25         1          0.000002600253 
76         SO0        1     64         1          25         1          0.000003010035 
77         SO0        1     128        1          25         1          0.000011838973 
78         SO0        1     128        1          25         1          0.000013329089 
79         SO0        1     128        1          25         1          0.000012479722 
80         SO0        1     128        1          25         1          0.000011585653 
81         SO0        1     128        1          25         1          0.000011794269 
82         SO0        1     128        1          25         1          0.000012263656 
83         SO0        1     128        1          25         1          0.000012084842 
84         SO0        1     128        1          25         1          0.000031143427 
85         SO0        1     128        1          25         1          0.000020526350 
86         SO0        1     128        1          25         1          0.000015191734 
87         SO0        1     128        1          25         1          0.000013552606 
88         SO0        1     128        1          25         1          0.000011779368 
89         SO0        1     128        1          25         1          0.000012256205 
90         SO0        1     128        1          25         1          0.000012241304 
91         SO0        1     128        1          25         1          0.000047378242 
92         SO0        1     128        1          25         1          0.000018328428 
93         SO0        1     128        1          25         1          0.000011339784 
94         SO0        1     128        1          25         1          0.000011906028 
95         SO0        1     128        1          25         1          0.000011630356 
96         SO0        1     128        1          25         1          0.000011399388 
97         SO0        1     128        1          25         1          0.000011183321 
98         SO0        1     128        1          25         1          0.000011473894 
99         SO0        1     128        1          25         1          0.000049330294 
100        SO0        1     128        1          25         1          0.000020407140 
101        SO0        1     128        1          25         1          0.000013180077 
