N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000000554137 
2          SO0        1     16         1          25         1          0.000000566710 
3          SO0        1     16         1          25         1          0.000000407919 
4          SO0        1     16         1          25         1          0.000000502914 
5          SO0        1     16         1          25         1          0.000000209082 
6          SO0        1     16         1          25         1          0.000000387896 
7          SO0        1     16         1          25         1          0.000000465196 
8          SO0        1     16         1          25         1          0.000000385102 
9          SO0        1     16         1          25         1          0.000000216067 
10         SO0        1     16         1          25         1          0.000000205822 
11         SO0        1     16         1          25         1          0.000000216067 
12         SO0        1     16         1          25         1          0.000000212807 
13         SO0        1     16         1          25         1          0.000000340864 
14         SO0        1     16         1          25         1          0.000000571832 
15         SO0        1     16         1          25         1          0.000000561122 
16         SO0        1     16         1          25         1          0.000000400934 
17         SO0        1     16         1          25         1          0.000000263099 
18         SO0        1     16         1          25         1          0.000000250991 
19         SO0        1     16         1          25         1          0.000000210013 
20         SO0        1     16         1          25         1          0.000000214670 
21         SO0        1     16         1          25         1          0.000000488944 
22         SO0        1     16         1          25         1          0.000000205822 
23         SO0        1     16         1          25         1          0.000000734814 
24         SO0        1     16         1          25         1          0.000000229105 
25         SO0        1     16         1          25         1          0.000000214204 
26         SO0        1     32         1          25         1          0.000000854954 
27         SO0        1     32         1          25         1          0.000000902917 
28         SO0        1     32         1          25         1          0.000000777654 
29         SO0        1     32         1          25         1          0.000001573004 
30         SO0        1     32         1          25         1          0.000000720844 
31         SO0        1     32         1          25         1          0.000000673812 
32         SO0        1     32         1          25         1          0.000000681728 
33         SO0        1     32         1          25         1          0.000001498964 
34         SO0        1     32         1          25         1          0.000001084991 
35         SO0        1     32         1          25         1          0.000002344139 
36         SO0        1     32         1          25         1          0.000001943205 
37         SO0        1     32         1          25         1          0.000001745299 
38         SO0        1     32         1          25         1          0.000001058914 
39         SO0        1     32         1          25         1          0.000002811663 
40         SO0        1     32         1          25         1          0.000001784880 
41         SO0        1     32         1          25         1          0.000001064967 
42         SO0        1     32         1          25         1          0.000000937376 
