N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4277       OMPGLBBB   7     16         1          25         2          0.000014669262 
4278       OMPGLBBB   7     16         1          25         2          0.000020449050 
4279       OMPGLBBB   7     16         1          25         2          0.000018906780 
4280       OMPGLBBB   7     16         1          25         2          0.000018563122 
4281       OMPGLBBB   7     16         1          25         2          0.000018469989 
4282       OMPGLBBB   7     16         1          25         2          0.000018437859 
4283       OMPGLBBB   7     16         1          25         2          0.000012373086 
4284       OMPGLBBB   7     16         1          25         2          0.000018438790 
4285       OMPGLBBB   7     16         1          25         2          0.000018429942 
4286       OMPGLBBB   7     16         1          25         2          0.000011845957 
4287       OMPGLBBB   7     16         1          25         2          0.000018712133 
4288       OMPGLBBB   7     16         1          25         2          0.000018639956 
4289       OMPGLBBB   7     16         1          25         2          0.000018816907 
4290       OMPGLBBB   7     16         1          25         2          0.000017744023 
4291       OMPGLBBB   7     16         1          25         2          0.000019043218 
4292       OMPGLBBB   7     16         1          25         2          0.000018292107 
4293       OMPGLBBB   7     16         1          25         2          0.000018193386 
4294       OMPGLBBB   7     16         1          25         2          0.000018195249 
4295       OMPGLBBB   7     16         1          25         2          0.000012076925 
4296       OMPGLBBB   7     16         1          25         2          0.000011976808 
4297       OMPGLBBB   7     16         1          25         2          0.000018491875 
4298       OMPGLBBB   7     16         1          25         2          0.000018700957 
4299       OMPGLBBB   7     16         1          25         2          0.000018689781 
4300       OMPGLBBB   7     16         1          25         2          0.000018517021 
4301       OMPGLBBB   7     16         1          25         2          0.000019118655 
4302       OMPGLBBB   7     16         1          25         4          0.000012180768 
4303       OMPGLBBB   7     16         1          25         4          0.000018902123 
4304       OMPGLBBB   7     16         1          25         4          0.000030125026 
4305       OMPGLBBB   7     16         1          25         4          0.000027257949 
4306       OMPGLBBB   7     16         1          25         4          0.000031009782 
4307       OMPGLBBB   7     16         1          25         4          0.000028471928 
4308       OMPGLBBB   7     16         1          25         4          0.000020448118 
4309       OMPGLBBB   7     16         1          25         4          0.000021228101 
4310       OMPGLBBB   7     16         1          25         4          0.000029688235 
4311       OMPGLBBB   7     16         1          25         4          0.000030465890 
4312       OMPGLBBB   7     16         1          25         4          0.000018697698 
4313       OMPGLBBB   7     16         1          25         4          0.000029970892 
4314       OMPGLBBB   7     16         1          25         4          0.000029210933 
4315       OMPGLBBB   7     16         1          25         4          0.000031668227 
4316       OMPGLBBB   7     16         1          25         4          0.000029549003 
4317       OMPGLBBB   7     16         1          25         4          0.000030526426 
4318       OMPGLBBB   7     16         1          25         4          0.000029354822 
4319       OMPGLBBB   7     16         1          25         4          0.000031786971 
4320       OMPGLBBB   7     16         1          25         4          0.000029242132 
4321       OMPGLBBB   7     16         1          25         4          0.000031514093 
4322       OMPGLBBB   7     16         1          25         4          0.000028754584 
4323       OMPGLBBB   7     16         1          25         4          0.000028505921 
4324       OMPGLBBB   7     16         1          25         4          0.000034119934 
4325       OMPGLBBB   7     16         1          25         4          0.000017850194 
4326       OMPGLBBB   7     16         1          25         4          0.000030058902 
4327       OMPGLBBB   7     16         1          25         8          0.000015075319 
4328       OMPGLBBB   7     16         1          25         8          0.000026999041 
4329       OMPGLBBB   7     16         1          25         8          0.000026650261 
4330       OMPGLBBB   7     16         1          25         8          0.000026619993 
4331       OMPGLBBB   7     16         1          25         8          0.000025087968 
4332       OMPGLBBB   7     16         1          25         8          0.000026657712 
4333       OMPGLBBB   7     16         1          25         8          0.000024687964 
4334       OMPGLBBB   7     16         1          25         8          0.000022393186 
4335       OMPGLBBB   7     16         1          25         8          0.000026410911 
4336       OMPGLBBB   7     16         1          25         8          0.000024040695 
4337       OMPGLBBB   7     16         1          25         8          0.000023225788 
4338       OMPGLBBB   7     16         1          25         8          0.000026710797 
4339       OMPGLBBB   7     16         1          25         8          0.000026967842 
4340       OMPGLBBB   7     16         1          25         8          0.000025232323 
4341       OMPGLBBB   7     16         1          25         8          0.000024463981 
4342       OMPGLBBB   7     16         1          25         8          0.000025351066 
4343       OMPGLBBB   7     16         1          25         8          0.000023679342 
4344       OMPGLBBB   7     16         1          25         8          0.000026833732 
4345       OMPGLBBB   7     16         1          25         8          0.000023790635 
4346       OMPGLBBB   7     16         1          25         8          0.000023987144 
4347       OMPGLBBB   7     16         1          25         8          0.000024159905 
4348       OMPGLBBB   7     16         1          25         8          0.000024172012 
4349       OMPGLBBB   7     16         1          25         8          0.000038614031 
4350       OMPGLBBB   7     16         1          25         8          0.000024798326 
4351       OMPGLBBB   7     16         1          25         8          0.000023799017 
4352       OMPGLBBB   7     16         1          25         16         0.000020752195 
4353       OMPGLBBB   7     16         1          25         16         0.000037350692 
4354       OMPGLBBB   7     16         1          25         16         0.000036981888 
4355       OMPGLBBB   7     16         1          25         16         0.000042967033 
4356       OMPGLBBB   7     16         1          25         16         0.000038424972 
4357       OMPGLBBB   7     16         1          25         16         0.000038801692 
4358       OMPGLBBB   7     16         1          25         16         0.000040166080 
