N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2927       OMPGLBWS   5     16         1          25         2          0.000009581912 
2928       OMPGLBWS   5     16         1          25         2          0.000012775883 
2929       OMPGLBWS   5     16         1          25         2          0.000011945143 
2930       OMPGLBWS   5     16         1          25         2          0.000012223143 
2931       OMPGLBWS   5     16         1          25         2          0.000012043864 
2932       OMPGLBWS   5     16         1          25         2          0.000012005214 
2933       OMPGLBWS   5     16         1          25         2          0.000010785181 
2934       OMPGLBWS   5     16         1          25         2          0.000013191719 
2935       OMPGLBWS   5     16         1          25         2          0.000021595042 
2936       OMPGLBWS   5     16         1          25         2          0.000014439691 
2937       OMPGLBWS   5     16         1          25         2          0.000011825003 
2938       OMPGLBWS   5     16         1          25         2          0.000012234319 
2939       OMPGLBWS   5     16         1          25         2          0.000015317928 
2940       OMPGLBWS   5     16         1          25         2          0.000014070887 
2941       OMPGLBWS   5     16         1          25         2          0.000013957266 
2942       OMPGLBWS   5     16         1          25         2          0.000014615245 
2943       OMPGLBWS   5     16         1          25         2          0.000014777761 
2944       OMPGLBWS   5     16         1          25         2          0.000013027806 
2945       OMPGLBWS   5     16         1          25         2          0.000013513025 
2946       OMPGLBWS   5     16         1          25         2          0.000014445279 
2947       OMPGLBWS   5     16         1          25         2          0.000015873928 
2948       OMPGLBWS   5     16         1          25         2          0.000017982908 
2949       OMPGLBWS   5     16         1          25         2          0.000014187768 
2950       OMPGLBWS   5     16         1          25         2          0.000013015233 
2951       OMPGLBWS   5     16         1          25         2          0.000011547003 
2952       OMPGLBWS   5     16         1          25         4          0.000011865050 
2953       OMPGLBWS   5     16         1          25         4          0.000025255140 
2954       OMPGLBWS   5     16         1          25         4          0.000022750814 
2955       OMPGLBWS   5     16         1          25         4          0.000020170584 
2956       OMPGLBWS   5     16         1          25         4          0.000020530075 
2957       OMPGLBWS   5     16         1          25         4          0.000018694904 
2958       OMPGLBWS   5     16         1          25         4          0.000019396190 
2959       OMPGLBWS   5     16         1          25         4          0.000021076761 
2960       OMPGLBWS   5     16         1          25         4          0.000019952189 
2961       OMPGLBWS   5     16         1          25         4          0.000022967812 
2962       OMPGLBWS   5     16         1          25         4          0.000022978056 
2963       OMPGLBWS   5     16         1          25         4          0.000022685155 
2964       OMPGLBWS   5     16         1          25         4          0.000023767352 
2965       OMPGLBWS   5     16         1          25         4          0.000025470741 
2966       OMPGLBWS   5     16         1          25         4          0.000019180123 
2967       OMPGLBWS   5     16         1          25         4          0.000022127759 
2968       OMPGLBWS   5     16         1          25         4          0.000021643937 
2969       OMPGLBWS   5     16         1          25         4          0.000025165267 
2970       OMPGLBWS   5     16         1          25         4          0.000022750814 
