N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000000554137 
3          SO0        1     16         1          25         1          0.000000566710 
4          SO0        1     16         1          25         1          0.000000407919 
5          SO0        1     16         1          25         1          0.000000502914 
6          SO0        1     16         1          25         1          0.000000209082 
7          SO0        1     16         1          25         1          0.000000387896 
8          SO0        1     16         1          25         1          0.000000465196 
9          SO0        1     16         1          25         1          0.000000385102 
10         SO0        1     16         1          25         1          0.000000216067 
11         SO0        1     16         1          25         1          0.000000205822 
12         SO0        1     16         1          25         1          0.000000216067 
13         SO0        1     16         1          25         1          0.000000212807 
14         SO0        1     16         1          25         1          0.000000340864 
15         SO0        1     16         1          25         1          0.000000571832 
16         SO0        1     16         1          25         1          0.000000561122 
17         SO0        1     16         1          25         1          0.000000400934 
18         SO0        1     16         1          25         1          0.000000263099 
19         SO0        1     16         1          25         1          0.000000250991 
20         SO0        1     16         1          25         1          0.000000210013 
21         SO0        1     16         1          25         1          0.000000214670 
22         SO0        1     16         1          25         1          0.000000488944 
23         SO0        1     16         1          25         1          0.000000205822 
24         SO0        1     16         1          25         1          0.000000734814 
25         SO0        1     16         1          25         1          0.000000229105 
26         SO0        1     16         1          25         1          0.000000214204 
27         SO0        1     32         1          25         1          0.000000854954 
28         SO0        1     32         1          25         1          0.000000902917 
29         SO0        1     32         1          25         1          0.000000777654 
30         SO0        1     32         1          25         1          0.000001573004 
31         SO0        1     32         1          25         1          0.000000720844 
32         SO0        1     32         1          25         1          0.000000673812 
33         SO0        1     32         1          25         1          0.000000681728 
34         SO0        1     32         1          25         1          0.000001498964 
35         SO0        1     32         1          25         1          0.000001084991 
36         SO0        1     32         1          25         1          0.000002344139 
37         SO0        1     32         1          25         1          0.000001943205 
38         SO0        1     32         1          25         1          0.000001745299 
39         SO0        1     32         1          25         1          0.000001058914 
40         SO0        1     32         1          25         1          0.000002811663 
41         SO0        1     32         1          25         1          0.000001784880 
42         SO0        1     32         1          25         1          0.000001064967 
43         SO0        1     32         1          25         1          0.000000937376 
44         SO0        1     32         1          25         1          0.000002049841 
45         SO0        1     32         1          25         1          0.000000825152 
46         SO0        1     32         1          25         1          0.000000868924 
47         SO0        1     32         1          25         1          0.000001532026 
48         SO0        1     32         1          25         1          0.000001064036 
49         SO0        1     32         1          25         1          0.000002877321 
50         SO0        1     32         1          25         1          0.000001954846 
51         SO0        1     32         1          25         1          0.000001661014 
52         SO0        1     64         1          25         1          0.000003170688 
53         SO0        1     64         1          25         1          0.000002898742 
54         SO0        1     64         1          25         1          0.000006554183 
55         SO0        1     64         1          25         1          0.000004617032 
56         SO0        1     64         1          25         1          0.000017225277 
57         SO0        1     64         1          25         1          0.000005532987 
58         SO0        1     64         1          25         1          0.000008649193 
59         SO0        1     64         1          25         1          0.000006555114 
60         SO0        1     64         1          25         1          0.000006705057 
61         SO0        1     64         1          25         1          0.000004022848 
62         SO0        1     64         1          25         1          0.000003458932 
63         SO0        1     64         1          25         1          0.000008750241 
64         SO0        1     64         1          25         1          0.000006075948 
65         SO0        1     64         1          25         1          0.000004431233 
66         SO0        1     64         1          25         1          0.000003096182 
67         SO0        1     64         1          25         1          0.000002933200 
68         SO0        1     64         1          25         1          0.000002666842 
69         SO0        1     64         1          25         1          0.000002620276 
70         SO0        1     64         1          25         1          0.000009014737 
71         SO0        1     64         1          25         1          0.000003125984 
72         SO0        1     64         1          25         1          0.000002720859 
73         SO0        1     64         1          25         1          0.000003006775 
74         SO0        1     64         1          25         1          0.000007783994 
75         SO0        1     64         1          25         1          0.000007336028 
76         SO0        1     64         1          25         1          0.000003237743 
77         SO0        1     128        1          25         1          0.000014252961 
78         SO0        1     128        1          25         1          0.000015493948 
79         SO0        1     128        1          25         1          0.000020419247 
80         SO0        1     128        1          25         1          0.000020474661 
81         SO0        1     128        1          25         1          0.000031047035 
82         SO0        1     128        1          25         1          0.000029489864 
83         SO0        1     128        1          25         1          0.000022726133 
84         SO0        1     128        1          25         1          0.000019575004 
85         SO0        1     128        1          25         1          0.000017196406 
86         SO0        1     128        1          25         1          0.000017446000 
87         SO0        1     128        1          25         1          0.000031096861 
88         SO0        1     128        1          25         1          0.000018286053 
89         SO0        1     128        1          25         1          0.000034082215 
90         SO0        1     128        1          25         1          0.000030786730 
91         SO0        1     128        1          25         1          0.000048697926 
92         SO0        1     128        1          25         1          0.000027570873 
93         SO0        1     128        1          25         1          0.000029514078 
94         SO0        1     128        1          25         1          0.000017039943 
95         SO0        1     128        1          25         1          0.000037733000 
96         SO0        1     128        1          25         1          0.000015369151 
97         SO0        1     128        1          25         1          0.000013098121 
98         SO0        1     128        1          25         1          0.000017402694 
99         SO0        1     128        1          25         1          0.000033008866 
100        SO0        1     128        1          25         1          0.000026111025 
101        SO0        1     128        1          25         1          0.000025305897 
102        SO0        1     256        1          25         1          0.000060885213 
103        SO0        1     256        1          25         1          0.000166689046 
104        SO0        1     256        1          25         1          0.000147614162 
105        SO0        1     256        1          25         1          0.000126709230 
106        SO0        1     256        1          25         1          0.000134838745 
107        SO0        1     256        1          25         1          0.000099444296 
108        SO0        1     256        1          25         1          0.000204362907 
109        SO0        1     256        1          25         1          0.000253026374 
110        SO0        1     256        1          25         1          0.000078415032 
111        SO0        1     256        1          25         1          0.000071358867 
112        SO0        1     256        1          25         1          0.000058493111 
113        SO0        1     256        1          25         1          0.000060722232 
114        SO0        1     256        1          25         1          0.000200839248 
115        SO0        1     256        1          25         1          0.000106052030 
116        SO0        1     256        1          25         1          0.000283565838 
117        SO0        1     256        1          25         1          0.000078880694 
118        SO0        1     256        1          25         1          0.000101665966 
119        SO0        1     256        1          25         1          0.000120453071 
120        SO0        1     256        1          25         1          0.000125468709 
121        SO0        1     256        1          25         1          0.000127948821 
122        SO0        1     256        1          25         1          0.000128779095 
123        SO0        1     256        1          25         1          0.000132391229 
124        SO0        1     256        1          25         1          0.000226730015 
125        SO0        1     256        1          25         1          0.000191426836 
126        SO0        1     256        1          25         1          0.000247269869 
127        SO0        1     512        1          25         1          0.000430610031 
128        SO0        1     512        1          25         1          0.000434529036 
129        SO0        1     512        1          25         1          0.000409931876 
130        SO0        1     512        1          25         1          0.000421889126 
131        SO0        1     512        1          25         1          0.000651662704 
132        SO0        1     512        1          25         1          0.000444680918 
133        SO0        1     512        1          25         1          0.000439848285 
134        SO0        1     512        1          25         1          0.000714541879 
135        SO0        1     512        1          25         1          0.000737860333 
136        SO0        1     512        1          25         1          0.000730875880 
137        SO0        1     512        1          25         1          0.000725898892 
138        SO0        1     512        1          25         1          0.000709503889 
139        SO0        1     512        1          25         1          0.000423750840 
140        SO0        1     512        1          25         1          0.000421299133 
141        SO0        1     512        1          25         1          0.000411376823 
142        SO0        1     512        1          25         1          0.000409490429 
143        SO0        1     512        1          25         1          0.000415304676 
144        SO0        1     512        1          25         1          0.000413351227 
145        SO0        1     512        1          25         1          0.000409611035 
146        SO0        1     512        1          25         1          0.000420812052 
147        SO0        1     512        1          25         1          0.000806464348 
148        SO0        1     512        1          25         1          0.000708810985 
149        SO0        1     512        1          25         1          0.000771004241 
150        SO0        1     512        1          25         1          0.000796414912 
151        SO0        1     512        1          25         1          0.000803849194 
152        SO0        1     1024       1          25         1          0.003756221849 
153        SO0        1     1024       1          25         1          0.002064945642 
154        SO0        1     1024       1          25         1          0.001789600123 
155        SO0        1     1024       1          25         1          0.002252225298 
156        SO0        1     1024       1          25         1          0.002406566869 
157        SO0        1     1024       1          25         1          0.003882637713 
158        SO0        1     1024       1          25         1          0.003915879875 
159        SO0        1     1024       1          25         1          0.003849983215 
160        SO0        1     1024       1          25         1          0.002140202094 
161        SO0        1     1024       1          25         1          0.002125425264 
162        SO0        1     1024       1          25         1          0.003381733783 
163        SO0        1     1024       1          25         1          0.001937875990 
164        SO0        1     1024       1          25         1          0.003877111711 
165        SO0        1     1024       1          25         1          0.003899489064 
166        SO0        1     1024       1          25         1          0.003897237591 
167        SO0        1     1024       1          25         1          0.003681241069 
168        SO0        1     1024       1          25         1          0.002128993161 
169        SO0        1     1024       1          25         1          0.001834798604 
170        SO0        1     1024       1          25         1          0.002221385948 
171        SO0        1     1024       1          25         1          0.003795949742 
172        SO0        1     1024       1          25         1          0.003900850657 
173        SO0        1     1024       1          25         1          0.003932677675 
174        SO0        1     1024       1          25         1          0.003873020876 
175        SO0        1     1024       1          25         1          0.002087263856 
176        SO0        1     1024       1          25         1          0.001817059238 
177        SO0        1     2048       1          25         1          0.030671285931 
178        SO0        1     2048       1          25         1          0.028681661002 
179        SO0        1     2048       1          25         1          0.030972501729 
180        SO0        1     2048       1          25         1          0.028725680895 
181        SO0        1     2048       1          25         1          0.030749114230 
182        SO0        1     2048       1          25         1          0.029924818315 
183        SO0        1     2048       1          25         1          0.029918847140 
184        SO0        1     2048       1          25         1          0.030331136193 
185        SO0        1     2048       1          25         1          0.028629249893 
186        SO0        1     2048       1          25         1          0.030433793087 
187        SO0        1     2048       1          25         1          0.028747819830 
188        SO0        1     2048       1          25         1          0.030731487088 
189        SO0        1     2048       1          25         1          0.028826456983 
190        SO0        1     2048       1          25         1          0.030911128968 
191        SO0        1     2048       1          25         1          0.028956025373 
192        SO0        1     2048       1          25         1          0.030586184002 
193        SO0        1     2048       1          25         1          0.029192226939 
194        SO0        1     2048       1          25         1          0.030256807804 
195        SO0        1     2048       1          25         1          0.028442460112 
196        SO0        1     2048       1          25         1          0.030543783214 
197        SO0        1     2048       1          25         1          0.028400871903 
198        SO0        1     2048       1          25         1          0.030486311298 
199        SO0        1     2048       1          25         1          0.028335963842 
200        SO0        1     2048       1          25         1          0.030391031411 
201        SO0        1     2048       1          25         1          0.028919939883 
202        SO0        1     4096       1          25         1          0.140604855958 
203        SO0        1     4096       1          25         1          0.139423721936 
204        SO0        1     4096       1          25         1          0.137596732005 
205        SO0        1     4096       1          25         1          0.135527440812 
206        SO0        1     4096       1          25         1          0.134585633874 
207        SO0        1     4096       1          25         1          0.137419494800 
208        SO0        1     4096       1          25         1          0.140519112814 
209        SO0        1     4096       1          25         1          0.140100422315 
210        SO0        1     4096       1          25         1          0.136416085064 
211        SO0        1     4096       1          25         1          0.134501156397 
212        SO0        1     4096       1          25         1          0.137417995837 
213        SO0        1     4096       1          25         1          0.139846547972 
214        SO0        1     4096       1          25         1          0.139993078075 
215        SO0        1     4096       1          25         1          0.137583328877 
216        SO0        1     4096       1          25         1          0.135381110944 
217        SO0        1     4096       1          25         1          0.136804768816 
218        SO0        1     4096       1          25         1          0.136766606010 
219        SO0        1     4096       1          25         1          0.139527861960 
220        SO0        1     4096       1          25         1          0.140197968110 
221        SO0        1     4096       1          25         1          0.139426764101 
222        SO0        1     4096       1          25         1          0.134960981086 
223        SO0        1     4096       1          25         1          0.135537456255 
224        SO0        1     4096       1          25         1          0.138212205842 
225        SO0        1     4096       1          25         1          0.140041944571 
226        SO0        1     4096       1          25         1          0.139463519212 
227        OMPLOCWS   4     16         1          25         1          0.000004838221 
228        OMPLOCWS   4     16         1          25         1          0.000004197005 
229        OMPLOCWS   4     16         1          25         1          0.000003299210 
230        OMPLOCWS   4     16         1          25         1          0.000003274996 
231        OMPLOCWS   4     16         1          25         1          0.000003281049 
232        OMPLOCWS   4     16         1          25         1          0.000003288966 
233        OMPLOCWS   4     16         1          25         1          0.000003318768 
234        OMPLOCWS   4     16         1          25         1          0.000006664079 
235        OMPLOCWS   4     16         1          25         1          0.000006219838 
236        OMPLOCWS   4     16         1          25         1          0.000007286668 
237        OMPLOCWS   4     16         1          25         1          0.000007336959 
238        OMPLOCWS   4     16         1          25         1          0.000007223804 
239        OMPLOCWS   4     16         1          25         1          0.000007273164 
240        OMPLOCWS   4     16         1          25         1          0.000007658266 
241        OMPLOCWS   4     16         1          25         1          0.000007426832 
242        OMPLOCWS   4     16         1          25         1          0.000006163958 
243        OMPLOCWS   4     16         1          25         1          0.000007174909 
244        OMPLOCWS   4     16         1          25         1          0.000007067807 
245        OMPLOCWS   4     16         1          25         1          0.000007187948 
246        OMPLOCWS   4     16         1          25         1          0.000007355120 
247        OMPLOCWS   4     16         1          25         1          0.000006572343 
248        OMPLOCWS   4     16         1          25         1          0.000006722752 
249        OMPLOCWS   4     16         1          25         1          0.000006477814 
250        OMPLOCWS   4     16         1          25         1          0.000003437046 
251        OMPLOCWS   4     16         1          25         1          0.000003275927 
252        OMPGLBWS   5     16         1          25         1          0.000002481975 
253        OMPGLBWS   5     16         1          25         1          0.000003066845 
254        OMPGLBWS   5     16         1          25         1          0.000003011432 
255        OMPGLBWS   5     16         1          25         1          0.000002956949 
256        OMPGLBWS   5     16         1          25         1          0.000002958812 
257        OMPGLBWS   5     16         1          25         1          0.000003176741 
258        OMPGLBWS   5     16         1          25         1          0.000003030058 
259        OMPGLBWS   5     16         1          25         1          0.000002971850 
260        OMPGLBWS   5     16         1          25         1          0.000003068242 
261        OMPGLBWS   5     16         1          25         1          0.000003141817 
262        OMPGLBWS   5     16         1          25         1          0.000002967194 
263        OMPGLBWS   5     16         1          25         1          0.000002958812 
264        OMPGLBWS   5     16         1          25         1          0.000002936926 
265        OMPGLBWS   5     16         1          25         1          0.000005575828 
266        OMPGLBWS   5     16         1          25         1          0.000005314127 
267        OMPGLBWS   5     16         1          25         1          0.000006315764 
268        OMPGLBWS   5     16         1          25         1          0.000004907139 
269        OMPGLBWS   5     16         1          25         1          0.000005404931 
270        OMPGLBWS   5     16         1          25         1          0.000005343929 
271        OMPGLBWS   5     16         1          25         1          0.000005333219 
272        OMPGLBWS   5     16         1          25         1          0.000005870126 
273        OMPGLBWS   5     16         1          25         1          0.000005113892 
274        OMPGLBWS   5     16         1          25         1          0.000005308073 
275        OMPGLBWS   5     16         1          25         1          0.000006743707 
276        OMPGLBWS   5     16         1          25         1          0.000006165821 
277        OMPLOCBB   6     16         1          25         1          0.000004252885 
278        OMPLOCBB   6     16         1          25         1          0.000004722737 
279        OMPLOCBB   6     16         1          25         1          0.000004494097 
280        OMPLOCBB   6     16         1          25         1          0.000003420282 
281        OMPLOCBB   6     16         1          25         1          0.000003393274 
282        OMPLOCBB   6     16         1          25         1          0.000003349036 
283        OMPLOCBB   6     16         1          25         1          0.000003374182 
284        OMPLOCBB   6     16         1          25         1          0.000003383029 
285        OMPLOCBB   6     16         1          25         1          0.000003458001 
286        OMPLOCBB   6     16         1          25         1          0.000003306195 
287        OMPLOCBB   6     16         1          25         1          0.000003749970 
288        OMPLOCBB   6     16         1          25         1          0.000003480818 
289        OMPLOCBB   6     16         1          25         1          0.000003417954 
290        OMPLOCBB   6     16         1          25         1          0.000003355090 
291        OMPLOCBB   6     16         1          25         1          0.000003385358 
292        OMPLOCBB   6     16         1          25         1          0.000003282912 
293        OMPLOCBB   6     16         1          25         1          0.000003375113 
294        OMPLOCBB   6     16         1          25         1          0.000005960930 
295        OMPLOCBB   6     16         1          25         1          0.000006509013 
