N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        MPIBLOCKOPT     4     16         1          25         4          0          0.000105762482  0.000030541420  0.29       7.22      %
102        MPIBLOCKOPT     4     16         1          25         16         0          0.000335574150  0.000030541420  0.09       0.57      %
103        MPIBLOCKOPT     4     16         1          25         32         0          0.000347781181  0.000030541420  0.09       0.27      %
104        MPIBLOCKOPT     4     16         1          25         64         0          0.000321722031  0.000030541420  0.09       0.15      %
106        MPIBLOCKOPT     4     32         1          25         4          0          0.000199174881  0.000047659874  0.24       5.98      %
107        MPIBLOCKOPT     4     32         1          25         16         0          0.000401592255  0.000047659874  0.12       0.74      %
109        MPIBLOCKOPT     4     64         1          25         4          0          0.000259494781  0.000120091438  0.46       11.57     %
110        MPIBLOCKOPT     4     64         1          25         16         0          0.000706529617  0.000120091438  0.17       1.06      %
111        MPIBLOCKOPT     4     64         1          25         64         0          0.000856113434  0.000120091438  0.14       0.22      %
113        MPIBLOCKOPT     4     128        1          25         4          0          0.000806045532  0.000446081161  0.55       13.84     %
114        MPIBLOCKOPT     4     128        1          25         16         0          0.001469016075  0.000446081161  0.30       1.90      %
115        MPIBLOCKOPT     4     128        1          25         64         0          0.001919031143  0.000446081161  0.23       0.36      %
117        MPIBLOCKOPT     4     256        1          25         4          0          0.001951861382  0.001687836647  0.86       21.62     %
118        MPIBLOCKOPT     4     256        1          25         16         0          0.003100156784  0.001687836647  0.54       3.40      %
119        MPIBLOCKOPT     4     256        1          25         64         0          0.003254890442  0.001687836647  0.52       0.81      %
121        MPIBLOCKOPT     4     512        1          25         4          0          0.003320121765  0.004935598373  1.49       37.16     %
122        MPIBLOCKOPT     4     512        1          25         16         0          0.006118321419  0.004935598373  0.81       5.04      %
123        MPIBLOCKOPT     4     512        1          25         64         0          0.006542181969  0.004935598373  0.75       1.18      %
125        MPIBLOCKOPT     4     1024       1          25         4          0          0.009104585648  0.015148043633  1.66       41.59     %
126        MPIBLOCKOPT     4     1024       1          25         16         0          0.018026089668  0.015148043633  0.84       5.25      %
127        MPIBLOCKOPT     4     1024       1          25         64         0          0.014074683189  0.015148043633  1.08       1.68      %
129        MPIBLOCKOPT     4     2048       1          25         4          0          0.035234451294  0.080321621895  2.28       56.99     %
130        MPIBLOCKOPT     4     2048       1          25         16         0          0.060375618935  0.080321621895  1.33       8.31      %
131        MPIBLOCKOPT     4     2048       1          25         64         0          0.042347455025  0.080321621895  1.90       2.96      %
133        MPIBLOCKOPT     4     4096       1          25         4          0          0.171872806549  0.404662728310  2.35       58.86     %
134        MPIBLOCKOPT     4     4096       1          25         16         0          0.203964161873  0.404662728310  1.98       12.40     %
135        MPIBLOCKOPT     4     4096       1          25         64         0          0.127641677856  0.404662728310  3.17       4.95      %
