N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
1          MPISG           2     16         1          25         0          1          0.000065088272 
2          MPISG           2     16         1          25         0          1          0.000025987625 
3          MPISG           2     16         1          25         0          1          0.000020265579 
4          MPISG           2     16         1          25         0          1          0.000015497208 
5          MPISG           2     16         1          25         0          1          0.000031471252 
6          MPISG           2     16         1          25         0          1          0.000015258789 
7          MPISG           2     16         1          25         0          1          0.000017642975 
8          MPISG           2     16         1          25         0          1          0.000023603439 
9          MPISG           2     16         1          25         0          1          0.000016212463 
10         MPISG           2     16         1          25         0          1          0.000015258789 
11         MPISG           2     16         1          25         0          1          0.000017166138 
12         MPISG           2     16         1          25         0          1          0.000014781952 
13         MPISG           2     16         1          25         0          1          0.000016689301 
14         MPISG           2     16         1          25         0          1          0.000016689301 
15         MPISG           2     16         1          25         0          1          0.000014543533 
16         MPISG           2     16         1          25         0          1          0.000014066696 
17         MPISG           2     16         1          25         0          1          0.000017166138 
18         MPISG           2     16         1          25         0          1          0.000014781952 
19         MPISG           2     16         1          25         0          1          0.000017404556 
20         MPISG           2     16         1          25         0          1          0.000017404556 
21         MPISG           2     16         1          25         0          1          0.000014543533 
22         MPISG           2     16         1          25         0          1          0.000017642975 
23         MPISG           2     16         1          25         0          1          0.000014781952 
24         MPISG           2     16         1          25         0          1          0.000017642975 
25         MPISG           2     16         1          25         0          1          0.000015258789 
26         MPISG           2     16         1          25         0          2          0.000160932541 
27         MPISG           2     16         1          25         0          2          0.000084877014 
28         MPISG           2     16         1          25         0          2          0.000093698502 
29         MPISG           2     16         1          25         0          2          0.000085830688 
30         MPISG           2     16         1          25         0          2          0.000041007996 
31         MPISG           2     16         1          25         0          2          0.000036001205 
32         MPISG           2     16         1          25         0          2          0.000034809113 
33         MPISG           2     16         1          25         0          2          0.000035524368 
34         MPISG           2     16         1          25         0          2          0.000032901764 
35         MPISG           2     16         1          25         0          2          0.000037670135 
36         MPISG           2     16         1          25         0          2          0.000031709671 
37         MPISG           2     16         1          25         0          2          0.000038146973 
38         MPISG           2     16         1          25         0          2          0.000032424927 
39         MPISG           2     16         1          25         0          2          0.000038623810 
40         MPISG           2     16         1          25         0          2          0.000035047531 
41         MPISG           2     16         1          25         0          2          0.000037193298 
42         MPISG           2     16         1          25         0          2          0.000031709671 
43         MPISG           2     16         1          25         0          2          0.000036716461 
44         MPISG           2     16         1          25         0          2          0.000051736832 
45         MPISG           2     16         1          25         0          2          0.000037193298 
46         MPISG           2     16         1          25         0          2          0.000031709671 
47         MPISG           2     16         1          25         0          2          0.000036954880 
48         MPISG           2     16         1          25         0          2          0.000031948090 
49         MPISG           2     16         1          25         0          2          0.000034332275 
50         MPISG           2     16         1          25         0          2          0.000032186508 
51         MPISG           2     16         1          25         0          4          0.000326871872 
52         MPISG           2     16         1          25         0          4          0.001365661621 
53         MPISG           2     16         1          25         0          4          0.000259399414 
54         MPISG           2     16         1          25         0          4          0.000247001648 
55         MPISG           2     16         1          25         0          4          0.000134229660 
56         MPISG           2     16         1          25         0          4          0.000088214874 
57         MPISG           2     16         1          25         0          4          0.000095844269 
