N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
2          MPISG           2     16         1          25         0          1          0.000065088272 
3          MPISG           2     16         1          25         0          1          0.000025987625 
4          MPISG           2     16         1          25         0          1          0.000020265579 
5          MPISG           2     16         1          25         0          1          0.000015497208 
6          MPISG           2     16         1          25         0          1          0.000031471252 
7          MPISG           2     16         1          25         0          1          0.000015258789 
8          MPISG           2     16         1          25         0          1          0.000017642975 
9          MPISG           2     16         1          25         0          1          0.000023603439 
10         MPISG           2     16         1          25         0          1          0.000016212463 
11         MPISG           2     16         1          25         0          1          0.000015258789 
12         MPISG           2     16         1          25         0          1          0.000017166138 
13         MPISG           2     16         1          25         0          1          0.000014781952 
14         MPISG           2     16         1          25         0          1          0.000016689301 
15         MPISG           2     16         1          25         0          1          0.000016689301 
16         MPISG           2     16         1          25         0          1          0.000014543533 
17         MPISG           2     16         1          25         0          1          0.000014066696 
18         MPISG           2     16         1          25         0          1          0.000017166138 
19         MPISG           2     16         1          25         0          1          0.000014781952 
20         MPISG           2     16         1          25         0          1          0.000017404556 
21         MPISG           2     16         1          25         0          1          0.000017404556 
22         MPISG           2     16         1          25         0          1          0.000014543533 
23         MPISG           2     16         1          25         0          1          0.000017642975 
24         MPISG           2     16         1          25         0          1          0.000014781952 
25         MPISG           2     16         1          25         0          1          0.000017642975 
26         MPISG           2     16         1          25         0          1          0.000015258789 
177        MPISG           2     32         1          25         0          1          0.000055789948 
178        MPISG           2     32         1          25         0          1          0.000017642975 
179        MPISG           2     32         1          25         0          1          0.000024557114 
180        MPISG           2     32         1          25         0          1          0.000024557114 
181        MPISG           2     32         1          25         0          1          0.000024318695 
182        MPISG           2     32         1          25         0          1          0.000025510788 
183        MPISG           2     32         1          25         0          1          0.000024318695 
184        MPISG           2     32         1          25         0          1          0.000024557114 
185        MPISG           2     32         1          25         0          1          0.000027179718 
186        MPISG           2     32         1          25         0          1          0.000025033951 
187        MPISG           2     32         1          25         0          1          0.000024080276 
188        MPISG           2     32         1          25         0          1          0.000024080276 
189        MPISG           2     32         1          25         0          1          0.000023841858 
190        MPISG           2     32         1          25         0          1          0.000026226044 
191        MPISG           2     32         1          25         0          1          0.000039339066 
192        MPISG           2     32         1          25         0          1          0.000024080276 
193        MPISG           2     32         1          25         0          1          0.000024318695 
194        MPISG           2     32         1          25         0          1          0.000027418137 
195        MPISG           2     32         1          25         0          1          0.000024318695 
196        MPISG           2     32         1          25         0          1          0.000024318695 
197        MPISG           2     32         1          25         0          1          0.000025033951 
198        MPISG           2     32         1          25         0          1          0.000025272369 
199        MPISG           2     32         1          25         0          1          0.000024318695 
200        MPISG           2     32         1          25         0          1          0.000025749207 
201        MPISG           2     32         1          25         0          1          0.000025033951 
352        MPISG           2     64         1          25         0          1          0.000116109848 
353        MPISG           2     64         1          25         0          1          0.000087976456 
354        MPISG           2     64         1          25         0          1          0.000077486038 
355        MPISG           2     64         1          25         0          1          0.000068664551 
356        MPISG           2     64         1          25         0          1          0.000069856644 
357        MPISG           2     64         1          25         0          1          0.000067710876 
358        MPISG           2     64         1          25         0          1          0.000067472458 
359        MPISG           2     64         1          25         0          1          0.000068426132 
360        MPISG           2     64         1          25         0          1          0.000072002411 
361        MPISG           2     64         1          25         0          1          0.000071287155 
362        MPISG           2     64         1          25         0          1          0.000072479248 
363        MPISG           2     64         1          25         0          1          0.000071525574 
364        MPISG           2     64         1          25         0          1          0.000075340271 
365        MPISG           2     64         1          25         0          1          0.000080823898 
366        MPISG           2     64         1          25         0          1          0.000076770782 
367        MPISG           2     64         1          25         0          1          0.000072956085 
368        MPISG           2     64         1          25         0          1          0.000071048737 
369        MPISG           2     64         1          25         0          1          0.000071048737 
370        MPISG           2     64         1          25         0          1          0.000071287155 
371        MPISG           2     64         1          25         0          1          0.000071287155 
372        MPISG           2     64         1          25         0          1          0.000071525574 
373        MPISG           2     64         1          25         0          1          0.000071287155 
374        MPISG           2     64         1          25         0          1          0.000070810318 
375        MPISG           2     64         1          25         0          1          0.000070810318 
376        MPISG           2     64         1          25         0          1          0.000071763992 
527        MPISG           2     128        1          25         0          1          0.000427484512 
528        MPISG           2     128        1          25         0          1          0.000252008438 
529        MPISG           2     128        1          25         0          1          0.000336885452 
530        MPISG           2     128        1          25         0          1          0.000355720520 
531        MPISG           2     128        1          25         0          1          0.000331401825 
532        MPISG           2     128        1          25         0          1          0.000338315964 
533        MPISG           2     128        1          25         0          1          0.000326156616 
534        MPISG           2     128        1          25         0          1          0.000334978104 
535        MPISG           2     128        1          25         0          1          0.000327110291 
536        MPISG           2     128        1          25         0          1          0.000339031219 
537        MPISG           2     128        1          25         0          1          0.000329732895 
538        MPISG           2     128        1          25         0          1          0.000339508057 
539        MPISG           2     128        1          25         0          1          0.000339508057 
540        MPISG           2     128        1          25         0          1          0.000325679779 
541        MPISG           2     128        1          25         0          1          0.000348091125 
542        MPISG           2     128        1          25         0          1          0.000345230103 
543        MPISG           2     128        1          25         0          1          0.000336647034 
544        MPISG           2     128        1          25         0          1          0.000332117081 
545        MPISG           2     128        1          25         0          1          0.000349998474 
546        MPISG           2     128        1          25         0          1          0.000330209732 
547        MPISG           2     128        1          25         0          1          0.000359296799 
548        MPISG           2     128        1          25         0          1          0.000350475311 
549        MPISG           2     128        1          25         0          1          0.000340700150 
550        MPISG           2     128        1          25         0          1          0.000344276428 
551        MPISG           2     128        1          25         0          1          0.000339031219 
702        MPISG           2     256        1          25         0          1          0.001147747040 
703        MPISG           2     256        1          25         0          1          0.001401662827 
704        MPISG           2     256        1          25         0          1          0.001384973526 
705        MPISG           2     256        1          25         0          1          0.001399278641 
706        MPISG           2     256        1          25         0          1          0.001376152039 
707        MPISG           2     256        1          25         0          1          0.001392364502 
708        MPISG           2     256        1          25         0          1          0.001384973526 
709        MPISG           2     256        1          25         0          1          0.001310586929 
710        MPISG           2     256        1          25         0          1          0.001336812973 
711        MPISG           2     256        1          25         0          1          0.001342773438 
712        MPISG           2     256        1          25         0          1          0.001381874084 
713        MPISG           2     256        1          25         0          1          0.001355171204 
714        MPISG           2     256        1          25         0          1          0.001307964325 
715        MPISG           2     256        1          25         0          1          0.001354217529 
716        MPISG           2     256        1          25         0          1          0.001368284225 
717        MPISG           2     256        1          25         0          1          0.001348733902 
718        MPISG           2     256        1          25         0          1          0.001347780228 
719        MPISG           2     256        1          25         0          1          0.001416683197 
720        MPISG           2     256        1          25         0          1          0.001386404037 
721        MPISG           2     256        1          25         0          1          0.001365661621 
722        MPISG           2     256        1          25         0          1          0.001355171204 
723        MPISG           2     256        1          25         0          1          0.001355648041 
724        MPISG           2     256        1          25         0          1          0.001363515854 
725        MPISG           2     256        1          25         0          1          0.001362323761 
726        MPISG           2     256        1          25         0          1          0.001353740692 
877        MPISG           2     512        1          25         0          1          0.003606796265 
878        MPISG           2     512        1          25         0          1          0.003138065338 
879        MPISG           2     512        1          25         0          1          0.003262519836 
880        MPISG           2     512        1          25         0          1          0.004939079285 
881        MPISG           2     512        1          25         0          1          0.004042387009 
882        MPISG           2     512        1          25         0          1          0.004109859467 
883        MPISG           2     512        1          25         0          1          0.003189086914 
884        MPISG           2     512        1          25         0          1          0.003315925598 
885        MPISG           2     512        1          25         0          1          0.003938674927 
886        MPISG           2     512        1          25         0          1          0.004772424698 
887        MPISG           2     512        1          25         0          1          0.004786252975 
888        MPISG           2     512        1          25         0          1          0.005127906799 
889        MPISG           2     512        1          25         0          1          0.003211498260 
890        MPISG           2     512        1          25         0          1          0.003867864609 
891        MPISG           2     512        1          25         0          1          0.003295421600 
892        MPISG           2     512        1          25         0          1          0.006159305573 
893        MPISG           2     512        1          25         0          1          0.005045652390 
894        MPISG           2     512        1          25         0          1          0.003455400467 
895        MPISG           2     512        1          25         0          1          0.004415750504 
896        MPISG           2     512        1          25         0          1          0.003871440887 
897        MPISG           2     512        1          25         0          1          0.004414081573 
898        MPISG           2     512        1          25         0          1          0.003355503082 
899        MPISG           2     512        1          25         0          1          0.004524707794 
900        MPISG           2     512        1          25         0          1          0.004060983658 
901        MPISG           2     512        1          25         0          1          0.003752946854 
1052       MPISG           2     1024       1          25         0          1          0.014786481857 
1053       MPISG           2     1024       1          25         0          1          0.014183044434 
1054       MPISG           2     1024       1          25         0          1          0.014319419861 
1055       MPISG           2     1024       1          25         0          1          0.012952804565 
1056       MPISG           2     1024       1          25         0          1          0.013151407242 
1057       MPISG           2     1024       1          25         0          1          0.012731552124 
1058       MPISG           2     1024       1          25         0          1          0.013112306595 
1059       MPISG           2     1024       1          25         0          1          0.012773036957 
1060       MPISG           2     1024       1          25         0          1          0.013031959534 
1061       MPISG           2     1024       1          25         0          1          0.013816356659 
1062       MPISG           2     1024       1          25         0          1          0.013880729675 
1063       MPISG           2     1024       1          25         0          1          0.013617992401 
1064       MPISG           2     1024       1          25         0          1          0.012055635452 
1065       MPISG           2     1024       1          25         0          1          0.012336492538 
1066       MPISG           2     1024       1          25         0          1          0.013867616653 
1067       MPISG           2     1024       1          25         0          1          0.013958454132 
1068       MPISG           2     1024       1          25         0          1          0.014476537704 
1069       MPISG           2     1024       1          25         0          1          0.014136552811 
1070       MPISG           2     1024       1          25         0          1          0.013981103897 
1071       MPISG           2     1024       1          25         0          1          0.013870477676 
1072       MPISG           2     1024       1          25         0          1          0.014467477798 
1073       MPISG           2     1024       1          25         0          1          0.013820886612 
1074       MPISG           2     1024       1          25         0          1          0.014146089554 
1075       MPISG           2     1024       1          25         0          1          0.012713193893 
1076       MPISG           2     1024       1          25         0          1          0.012708902359 
1227       MPISG           2     2048       1          25         0          1          0.067378759384 
1228       MPISG           2     2048       1          25         0          1          0.067906379700 
1229       MPISG           2     2048       1          25         0          1          0.063033103943 
1230       MPISG           2     2048       1          25         0          1          0.061797142029 
1231       MPISG           2     2048       1          25         0          1          0.062696456909 
1232       MPISG           2     2048       1          25         0          1          0.063346385956 
1233       MPISG           2     2048       1          25         0          1          0.064588546753 
1234       MPISG           2     2048       1          25         0          1          0.065540552139 
1235       MPISG           2     2048       1          25         0          1          0.069475173950 
1236       MPISG           2     2048       1          25         0          1          0.068981170654 
1237       MPISG           2     2048       1          25         0          1          0.069631338120 
1238       MPISG           2     2048       1          25         0          1          0.068692445755 
1239       MPISG           2     2048       1          25         0          1          0.070834875107 
1240       MPISG           2     2048       1          25         0          1          0.070275545120 
1241       MPISG           2     2048       1          25         0          1          0.072294950485 
1242       MPISG           2     2048       1          25         0          1          0.070619821548 
1243       MPISG           2     2048       1          25         0          1          0.070245027542 
1244       MPISG           2     2048       1          25         0          1          0.070946216583 
1245       MPISG           2     2048       1          25         0          1          0.072869539261 
1246       MPISG           2     2048       1          25         0          1          0.070561647415 
1247       MPISG           2     2048       1          25         0          1          0.072022438049 
1248       MPISG           2     2048       1          25         0          1          0.070919275284 
1249       MPISG           2     2048       1          25         0          1          0.056066513062 
1250       MPISG           2     2048       1          25         0          1          0.055960178375 
1251       MPISG           2     2048       1          25         0          1          0.072102069855 
1402       MPISG           2     4096       1          25         0          1          0.312219142914 
1403       MPISG           2     4096       1          25         0          1          0.349804878235 
1404       MPISG           2     4096       1          25         0          1          0.367023706436 
1405       MPISG           2     4096       1          25         0          1          0.345132589340 
1406       MPISG           2     4096       1          25         0          1          0.361639976501 
1407       MPISG           2     4096       1          25         0          1          0.354176998138 
1408       MPISG           2     4096       1          25         0          1          0.348941087723 
1409       MPISG           2     4096       1          25         0          1          0.331679105759 
1410       MPISG           2     4096       1          25         0          1          0.362445831299 
