N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
47         I2         2     16         1          25         1          0.000000567734  0.000000230223  0.41       40.55     %
48         I2         2     32         1          25         1          0.000001212209  0.000000836700  0.69       69.02     %
49         I2         2     64         1          25         1          0.000003390014  0.000003024936  0.89       89.23     %
50         I2         2     128        1          25         1          0.000012591481  0.000012337416  0.98       97.98     %
51         I2         2     256        1          25         1          0.000048455596  0.000065878034  1.36       135.96    %
52         I2         2     512        1          25         1          0.000213990360  0.000415324420  1.94       194.09    %
53         I2         2     1024       1          25         1          0.001017941535  0.002067323774  2.03       203.09    %
54         I2         2     2048       1          25         1          0.009261650592  0.027724233270  2.99       299.34    %
55         I2         2     4096       1          25         1          0.048215977103  0.124850741029  2.59       258.94    %
56         I2FTV      2     16         1          25         1          0.000000604987  0.000000230223  0.38       38.05     %
57         I2FTV      2     32         1          25         1          0.000001110137  0.000000836700  0.75       75.37     %
58         I2FTV      2     64         1          25         1          0.000003287941  0.000003024936  0.92       92.00     %
59         I2FTV      2     128        1          25         1          0.000012155622  0.000012337416  1.01       101.50    %
60         I2FTV      2     256        1          25         1          0.000047531724  0.000065878034  1.39       138.60    %
61         I2FTV      2     512        1          25         1          0.000215641409  0.000415324420  1.93       192.60    %
62         I2FTV      2     1024       1          25         1          0.001013822854  0.002067323774  2.04       203.91    %
63         I2FTV      2     2048       1          25         1          0.009290934354  0.027724233270  2.98       298.40    %
64         I2FTV      2     4096       1          25         1          0.048110388219  0.124850741029  2.60       259.51    %
65         I2FUN      2     16         1          25         1          0.000000540167  0.000000230223  0.43       42.62     %
66         I2FUN      2     32         1          25         1          0.000000989437  0.000000836700  0.85       84.56     %
67         I2FUN      2     64         1          25         1          0.000002855808  0.000003024936  1.06       105.92    %
68         I2FUN      2     128        1          25         1          0.000011107326  0.000012337416  1.11       111.07    %
69         I2FUN      2     256        1          25         1          0.000043682754  0.000065878034  1.51       150.81    %
70         I2FUN      2     512        1          25         1          0.000201534480  0.000415324420  2.06       206.08    %
71         I2FUN      2     1024       1          25         1          0.000971341878  0.002067323774  2.13       212.83    %
72         I2FUN      2     2048       1          25         1          0.009059690684  0.027724233270  3.06       306.02    %
73         I2FUN      2     4096       1          25         1          0.047133471072  0.124850741029  2.65       264.89    %
74         I2FTVFUN   2     16         1          25         1          0.000000558048  0.000000230223  0.41       41.26     %
75         I2FTVFUN   2     32         1          25         1          0.000000963360  0.000000836700  0.87       86.85     %
76         I2FTVFUN   2     64         1          25         1          0.000002820045  0.000003024936  1.07       107.27    %
77         I2FTVFUN   2     128        1          25         1          0.000011388958  0.000012337416  1.08       108.33    %
78         I2FTVFUN   2     256        1          25         1          0.000043840706  0.000065878034  1.50       150.27    %
79         I2FTVFUN   2     512        1          25         1          0.000203241408  0.000415324420  2.04       204.35    %
80         I2FTVFUN   2     1024       1          25         1          0.000971107185  0.002067323774  2.13       212.88    %
81         I2FTVFUN   2     2048       1          25         1          0.009043572098  0.027724233270  3.07       306.56    %
82         I2FTVFUN   2     4096       1          25         1          0.047204019874  0.124850741029  2.64       264.49    %
