N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000000357628 
2          SO0        1     16         1          25         1          0.000000312924 
3          SO0        1     16         1          25         1          0.000000238419 
4          SO0        1     16         1          25         1          0.000000461936 
5          SO0        1     16         1          25         1          0.000000253320 
6          SO0        1     16         1          25         1          0.000000238419 
7          SO0        1     16         1          25         1          0.000000208616 
8          SO0        1     16         1          25         1          0.000000238419 
9          SO0        1     16         1          25         1          0.000000566244 
10         SO0        1     16         1          25         1          0.000000223517 
11         SO0        1     16         1          25         1          0.000000216067 
12         SO0        1     16         1          25         1          0.000000208616 
13         SO0        1     16         1          25         1          0.000000201166 
14         SO0        1     16         1          25         1          0.000000193715 
15         SO0        1     16         1          25         1          0.000000201166 
16         SO0        1     16         1          25         1          0.000000432134 
17         SO0        1     16         1          25         1          0.000000230968 
18         SO0        1     16         1          25         1          0.000000223517 
19         SO0        1     16         1          25         1          0.000000223517 
20         SO0        1     16         1          25         1          0.000000275671 
21         SO0        1     16         1          25         1          0.000000268221 
22         SO0        1     16         1          25         1          0.000000238419 
23         SO0        1     16         1          25         1          0.000000216067 
24         SO0        1     16         1          25         1          0.000000223517 
25         SO0        1     16         1          25         1          0.000000223517 
26         SO0        1     32         1          25         1          0.000000819564 
27         SO0        1     32         1          25         1          0.000001646578 
28         SO0        1     32         1          25         1          0.000001877546 
29         SO0        1     32         1          25         1          0.000000923872 
30         SO0        1     32         1          25         1          0.000000886619 
31         SO0        1     32         1          25         1          0.000000879169 
32         SO0        1     32         1          25         1          0.000001169741 
33         SO0        1     32         1          25         1          0.000000864267 
34         SO0        1     32         1          25         1          0.000000797212 
35         SO0        1     32         1          25         1          0.000000774860 
36         SO0        1     32         1          25         1          0.000000804663 
37         SO0        1     32         1          25         1          0.000000715256 
38         SO0        1     32         1          25         1          0.000000685453 
39         SO0        1     32         1          25         1          0.000000678003 
40         SO0        1     32         1          25         1          0.000001698732 
41         SO0        1     32         1          25         1          0.000002317131 
42         SO0        1     32         1          25         1          0.000000804663 
43         SO0        1     32         1          25         1          0.000000625849 
44         SO0        1     32         1          25         1          0.000000633299 
45         SO0        1     32         1          25         1          0.000000625849 
46         SO0        1     32         1          25         1          0.000002123415 
47         SO0        1     32         1          25         1          0.000001139939 
48         SO0        1     32         1          25         1          0.000000916421 
49         SO0        1     32         1          25         1          0.000000819564 
50         SO0        1     32         1          25         1          0.000000648201 
51         SO0        1     64         1          25         1          0.000002883375 
52         SO0        1     64         1          25         1          0.000002644956 
53         SO0        1     64         1          25         1          0.000002592802 
54         SO0        1     64         1          25         1          0.000002466142 
55         SO0        1     64         1          25         1          0.000005796552 
56         SO0        1     64         1          25         1          0.000004187226 
57         SO0        1     64         1          25         1          0.000004403293 
58         SO0        1     64         1          25         1          0.000003449619 
59         SO0        1     64         1          25         1          0.000003248453 
60         SO0        1     64         1          25         1          0.000004224479 
61         SO0        1     64         1          25         1          0.000003129244 
62         SO0        1     64         1          25         1          0.000003315508 
63         SO0        1     64         1          25         1          0.000002883375 
64         SO0        1     64         1          25         1          0.000003397465 
65         SO0        1     64         1          25         1          0.000002980232 
66         SO0        1     64         1          25         1          0.000003345311 
67         SO0        1     64         1          25         1          0.000003263354 
68         SO0        1     64         1          25         1          0.000002913177 
69         SO0        1     64         1          25         1          0.000003203750 
70         SO0        1     64         1          25         1          0.000002734363 
71         SO0        1     64         1          25         1          0.000002712011 
72         SO0        1     64         1          25         1          0.000002652407 
