N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1127       I2         2     16         1          25         1          0.000000722706 
1128       I2         2     16         1          25         1          0.000000886619 
1129       I2         2     16         1          25         1          0.000000543892 
1130       I2         2     16         1          25         1          0.000000514090 
1131       I2         2     16         1          25         1          0.000000581145 
1132       I2         2     16         1          25         1          0.000000514090 
1133       I2         2     16         1          25         1          0.000000581145 
1134       I2         2     16         1          25         1          0.000000506639 
1135       I2         2     16         1          25         1          0.000000402331 
1136       I2         2     16         1          25         1          0.000000648201 
1137       I2         2     16         1          25         1          0.000000603497 
1138       I2         2     16         1          25         1          0.000000439584 
1139       I2         2     16         1          25         1          0.000000588596 
1140       I2         2     16         1          25         1          0.000000506639 
1141       I2         2     16         1          25         1          0.000000543892 
1142       I2         2     16         1          25         1          0.000000387430 
1143       I2         2     16         1          25         1          0.000000536442 
1144       I2         2     16         1          25         1          0.000000804663 
1145       I2         2     16         1          25         1          0.000000394881 
1146       I2         2     16         1          25         1          0.000000789762 
1147       I2         2     16         1          25         1          0.000000640750 
1148       I2         2     16         1          25         1          0.000000804663 
1149       I2         2     16         1          25         1          0.000000610948 
1150       I2         2     16         1          25         1          0.000000782311 
1151       I2         2     16         1          25         1          0.000000573695 
1152       I2         2     32         1          25         1          0.000001072884 
1153       I2         2     32         1          25         1          0.000001400709 
1154       I2         2     32         1          25         1          0.000001229346 
1155       I2         2     32         1          25         1          0.000001676381 
1156       I2         2     32         1          25         1          0.000001288950 
1157       I2         2     32         1          25         1          0.000001311302 
1158       I2         2     32         1          25         1          0.000001154840 
1159       I2         2     32         1          25         1          0.000001184642 
1160       I2         2     32         1          25         1          0.000001244247 
1161       I2         2     32         1          25         1          0.000001303852 
1162       I2         2     32         1          25         1          0.000001259148 
1163       I2         2     32         1          25         1          0.000001750886 
1164       I2         2     32         1          25         1          0.000001229346 
1165       I2         2     32         1          25         1          0.000001147389 
1166       I2         2     32         1          25         1          0.000001162291 
1167       I2         2     32         1          25         1          0.000001199543 
1168       I2         2     32         1          25         1          0.000001281500 
1169       I2         2     32         1          25         1          0.000001206994 
1170       I2         2     32         1          25         1          0.000001162291 
1171       I2         2     32         1          25         1          0.000001221895 
1172       I2         2     32         1          25         1          0.000001206994 
1173       I2         2     32         1          25         1          0.000001184642 
1174       I2         2     32         1          25         1          0.000001214445 
1175       I2         2     32         1          25         1          0.000001184642 
1176       I2         2     32         1          25         1          0.000001102686 
1177       I2         2     64         1          25         1          0.000003471971 
1178       I2         2     64         1          25         1          0.000003151596 
1179       I2         2     64         1          25         1          0.000003144145 
1180       I2         2     64         1          25         1          0.000003792346 
1181       I2         2     64         1          25         1          0.000004075468 
1182       I2         2     64         1          25         1          0.000003494322 
1183       I2         2     64         1          25         1          0.000003479421 
1184       I2         2     64         1          25         1          0.000003382564 
1185       I2         2     64         1          25         1          0.000003427267 
1186       I2         2     64         1          25         1          0.000003367662 
1187       I2         2     64         1          25         1          0.000003315508 
1188       I2         2     64         1          25         1          0.000003330410 
1189       I2         2     64         1          25         1          0.000003188848 
1190       I2         2     64         1          25         1          0.000003360212 
1191       I2         2     64         1          25         1          0.000003360212 
1192       I2         2     64         1          25         1          0.000003740191 
1193       I2         2     64         1          25         1          0.000003486872 
1194       I2         2     64         1          25         1          0.000003337860 
1195       I2         2     64         1          25         1          0.000003464520 
1196       I2         2     64         1          25         1          0.000003300607 
1197       I2         2     64         1          25         1          0.000003613532 
1198       I2         2     64         1          25         1          0.000003211200 
1199       I2         2     64         1          25         1          0.000003598630 
1200       I2         2     64         1          25         1          0.000003397465 
1201       I2         2     64         1          25         1          0.000003270805 
1202       I2         2     128        1          25         1          0.000011645257 
1203       I2         2     128        1          25         1          0.000011987984 
1204       I2         2     128        1          25         1          0.000012733042 
1205       I2         2     128        1          25         1          0.000012107193 
1206       I2         2     128        1          25         1          0.000012315810 
1207       I2         2     128        1          25         1          0.000012852252 
1208       I2         2     128        1          25         1          0.000012859702 
1209       I2         2     128        1          25         1          0.000012092292 
1210       I2         2     128        1          25         1          0.000012688339 
1211       I2         2     128        1          25         1          0.000012695789 
1212       I2         2     128        1          25         1          0.000012628734 
1213       I2         2     128        1          25         1          0.000012688339 
1214       I2         2     128        1          25         1          0.000012777746 
